year,trois_DET oies_NOUN,trois_DET mois_NOUN
1800,1.2576657937302116e-08,1.497565529007261e-05
1801,3.333655484993869e-08,1.540863237892154e-05
1802,3.5805442166747525e-08,1.3744814054916787e-05
1803,5.655983681407406e-08,1.5286758696220204e-05
1804,3.213406074564773e-08,1.4267523994249132e-05
1805,3.127165526528586e-08,1.5286153228544208e-05
1806,8.645007376628655e-09,1.7895164745596048e-05
1807,0.0,2.0865333880237813e-05
1808,4.5321479902327155e-09,1.6626184560664115e-05
1809,1.129515236897305e-08,1.8413357366853234e-05
1810,3.042164919975221e-08,1.9263924002643762e-05
1811,0.0,1.7872950280661826e-05
1812,3.467370746079723e-08,1.5931234827348817e-05
1813,3.163315653864629e-08,1.6742567652272555e-05
1814,3.1466771410748606e-09,1.6768643376963155e-05
1815,0.0,1.912601146614179e-05
1816,6.952811659743929e-09,1.6239450019384094e-05
1817,2.490997452753163e-08,1.492418840598475e-05
1818,5.960588467246453e-09,2.0155134961896692e-05
1819,4.140420006848444e-09,1.79590721245404e-05
1820,8.306536791735653e-09,1.8406098092782486e-05
1821,8.875339574387908e-09,1.7746734783941065e-05
1822,1.804610860745015e-08,1.73994557712831e-05
1823,1.9765373782121287e-09,1.8152519999148353e-05
1824,3.3684450784221553e-09,1.5714639147290654e-05
1825,1.7610886082763955e-09,1.7802845093228825e-05
1826,0.0,1.90067488006207e-05
1827,0.0,1.9771050858707895e-05
1828,9.172301140836225e-09,1.9232481008657487e-05
1829,1.2002446148073886e-08,1.917047859478771e-05
1830,0.0,1.7242696969788085e-05
1831,7.795603274018958e-09,1.8336816765440744e-05
1832,0.0,1.8258693444295204e-05
1833,6.950177322551099e-09,1.8658909368696186e-05
1834,6.534171426153534e-09,1.758438992283118e-05
1835,7.563087933704082e-09,1.6737112900955253e-05
1836,0.0,1.7879212180105242e-05
1837,4.174734336004349e-09,1.870211531240784e-05
1838,2.5248647617104325e-09,1.886831523734145e-05
1839,0.0,1.7510148836663575e-05
1840,5.7327197988676915e-09,1.6970760725598666e-05
1841,6.420548537278137e-10,1.6799365425868018e-05
1842,0.0,1.8605373497848632e-05
1843,1.7720733769266417e-09,1.59043576672957e-05
1844,1.811225169845443e-08,1.64607434953723e-05
1845,6.138250796539069e-09,1.755930259150773e-05
1846,5.854501328173001e-10,1.7389625725172664e-05
1847,8.089835468183537e-09,1.8602306226966903e-05
1848,0.0,1.934714902063206e-05
1849,8.379414495607307e-09,2.1590400706372748e-05
1850,1.0183494048021657e-08,1.8984068731242587e-05
1851,8.384270167027807e-09,1.9161282523327827e-05
1852,3.2552727180501506e-09,1.795282975081136e-05
1853,1.7915795513800958e-09,1.7162734934572654e-05
1854,3.1173986725363534e-09,1.7250125722512166e-05
1855,1.5920811335945473e-08,1.7112749674197403e-05
1856,3.624032518523279e-09,1.6807744088964682e-05
1857,3.905207268672939e-09,1.7637868836573034e-05
1858,9.787352039936081e-10,1.763436171131616e-05
1859,3.055304009791371e-09,1.7024154544742487e-05
1860,1.1900677859832953e-08,1.823412685553194e-05
1861,5.187560159214399e-09,1.7861711796740565e-05
1862,1.1294966073549517e-08,1.8412149358937313e-05
1863,1.1987089820753027e-08,1.759355103558846e-05
1864,2.3973640850272204e-09,1.7193895189393515e-05
1865,7.060266649094871e-09,1.7468041505708243e-05
1866,1.2650593461671633e-08,1.682674928815686e-05
1867,7.76449837758264e-09,1.696688445917971e-05
1868,8.397785578040384e-09,1.7349332438243437e-05
1869,7.325278716940886e-09,1.766075831710623e-05
1870,1.0894693147633916e-08,1.6982532827114483e-05
1871,1.6993883855676017e-08,2.0844060600211378e-05
1872,1.511834801792844e-08,1.8082754081660823e-05
1873,1.5563611011071288e-08,1.7832307321441476e-05
1874,1.553398404352535e-08,1.8802693148245453e-05
1875,5.721527140956084e-10,1.8340355495638505e-05
1876,4.836811839936672e-09,1.768096637988492e-05
1877,4.329371194877751e-09,1.7782583540792984e-05
1878,4.831270938865373e-09,1.751879295852632e-05
1879,6.109325489944695e-09,1.7847171022822295e-05
1880,8.343199908722454e-09,1.8900556369771948e-05
1881,1.2550513517339823e-08,1.975311329260876e-05
1882,6.655385131892899e-09,1.9218755085148587e-05
1883,3.159669414998234e-09,1.840570672584363e-05
1884,5.281357573494461e-09,1.8890095532242412e-05
1885,3.2228177904158883e-09,1.9273740178959997e-05
1886,2.5813855497602844e-09,1.9073212286002672e-05
1887,3.9173548849191775e-09,1.89691385230617e-05
1888,7.60873763994141e-09,1.8924832829725347e-05
1889,1.8795409673089125e-09,1.8158871455398184e-05
1890,6.5543866445416654e-09,1.8704907290612027e-05
1891,1.211101841036566e-08,1.870706131512634e-05
1892,3.761107425503951e-09,1.8576109312107292e-05
1893,8.005941687372342e-09,1.8815809880834422e-05
1894,8.822155450616265e-09,1.8612226426739653e-05
