year,quelques_DET auteurs_NOUN,quelques_DET moteurs_NOUN
1800,5.898452400288079e-06,0.0
1801,7.881714324753375e-06,0.0
1802,9.526485428068554e-06,0.0
1803,1.1442640584391484e-05,0.0
1804,1.041885202823778e-05,0.0
1805,7.920257203863912e-06,0.0
1806,1.0549790985692198e-05,0.0
1807,6.223444088959695e-06,0.0
1808,9.469923043070594e-06,2.2660739951163578e-09
1809,9.316242056911506e-06,2.259030518203531e-09
1810,7.090584070112982e-06,1.1700633351097167e-08
1811,9.002912783273587e-06,0.0
1812,1.1119591448505162e-05,0.0
1813,1.1364931182811233e-05,0.0
1814,7.338050792782269e-06,0.0
1815,7.592684525548066e-06,0.0
1816,1.0292478823004103e-05,0.0
1817,1.0770450153074762e-05,0.0
1818,8.95161219816032e-06,0.0
1819,9.810725074999027e-06,0.0
1820,7.893583203966159e-06,0.0
1821,7.5696782708689625e-06,0.0
1822,6.825439129443112e-06,0.0
1823,5.6301667896718754e-06,3.063632902922109e-08
1824,6.316676672390997e-06,1.6842225392110777e-09
1825,6.111857765667139e-06,1.7610886082763955e-09
1826,7.322958126110279e-06,2.642395191543301e-09
1827,7.083474246272203e-06,9.217273055917019e-10
1828,8.290843197755748e-06,0.0
1829,7.175748242549407e-06,3.429270423183084e-09
1830,6.603386093262387e-06,1.6698937344017395e-08
1831,6.984860231096235e-06,0.0
1832,7.4658369948465975e-06,0.0
1833,7.1934335061918375e-06,0.0
1834,6.928088757796047e-06,0.0
1835,6.873334370993689e-06,0.0
1836,6.519127751403175e-06,0.0
1837,7.462337990649104e-06,0.0
1838,6.330467493320668e-06,1.2624323808552163e-09
1839,6.716710193366282e-06,1.3982950353153e-09
1840,5.839093764059555e-06,5.732719632334238e-09
1841,6.935476598801671e-06,1.2841097074556274e-09
1842,6.349373042446871e-06,1.341653010911159e-09
1843,7.016228789291645e-06,1.1813822142769936e-09
1844,6.826123509329207e-06,7.1351298203126134e-09
1845,6.994815855865255e-06,2.2320911785556063e-09
1846,6.958075049467993e-06,2.9272506640865004e-09
1847,6.500991942104406e-06,2.6966118227278457e-09
1848,7.188405318991897e-06,0.0
1849,6.239312332123603e-06,2.513824481908955e-09
1850,6.640316882133845e-06,6.788996032014438e-10
1851,6.147604947992491e-06,0.0
1852,6.423955254852842e-06,0.0
1853,7.527023054398896e-06,1.7915795513800958e-09
1854,5.61391542641676e-06,2.5978321716024766e-09
1855,6.646408142074733e-06,9.552486801567284e-09
1856,4.635655347140499e-06,2.0708756931497874e-09
1857,5.275446859798194e-06,0.0
1858,4.4498197118159055e-06,9.787352039936081e-10
1859,5.437422727183616e-06,3.5645213447565993e-09
1860,5.178625732238373e-06,2.746310290291376e-09
1861,4.384903065979273e-06,0.0
1862,4.652622251966054e-06,1.3553959066214816e-09
1863,4.116067011061819e-06,9.989241656072068e-10
1864,4.492180653237199e-06,6.712618905169165e-09
1865,4.3665396436409765e-06,1.882737743486018e-09
1866,5.311303162613967e-06,2.919367858567057e-09
1867,5.208037379134112e-06,2.426405742994575e-09
1868,5.11276968495622e-06,4.939874287401835e-09
1869,4.767291383878103e-06,4.883519144627257e-10
1870,5.37739087391742e-06,0.0
1871,3.9415189090341585e-06,3.18635318130589e-09
1872,4.406091441477855e-06,3.628403577593531e-09
1873,5.010285733630937e-06,5.986004469882289e-10
1874,4.72053873856737e-06,9.559374625212058e-09
1875,4.088030996385328e-06,2.2886108563824337e-09
1876,5.075629425199679e-06,0.0
1877,4.498835096455878e-06,1.8554447978047506e-09
1878,3.875283281384867e-06,1.8117265465633636e-09
1879,3.983891051273503e-06,1.832797580370027e-09
1880,4.2344949624517625e-06,1.9253538763308597e-09
1881,3.6033918604516657e-06,8.367008919041297e-09
1882,3.856795725454276e-06,1.1979693237407218e-08
1883,4.098723210610444e-06,7.58320695126713e-09
1884,3.696950433784707e-06,0.0
1885,3.6424286469216582e-06,8.379326621454908e-09
1886,3.5687653872074065e-06,1.936039106809062e-09
1887,3.186115170361603e-06,5.223139698529167e-09
1888,3.7371582832790295e-06,5.706553452000662e-09
1889,3.276666488361002e-06,7.51816386923565e-09
1890,3.0766290137762553e-06,1.6385966361553983e-08
1891,2.8683991384337304e-06,3.6970477790276846e-08
1892,3.1198386163389102e-06,2.5074050391538094e-08
1893,3.1118477754610296e-06,4.557228239221445e-08
1894,2.803554853603174e-06,3.906954404442331e-08
1895,2.698144957014037e-06,1.384281334004811e-08
