year,des_DET archers_NOUN,des_DET marchés_NOUN
1800,9.432493364158745e-08,8.803660360712229e-07
1801,1.8811342705760126e-07,8.26270377674021e-07
1802,3.289624999069929e-07,8.682819441219181e-07
1803,7.411288893699464e-08,7.0797312190507e-07
1804,2.1010732531578924e-07,7.687456367033718e-07
1805,1.3361525441624167e-07,6.424903631341294e-07
1806,1.3543845245322927e-07,6.916005679258319e-07
1807,1.1387820197938936e-07,7.430552670939505e-07
1808,1.926162891408012e-07,8.565759799239459e-07
1809,2.530114153742602e-07,9.510518452771066e-07
1810,2.9719609306866346e-07,7.74581956797249e-07
1811,2.757784449691769e-07,1.0404368140370934e-06
1812,1.8670457624381243e-07,8.828459385767928e-07
1813,2.7894694110131013e-07,8.627224918900112e-07
1814,1.730672369859576e-07,8.842162877442661e-07
1815,1.3486117422800703e-07,7.660114729191037e-07
1816,7.184571870766376e-08,5.469545030223344e-07
1817,3.1293154734157724e-07,4.717326449465986e-07
1818,1.513989591472864e-07,8.118321979111442e-07
1819,2.380741532803654e-07,6.655724904547355e-07
1820,2.586892913214456e-07,9.018525837234392e-07
1821,2.7612166908497215e-07,6.883318697248342e-07
1822,2.476327125577882e-07,8.421517350143404e-07
1823,2.7572695060484875e-07,7.085886277735653e-07
1824,2.753703904900817e-07,1.221903499271093e-06
1825,5.151184196972025e-07,1.1077246853119505e-06
1826,4.3951842698675136e-07,1.0252493614082425e-06
1827,2.1291901397546553e-07,9.67813706509446e-07
1828,3.3754069272973197e-07,9.419953244105272e-07
1829,2.700550547629632e-07,9.09613994792835e-07
1830,1.8681936375664066e-07,1.041596163986469e-06
1831,2.66609638366333e-07,1.3096613535878987e-06
1832,2.2730348092636632e-07,9.83628811290771e-07
1833,3.173914079335205e-07,9.95033740736062e-07
1834,3.621798099207041e-07,9.903937030486532e-07
1835,3.917679478604441e-07,9.098394926354558e-07
1836,3.770340897268909e-07,9.059570880154411e-07
1837,4.654828885675144e-07,9.984573843269118e-07
1838,4.866676819315074e-07,9.272565950624312e-07
1839,3.635567136228701e-07,9.221755625787864e-07
1840,4.783636093352861e-07,1.3019643141376491e-06
1841,2.587480976146139e-07,1.1467100051731904e-06
1842,3.4681730554098067e-07,1.2967076052916582e-06
1843,2.5872270725812996e-07,9.947237789020846e-07
1844,3.446816487784332e-07,1.2810302472132662e-06
1845,2.7287314435797683e-07,1.194168730123124e-06
