year,trois_DET airs_NOUN,trois_DET mères_NOUN
1800,4.087413785214267e-08,6.288328968651058e-09
1801,8.096020565062645e-08,2.3811825844433088e-09
1802,1.7902721083373763e-08,0.0
1803,2.145373123596528e-08,1.5602713787643552e-08
1804,1.1123329102247226e-07,2.4718509905596875e-08
1805,0.0,8.528633133053631e-09
1806,1.613734639249742e-07,0.0
1807,2.2775641372874134e-08,2.8469551160981155e-09
1808,1.5862518409903714e-08,2.039466551195801e-08
1809,8.132509776714869e-08,2.710836710662079e-08
1810,2.106114083133548e-08,4.680253518074551e-09
1811,8.524060923775778e-08,3.259199843341776e-08
1812,7.20146218213813e-08,0.0
1813,1.552900432688631e-07,2.8757416448144113e-09
1814,4.090680105761635e-08,0.0
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,1.3905623319487859e-08,4.6352077731626196e-09
1817,1.5568734412774177e-08,2.3353100786493997e-08
1818,1.1921177378582115e-08,8.344824387052086e-09
1819,2.5877625819958894e-08,8.280840013696888e-09
1820,3.441279616822612e-08,7.119888678630559e-09
1821,4.5362847478358503e-08,6.903041915862218e-09
1822,3.308453244699194e-08,1.2030739071633434e-08
1823,7.906149623870817e-09,1.087095569118901e-08
1824,3.452656205382709e-08,5.894778887238772e-09
1825,1.8491430608946757e-08,3.522177216552791e-09
1826,2.2019961409824873e-08,1.2331177856594877e-08
1827,1.1982455361270183e-08,7.373818444733615e-09
1828,1.7427372434042354e-08,1.1006761724274838e-08
1829,4.972442174677738e-08,1.971830521085849e-08
1830,5.0096812920230605e-08,3.1310507520032616e-09
1831,4.989186042081428e-08,4.677361609140007e-09
1832,3.5177921020590475e-08,1.3529969367098715e-09
1833,4.2859427118457916e-08,4.6334514003376626e-09
1834,2.0535967593104942e-08,0.0
1835,3.327758690829796e-08,9.832014313815307e-09
1836,2.419469957715137e-08,4.704525213838906e-09
1837,1.87863058442872e-08,7.653680356156656e-09
1838,1.704283669745621e-08,7.574594285131298e-09
1839,4.824117816326634e-08,3.4957374772659477e-09
1840,2.9300568360479673e-08,6.369688665408546e-10
1841,2.8892467973662406e-08,6.420548537278137e-10
1842,2.68330611064016e-08,0.0
1843,1.8311423488626133e-08,3.5441467538532834e-09
1844,1.866110915793584e-08,5.488561161115513e-09
1845,1.3950569588416784e-08,3.348136878855712e-09
1846,1.2294452567118697e-08,2.3418005312692003e-09
1847,2.6966118227278457e-08,4.853901280910122e-09
1848,2.654923214606697e-08,4.02261068899179e-09
1849,2.011059585527164e-08,5.865590679832167e-09
1850,2.5798184921654865e-08,6.1100964288129944e-09
1851,5.0305621446256055e-08,1.2898877521649865e-09
1852,3.971432693816723e-08,3.906327261660181e-09
1853,1.7318602552052198e-08,8.957897978945084e-09
1854,2.1821789930598356e-08,7.79349695889664e-09
1855,2.865746040470185e-08,5.306937111981824e-09
1856,2.536822751864065e-08,8.801221695886596e-09
1857,2.2454941239757886e-08,1.4644527812635033e-09
1858,2.0553438895287712e-08,9.787352039936081e-09
1859,1.6804171831807935e-08,1.6294954496842706e-08
1860,2.883625790928157e-08,6.408057640072684e-09
1861,3.065376513733398e-08,8.017138175553384e-09
1862,2.936691112509493e-08,3.162590411776023e-09
1863,1.7481173175681874e-08,5.494083077373091e-09
1864,2.205574833880064e-08,1.3904711160250827e-08
1865,1.788600795249451e-08,1.3179164148890976e-08
1866,1.5569961597794446e-08,4.379051787850585e-09
1867,3.930777303651212e-08,1.9896527092555516e-08
1868,1.4819621863004784e-08,6.421836395986702e-09
1869,1.2697150109097777e-08,1.6115613732381462e-08
1870,2.752343331025031e-08,1.834895657637503e-08
1871,1.0621176826930423e-08,6.37270636261178e-09
1872,1.0885210954825197e-08,9.675742873582749e-09
1873,1.8556614689302364e-08,1.1373408881354408e-08
1874,1.0156835816843568e-08,1.493652240780463e-08
1875,3.2612703648737806e-08,1.8308886295947957e-08
1876,1.9951849505872588e-08,1.2092029377797076e-08
1877,2.1646856307455664e-08,9.277223989023753e-09
1878,5.555961629655215e-08,1.932508458812876e-08
1879,2.443730195977878e-08,1.5273313169750224e-08
1880,3.1447447090826586e-08,1.6044616302224313e-08
1881,1.8128519574389657e-08,1.3945015142624584e-09
1882,3.5273542087210785e-08,1.0648616211028639e-08
1883,3.47563645641813e-08,4.3603438193429156e-08
1884,2.178560087884307e-08,5.281357573494461e-09
1885,1.740321664556177e-08,2.1915161241281567e-08
1886,2.0651084398082276e-08,1.1616235084943582e-08
1887,1.1099172247952538e-08,7.181817029966453e-09
