year,mes_DET eaux_NOUN,mes_DET maux_NOUN
1800,4.4018303668735825e-08,1.3362699533558953e-06
1801,8.334139067756041e-08,2.466905208109438e-06
1802,5.818384352096473e-08,1.389698695675179e-06
1803,4.095712213825209e-08,2.0888134173446815e-06
1804,9.145848345326613e-08,2.1505103795504965e-06
1805,2.2743021688143017e-08,2.288516625981174e-06
1806,2.939302561344448e-07,1.7895164994286006e-06
1807,1.0818429707626365e-07,1.2925175738587313e-06
1808,1.291662137248295e-07,1.2304782046612672e-06
1809,2.710836577435316e-07,1.4254482536557589e-06
1810,2.9251584621192706e-07,2.1295153231903896e-06
1811,3.008492077682945e-08,1.0304085797940843e-06
1812,6.934741492159446e-08,1.1575683878106702e-06
1813,7.189353823378042e-08,1.4349950419045854e-06
1814,9.440031245588898e-08,8.496028520710297e-07
1815,2.4275012222574333e-08,1.310850660019014e-06
1816,2.3176038865813098e-08,7.648092648082638e-07
1817,2.9580595417577626e-08,2.6824929832969246e-06
1818,9.65615354342475e-08,1.51398951508952e-06
1819,4.45095160728215e-08,1.293881283004339e-06
1820,9.967844061264941e-08,2.468227975782611e-06
1821,5.226588806195309e-08,2.5393333089596126e-06
1822,9.023054303725075e-08,2.14046890789632e-06
1823,1.561464593180517e-07,2.0684463599707215e-06
1824,5.81056784909606e-08,2.3183322994668742e-06
1825,4.781355640304241e-07,1.915183851508573e-06
1826,4.4039921487382117e-08,1.736053711454133e-06
1827,4.147772969531616e-08,9.927002757592618e-07
1828,2.2013522782415862e-08,1.4116172053491027e-06
1829,4.4580514835246277e-08,9.430493754791769e-07
1830,4.0703659553997795e-08,1.3828807752247485e-06
1831,5.4569221807909685e-08,1.3689078670608978e-06
1832,2.4353944638733083e-08,1.7399540084284126e-06
1833,4.40177885252524e-08,1.6610922735083022e-06
1834,8.121042216480134e-08,1.180818149038032e-06
1835,7.865611451052246e-08,1.1011855534093229e-06
1836,5.3765998930810355e-08,1.1398392665284973e-06
1837,7.375364274864182e-08,9.024384652889239e-07
1838,1.6916594525184792e-07,8.988518800379097e-07
1839,3.495737765923934e-08,1.0305433875146264e-06
1840,3.1848443160509277e-08,6.089422619481866e-07
1841,4.558589550285319e-08,7.595509003976986e-07
1842,5.0982814414624045e-08,7.942585771303357e-07
1843,5.6706348061652534e-08,8.033398888329657e-07
1844,3.787107349939589e-08,6.553342113413407e-07
1845,5.412821302286375e-08,6.300077348697641e-07
1846,2.3418005756781213e-08,9.320366238796396e-07
1847,2.8584085320915165e-08,5.58198653521913e-07
1848,3.459445302445019e-08,4.819087573437741e-07
1849,3.016589378290746e-08,5.480137463820256e-07
1850,5.4311967367937086e-08,5.82495857770482e-07
1851,5.095056665460618e-08,4.2824273993602446e-07
1852,4.492276350909208e-08,8.372561506320153e-07
1853,5.195580832229041e-08,6.413854549691678e-07
1854,6.026970889028149e-08,6.95699494457358e-07
1855,4.192480318465641e-08,8.395574653263793e-07
1856,6.41971462655988e-08,8.868524972172054e-07
1857,6.63885206808601e-08,6.404539831805778e-07
1858,9.004363876741195e-08,7.639028343220389e-07
1859,6.823512332942983e-08,6.405953936194919e-07
1860,2.8378539518314483e-08,5.488043228751849e-07
1861,5.989273965667508e-08,7.44650678896619e-07
1862,1.265036155828625e-07,8.936577025053793e-07
1863,6.193329782355761e-08,6.243276109429985e-07
1864,6.808513419720441e-08,6.856461087778598e-07
1865,1.4120533142758518e-07,6.820217386405147e-07
1866,7.249762967731499e-08,6.271775241373234e-07
1867,4.416058452250127e-08,5.784551202481225e-07
1868,4.544684018004119e-08,5.162168665862055e-07
1869,7.129938239813782e-08,6.036029613909477e-07
1870,6.192772739055386e-08,4.558568758028514e-07
1871,4.0360473185785395e-08,4.365303905018436e-07
1872,3.567930095815797e-08,3.567930288994603e-07
1873,3.471882425998274e-08,6.758198871636978e-07
1874,2.7483201492373155e-08,4.3853632369916795e-07
1875,5.092159111041994e-08,6.247907826661958e-07
1876,2.7207067265777596e-08,5.362814992082576e-07
1877,4.143826648483895e-08,8.38042552686602e-07
