year,dix_DET auteurs_NOUN
1800,3.458580977167003e-08
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,2.8081521108447305e-08
1811,4.262030373070047e-08
1812,1.3336041604361526e-08
1813,3.738464116054274e-08
1814,2.2026739543434815e-08
1815,4.045835311217161e-08
1816,6.952811659743929e-09
1817,0.0
1818,1.192117715653751e-08
1819,3.726377839630146e-08
1820,2.610625848831205e-08
1821,1.2819934447350079e-08
1822,1.2030739071633434e-08
1823,8.894418535021487e-09
1824,2.0210670470532932e-08
1825,3.522177216552791e-09
1826,1.6735169694470642e-08
1827,9.217273055917019e-10
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,5.218417697960831e-09
1831,6.236482441579483e-09
1832,1.2176972319366541e-08
1833,4.633451511359965e-09
1834,4.667265685043276e-09
1835,1.0588323107185715e-08
1836,1.6129799718100912e-08
1837,1.3915782304252389e-08
1838,6.312161904276081e-09
1839,9.088918062616358e-09
1840,1.3376346419402552e-08
1841,8.988767952189392e-09
1842,2.0124795163667386e-09
1843,7.088293119128508e-09
1844,7.683985892015244e-09
1845,5.580228057411318e-09
1846,6.439951683034906e-09
1847,2.0494250740910047e-08
1848,0.0
1849,6.703531951757213e-09
1850,0.0
1851,7.094382858952031e-09
1852,8.463708844885787e-09
1853,8.957897534855874e-09
1854,1.506742641765868e-08
1855,5.837630823180007e-09
1856,1.0354378465748937e-09
1857,9.763017949637742e-09
1858,6.8511463169329545e-09
1859,4.073738679721828e-09
1860,1.2358396972445007e-08
1861,1.0846716413936974e-08
1862,1.355395884417021e-08
1863,7.491931297565202e-09
1864,8.151037178549814e-09
1865,1.3179164426446732e-08
1866,1.3137154919462546e-08
1867,1.358787216076962e-08
1868,1.432563445646906e-08
1869,1.0255390314739543e-08
1870,4.587239033071455e-09
1871,0.0
1872,3.0236697590169115e-09
1873,6.584604861359367e-09
1874,6.572070221366744e-09
1875,9.154443425529735e-09
1876,3.627608879952504e-09
1877,4.329371083855449e-09
1878,6.64299765196219e-09
1879,5.498392852132383e-09
1880,1.2835692508872398e-09
1881,0.0
1882,2.6621540527571597e-09
1883,2.5277355764075082e-09
1884,7.2618666635548834e-09
1885,6.445635691854079e-09
1886,5.808117542471791e-09
1887,8.48760173255414e-09
1888,4.4384300679212174e-09
1889,1.1903759755682586e-08
1890,1.9663159989136147e-09
1891,3.824531802365527e-09
1892,6.8953633913793055e-09
1893,1.6627724974682678e-08
1894,6.9316934414587195e-09
1895,8.426060515986933e-09
1896,1.0024948871034667e-08
1897,1.2818769379308037e-08
1898,1.13167097914868e-09
1899,9.949641111006713e-09
1900,1.245852754294674e-08
1901,2.794369402536745e-09
1902,1.0802624572647801e-08
1903,6.48026410310365e-09
1904,4.837162670412454e-09
1905,1.0321517862621477e-08
1906,4.115347507216427e-09
1907,5.142843484406967e-09
1908,1.9154417607580854e-08
1909,9.351671881319135e-09
1910,1.2291546447329438e-08
1911,4.2562992019767876e-09
1912,6.772247651554153e-09
1913,2.227255713194154e-08
1914,5.357394972094198e-09
1915,8.246533456102156e-09
1916,9.888715624128963e-09
1917,4.386569774084137e-09
1918,9.189101035644853e-09
1919,8.287063479883727e-09
1920,1.4387240288016301e-08
1921,2.120369263503008e-08
1922,1.1066903560230656e-08
1923,8.492758496458919e-09
1924,9.02413699321869e-09
1925,5.499089184013428e-09
1926,2.229227691330493e-09
1927,2.2298449753321847e-09
1928,1.5996457936040542e-08
1929,1.1140406375176326e-08
1930,1.575540586884472e-08
1931,1.0264820993199919e-08
1932,7.6716757391182e-09
1933,1.605892707701173e-08
1934,7.188948103475923e-09
1935,9.574627313213568e-09
1936,9.699771652549316e-09
1937,1.3850230184964119e-08
1938,7.779128452511941e-09
1939,3.058810094103137e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,2.730790527039062e-08
1943,1.1612940831184915e-08
1944,2.8918675454292497e-08
1945,1.5249528750871377e-08
1946,2.227376683094917e-08
1947,1.5497132244135514e-08
1948,1.522064252412747e-08
1949,1.9634016190650527e-08
1950,1.0635361480382244e-08
1951,1.919052317056469e-08
1952,1.6871685715180718e-08
1953,1.1851209791302608e-08
1954,1.6613311615287785e-08
1955,1.5016972554349195e-08
1956,5.232684952005684e-09
1957,1.6786572132332367e-08
