year,les_DET in_ADJ,les_DET mines_NOUN
1800,1.7921737516246594e-07,1.4466300852777891e-05
1801,1.262026736448263e-07,1.5780096968232016e-05
1802,2.3497321421928064e-07,1.2151472105870198e-05
1803,1.0726865928845086e-07,1.836634414154048e-05
1804,1.4831106009971506e-07,1.145208552166821e-05
1805,1.4214389132405358e-07,9.90174324755344e-06
1806,1.1238509856070777e-07,9.440348236466889e-06
1807,1.7935817187009206e-07,1.777638782574087e-05
1808,1.404965885853926e-07,1.2622032362852309e-05
1809,1.2650571168393299e-07,1.1200273677403061e-05
1810,1.3104710028244426e-07,1.4578989542712861e-05
1811,1.2786091252436904e-07,1.827909648000059e-05
1812,1.0935554106694667e-07,1.193575641877942e-05
1813,1.7542024011163448e-07,1.5928732810976953e-05
1814,1.195737269199526e-07,1.450932807411931e-05
1815,2.454473313484584e-07,9.078854866118036e-06
1816,1.4369144452075489e-07,1.0966901166753473e-05
1817,1.6191483176442034e-07,1.0842066778593562e-05
1818,1.704728340712336e-07,1.1219020064956453e-05
1819,2.1116142523425196e-07,1.4905511584117903e-05
1820,1.4833101502631507e-07,7.365524684388447e-06
1821,1.143932671920922e-07,5.995784713164198e-06
1822,1.6141241587774857e-07,9.859190527095052e-06
1823,1.4725203678622734e-07,6.619423793097212e-06
1824,1.785275873800174e-07,9.116696450206518e-06
1825,2.0428627323099136e-07,7.487268376848988e-06
1826,1.814444732239906e-07,8.975336044159121e-06
1827,1.4931983027821616e-07,1.5361507159639132e-05
1828,1.761081822593269e-07,1.0982913423163154e-05
1829,1.8175133220665884e-07,1.1253150496770559e-05
1830,1.5863990832087893e-07,8.098984551452304e-06
1831,1.527938140455376e-07,6.892872214336876e-06
1832,1.4612367449373664e-07,7.829793140956554e-06
1833,1.7259606188702037e-07,1.0596703308607403e-05
1834,2.0816003498680402e-07,7.571238262116253e-06
1835,1.0815215745196838e-07,8.136369785916031e-06
1836,1.1559689960805031e-07,8.455375628102502e-06
1837,1.0228099434073101e-07,7.4762537671801965e-06
1838,1.4139241955035686e-07,8.894467704578801e-06
1839,1.6919369638657145e-07,9.29656495785025e-06
1840,1.6752281206677822e-07,8.490794876081509e-06
1841,1.2712685837357185e-07,7.679618022393697e-06
1842,1.1404050281882405e-07,8.304161081440498e-06
1843,1.388124148959946e-07,9.28743636308127e-06
1844,1.3556746569776124e-07,7.615927785309395e-06
1845,9.87700374821543e-08,8.329606039580995e-06
1846,1.1533367683114193e-07,1.0171610270504061e-05
1847,1.2458346621002647e-07,8.127048637618373e-06
1848,1.1343762729154605e-07,7.124043914785716e-06
1849,1.3323269509868396e-07,7.042898030107381e-06
1850,1.47321217447427e-07,7.987932534092579e-06
1851,1.5478652937161996e-07,7.147267947260616e-06
1852,1.4192989006289736e-07,7.703277422166366e-06
1853,1.1466108773561245e-07,9.120334240719785e-06
1854,1.6158517102127234e-07,1.0066599699598555e-05
1855,1.204674759947011e-07,9.66127921486759e-06
1856,1.2114623126890933e-07,6.93639801063739e-06
1857,1.2740738908334492e-07,7.878755766910217e-06
1858,1.6638497868370905e-07,7.263683457381376e-06
1859,1.3137807375329658e-07,6.221617184110073e-06
1860,1.409772609761717e-07,6.05607189996249e-06
1861,1.4949604398850624e-07,6.684878798068894e-06
1862,1.3599138570796754e-07,8.662786857627225e-06
1863,1.3035960044760486e-07,5.942100315792231e-06
1864,1.3185501845924819e-07,6.203419225414564e-06
1865,1.2802616389251398e-07,5.629386077288245e-06
1866,1.4986087970569884e-07,5.640218681435272e-06
