year,ses_DET archers_NOUN,ses_DET marchés_NOUN
1800,9.118077048952955e-08,3.0183979404796446e-07
1801,6.429192933588013e-08,1.9287579533511234e-07
1802,9.84649659585557e-08,2.551137754380761e-07
1803,7.21625545985205e-08,4.2322361082369753e-07
1804,6.426812149129546e-08,1.6561401849912727e-07
1805,8.812920793133117e-08,1.9900144065942982e-07
1806,2.1612518708025164e-07,1.7290014397985942e-07
1807,8.540865303885425e-08,1.679703558465917e-07
1808,1.495608836776796e-07,1.7675377250725433e-07
1809,3.2530039462130844e-07,1.4683697724393596e-07
1810,2.199719157935931e-07,1.4508785284306214e-07
1811,1.5293168287300318e-07,1.9555198615961444e-07
1812,2.080422447647834e-07,2.2404549460119938e-07
1813,4.888760907206802e-08,1.0352670187785407e-07
1814,1.510405018834149e-07,2.7061423679697327e-07
1815,1.510445239993885e-07,1.429528457830287e-07
1816,7.648092825718322e-08,1.4600903774919516e-07
1817,8.095742032310227e-08,1.6191483287464337e-07
1818,1.90738844718652e-07,2.396156641992775e-07
1819,2.422145746194815e-07,1.5837106670524292e-07
1820,3.239549322131552e-07,1.3290458333869992e-07
1821,1.6074226516504808e-07,1.2819934624985763e-07
1822,3.478888714880668e-07,1.2130995230563713e-07
1823,3.4292922723722086e-07,1.5021683985594336e-07
1824,5.903199937762338e-07,1.9200136858188444e-07
1825,6.36633523454222e-07,2.808936239162563e-07
1826,8.402817219810288e-07,2.2636520302654617e-07
1827,3.041699967454292e-07,1.9724964417378033e-07
1828,3.6964373339998247e-07,1.5684634979695744e-07
1829,1.9975500331614882e-07,2.1432940133792044e-07
1830,1.534214817411339e-07,2.421345959291443e-07
1831,4.7553178905701543e-07,1.9021272024133395e-07
1832,1.3529968845293894e-07,1.8130159373797028e-07
1833,1.7259606122088655e-07,2.4441456325519084e-07
1834,2.473650762002677e-07,3.0430569530892626e-07
1835,5.135336422767978e-07,2.2235479235632738e-07
1836,5.692475268936903e-07,2.1371984804119393e-07
1837,7.361448628451228e-07,2.4561355083108083e-07
1838,7.915451258888595e-07,2.09563779662858e-07
1839,5.103776744563859e-07,2.3631186252259795e-07
1840,5.146708502712372e-07,3.567025537165591e-07
1841,1.9004823315071917e-07,2.8122003747910185e-07
1842,3.454756516418911e-07,3.03884393204612e-07
1843,1.9079323365644996e-07,2.65810986999071e-07
1844,3.057128612482529e-07,2.4149669064499335e-07
1845,2.778953503423942e-07,3.8057153162185386e-07
1846,2.3944910010342824e-07,3.0970310760380926e-07
1847,2.1626826818277323e-07,3.500202057082902e-07
1848,1.665360835900742e-07,2.928460807183342e-07
1849,1.927265398382616e-07,2.1702684094293545e-07
1850,2.6409193587539903e-07,1.873762949244906e-07
1851,1.9348316504519403e-07,2.811955353010376e-07
1852,2.1875432798523775e-07,2.643281575842593e-07
1853,1.8632427156717313e-07,1.8274110935578847e-07
1854,3.3512035546579e-07,2.02630919599045e-07
1855,2.3509731050808114e-07,1.730061462978938e-07
1856,3.2978694591845326e-07,2.0242810183646043e-07
1857,3.7978140809968863e-07,1.742698771955986e-07
1858,2.8481194291885004e-07,1.9036400189520464e-07
1859,2.2914779940208518e-07,2.1488971846395089e-07
1860,2.2199342519790832e-07,1.9315715693579705e-07
1861,1.7732024204519803e-07,1.9854207344849328e-07
1862,2.2002592503511664e-07,2.4668204989808373e-07
1863,1.9429075726051792e-07,1.8629936215930343e-07
1864,2.3254430026042883e-07,1.9658385064236228e-07
1865,1.7886009229250988e-07,2.0757183527564393e-07
1866,2.413343952456515e-07,2.1311384568178937e-07
1867,1.6159862603615238e-07,1.6548087700130054e-07
1868,1.7091964976678753e-07,1.788234480493145e-07
1869,2.0120098964682143e-07,1.5969108124735953e-07
1870,1.5367251204878585e-07,1.7947573383025883e-07
1871,1.1577083203206939e-07,1.7737366420078615e-07
1872,1.5541662268248047e-07,1.5662608254807253e-07
1873,1.2630469381491594e-07,1.6281931625172774e-07
1874,1.9178494736760143e-07,1.6549667058995965e-07
1875,2.87792820685695e-07,1.7279012354265433e-07
1876,2.3821298866799623e-07,1.7412522712589862e-07
1877,1.880184037350574e-07,2.0966526848020806e-07
1878,1.757374850086535e-07,1.974782009028786e-07
1879,2.217685004524128e-07,1.9061094902461662e-07
1880,1.4311797347232869e-07,2.3874388688227555e-07
1881,1.5339516679091503e-07,2.2102848795668706e-07
1882,1.717089315178555e-07,2.3160740525440815e-07
1883,1.6114314416171283e-07,2.0601044781187738e-07
1884,1.445771609098756e-07,2.0993396532276165e-07
1885,1.7661042506222913e-07,2.017483958782762e-07
1886,2.116736135260311e-07,1.9360391378953068e-07
1887,1.3971898088493973e-07,1.743222921568588e-07
1888,1.8387782541040565e-07,2.269939991528247e-07
1889,1.478572329016714e-07,2.3306308793991093e-07
1890,1.15357205121569e-07,1.6779229083940805e-07
1891,1.1282369571929962e-07,2.0206277540069095e-07
1892,1.3790727848572715e-07,1.6172761552191162e-07
1893,9.791882160659071e-08,1.6566140503826432e-07
1894,1.0019447249653979e-07,1.8841602189567652e-07
1895,9.87052777290387e-08,1.6611376452146942e-07
1896,1.1676117295245092e-07,2.1347244860692172e-07
1897,9.730611627567498e-08,1.922815429100666e-07
1898,9.223118691004117e-08,1.573022605505514e-07
1899,8.236091630919873e-08,1.995455747305641e-07
1900,8.09804288071092e-08,2.341164999641876e-07
1901,8.047783950360099e-08,1.7213315262054607e-07
1902,9.084025265337914e-08,1.713689010696129e-07
1903,8.640352455735467e-08,2.1600881083827517e-07
1904,8.975624155027617e-08,2.4938260967388715e-07
1905,9.702227288244103e-08,2.1571972941281103e-07
1906,9.002322975959487e-08,2.654399198220858e-07
1907,8.94854762512054e-08,1.6559955451356245e-07
1908,5.3534139343724974e-08,1.8957962266696882e-07
1909,1.2652262060264263e-07,1.7548137964951138e-07
1910,9.245380416800231e-08,2.0200889050414617e-07
1911,9.576673554168025e-08,2.0536643940971544e-07
1912,7.65784955447657e-08,2.109815564477202e-07
1913,4.613601195524453e-08,1.6015028991844815e-07
1914,6.830678778158017e-08,1.8416044977875856e-07
1915,1.5904028227708977e-07,2.3090292966543302e-07
1916,5.164107186317324e-08,2.834765258086236e-07
1917,5.483212106582869e-08,2.4235797013716365e-07
1918,4.9391417178412667e-08,2.6303800382265763e-07
1919,6.261336871205003e-08,2.6702759431396217e-07
