year,tes_DET arrêts_NOUN,tes_DET marais_NOUN
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,0.0,0.0
1805,8.528633133053631e-09,2.2743021688143017e-08
1806,0.0,4.3225035994964855e-08
1807,1.7081731584767113e-08,0.0
1808,1.3596443526608937e-08,0.0
1809,2.0331274885876383e-08,6.7770917766551975e-09
1810,2.106114038724627e-08,9.360507036149102e-09
1811,2.2563690915688994e-08,2.5070767684098882e-09
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,1.4378708002027452e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,3.113746815941454e-09,1.556873407970727e-09
1818,4.768470951432846e-09,2.384235475716423e-09
1819,1.1386155129855524e-08,0.0
1820,1.4239777357261119e-08,3.5599443393152796e-09
1821,1.972297702934611e-08,0.0
1822,1.2030739071633434e-08,1.0025615893027862e-09
1823,1.9765373338032077e-08,2.9648061783404955e-09
1824,6.736890156844311e-09,6.736890156844311e-09
1825,1.4969252504215547e-08,7.044354433105582e-09
1826,1.7615968128659176e-08,4.403992281964975e-09
1827,1.013900075008678e-08,8.295545583791863e-09
1828,1.0089531266022078e-08,6.420610709767516e-09
1829,1.5431716904323878e-08,0.0
1830,6.262101504006523e-09,4.174734336004349e-09
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,1.1583628833911064e-08,1.1583628500844156e-09
1834,2.8003592777992026e-09,1.8669061851994684e-09
1835,7.563087933704082e-09,1.663879345414898e-08
1836,1.0081125434435734e-08,4.704525213838906e-09
1837,1.4611571286238245e-08,7.653680356156656e-09
1838,1.3255539776935166e-08,5.049729523420865e-09
1839,4.194884994923598e-09,5.5931801412612e-09
1840,1.0828470564661075e-08,1.9109065441114126e-09
1841,7.0626033910059505e-09,1.926164561183441e-09
1842,1.7441489585934278e-08,0.0
1843,7.678984614845064e-09,4.134837805480629e-09
1844,8.232841963717874e-09,1.097712254427563e-09
1845,8.928364381155518e-09,5.580227946389016e-10
1846,1.6978054517835517e-08,3.5127007969038004e-09
1847,4.314578916364553e-09,5.393223645455691e-10
1848,4.02261068899179e-09,1.6090443422100975e-09
1849,2.513824481908955e-09,8.379414939696517e-10
1850,4.073397619208663e-09,1.3577992064028876e-09
1851,9.029214265154906e-09,4.514607354622058e-09
1852,3.906327261660181e-09,2.6042181744401205e-09
1853,6.569124799682413e-09,1.1943863675867306e-09
1854,1.0910895131832632e-08,2.5978321716024766e-09
1855,1.539011762474729e-08,5.306937111981824e-10
1856,9.318940286107136e-09,1.5531567143511893e-09
1857,1.0739319655783675e-08,2.9289055625270066e-09
1858,9.29798454896158e-09,9.787352039936081e-10
1859,8.656694694408884e-09,5.092173349652285e-10
1860,1.3273832921711914e-08,2.746310290291376e-09
1861,1.8392257716826066e-08,4.715963619617014e-09
1862,2.710791813242963e-09,4.517986262886353e-10
1863,6.992469103739296e-09,3.496234690647526e-09
1864,1.2466292886870178e-08,2.8768367688059016e-09
1865,7.530950973944073e-09,8.943004559114343e-09
1866,1.1677470823645564e-08,2.432806400776144e-09
1867,1.067618526917613e-08,9.7056229719783e-10
1868,7.409810987013543e-09,1.4819622196071691e-09
1869,1.3185501579471293e-08,9.767038289254515e-10
1870,9.747882945276842e-09,2.2936195165357276e-09
1871,4.248470908407853e-09,1.0621177271019633e-09
1872,1.2094679036067646e-08,6.047339295989218e-10
1873,4.1902030178953e-09,0.0
1874,8.961913877669758e-09,0.0
1875,1.0298748853720952e-08,0.0
1876,1.1487427897804992e-08,6.04601479992084e-10
1877,1.1132669008873108e-08,1.8554447978047506e-09
1878,7.850815109122777e-09,3.6234530931267273e-09
1879,3.787781621689135e-08,6.10932526790009e-10
1880,1.2835692508872398e-09,0.0
1881,0.0,6.972507571312292e-10
1882,5.324308105514319e-09,1.3310770263785798e-09
1883,3.1596695260205365e-09,0.0
1884,5.281357573494461e-09,6.601696966868076e-10
1885,3.2228178459270396e-09,6.445635691854079e-10
1886,5.808117542471791e-09,6.453463874400711e-10
1887,3.264462256069578e-09,2.6115698492645834e-09
1888,3.1703073499755874e-09,0.0
1889,3.132568426877924e-09,6.265136742733546e-10
1890,7.865263995654459e-09,7.209825181320184e-09
1891,4.461953917456185e-09,0.0
1892,1.8805537127519756e-09,0.0
1893,6.15841644346915e-09,6.158416554491453e-10
1894,1.8904617871129403e-09,6.301539290376468e-10
