year,soixante - dix maîtres
1800,0.0
1801,0.0
1802,0.0
1803,1.071427835341865e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,2.2612181016512523e-09
1820,0.0
1821,0.0
1822,0.0
1823,2.4830505651607382e-08
1824,0.0
1825,9.610704454487973e-10
1826,1.345482747439064e-08
1827,0.0
1828,0.0
1829,0.0
1830,1.141392091952298e-09
1831,0.0
1832,0.0
1833,2.534755960681423e-09
1834,0.0
1835,1.4109328816402922e-08
1836,0.0
1837,0.0
1838,1.0323364385556033e-08
1839,1.5285157584088438e-09
1840,2.7834157201311882e-09
1841,4.211874404802529e-09
1842,0.0
1843,0.0
1844,0.0
1845,1.830121387769168e-09
1846,0.0
1847,2.9452997818424365e-09
1848,0.0
1849,0.0
1850,7.430066562008619e-10
1851,1.411713745902432e-09
1852,7.846884919615604e-09
1853,6.537042018806005e-10
1854,3.978228857448585e-09
1855,0.0
1856,3.969798267888791e-09
1857,1.0699394703550524e-09
1858,6.43318553983363e-09
1859,2.787130304326979e-09
1860,1.0035964281840393e-09
1861,0.0
1862,1.4853255292379686e-09
1863,1.0965226504566772e-09
1864,0.0
1865,4.127684416488364e-09
1866,2.1357224877505132e-09
1867,3.1939990652318784e-09
1868,1.0819822815477664e-09
1869,0.0
1870,1.884986389200094e-09
1871,0.0
1872,0.0
1873,6.560424425927636e-10
1874,8.521713112941143e-09
1875,0.0
1876,6.640831218263088e-10
1877,2.042268132385061e-09
1878,7.976204585702362e-09
1879,6.720529133197317e-10
1880,0.0
1881,7.684392566709164e-10
1882,0.0
1883,0.0
1884,3.637421253088746e-09
1885,1.4204167841924686e-09
1886,2.1334387589888593e-09
1887,7.202624274782465e-09
1888,0.0
1889,2.0742185746769337e-09
1890,0.0
1891,0.0
1892,6.917188488664294e-10
1893,6.792941764643956e-10
1894,0.0
1895,1.0627132063234512e-08
1896,6.504354277403479e-10
1897,3.865104680755849e-09
1898,3.121296332508905e-09
1899,2.44016407080494e-09
1900,0.0
1901,1.2334692156557026e-09
1902,1.0814305007045277e-09
1903,0.0
1904,2.9676132662359578e-09
1905,1.1395792087753875e-09
1906,3.9729601830629235e-09
1907,0.0
1908,0.0
1909,0.0
1910,1.7695075404944305e-09
1911,0.0
1912,1.149544348599818e-09
1913,0.0
1914,4.431956135420023e-09
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,8.356959568800448e-10
1922,0.0
1923,1.173141472854411e-09
1924,2.849811275851266e-09
1925,0.0
1926,7.40742223115376e-09
1927,0.0
1928,5.0606603352321144e-09
1929,0.0
1930,1.1625793661096395e-09
1931,5.051418394685925e-09
1932,0.0
1933,0.0
1934,0.0
1935,5.305495598406651e-09
1936,0.0
1937,0.0
1938,0.0
1939,1.6942175440348706e-09
1940,2.8146149855245994e-09
1941,0.0
1942,0.0
1943,6.422745446599265e-09
1944,0.0
1945,0.0
1946,0.0
1947,1.3167827939142285e-09
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,1.1680282296921973e-09
1953,3.572478313174088e-09
1954,0.0
1955,3.1163478464435457e-09
1956,0.0
1957,9.778776677293877e-10
1958,9.148918289625385e-10
1959,8.574415621964704e-10
1960,3.826682970498041e-09
1961,0.0
1962,1.3988515901175447e-09
1963,1.4264366354765912e-09
1964,0.0
1965,1.8101590226748954e-09
1966,6.110574823914305e-10
1967,5.43188660717675e-10
1968,4.940934328345747e-10
1969,1.4978221996031493e-09
1970,1.0115754900397178e-09
1971,0.0
1972,1.6959011972517146e-09
1973,6.093281434971232e-10
1974,2.48771603317266e-09
1975,0.0
1976,2.5245472379253897e-09
1977,0.0
1978,6.543469655007073e-10
1979,0.0
1980,6.261667295781592e-10
1981,2.7851303485704193e-09
1982,1.3637428963875209e-09
1983,0.0
1984,0.0
1985,6.608413816167058e-10
1986,6.58354371019243e-10
1987,6.713679612246892e-10
1988,1.3171627122332552e-09
1989,0.0
1990,1.1939991217957413e-09
1991,0.0
1992,1.2070071608860644e-09
1993,1.2132143067944412e-09
1994,1.154674023062796e-09
1995,0.0
1996,5.833531990795393e-10
1997,0.0
1998,2.6012800802277525e-09
1999,0.0
2000,0.0
2001,0.0
2002,9.54669232555716e-10
2003,0.0
2004,4.796653629846048e-10
2005,4.904935346772277e-10
2006,8.974836984698698e-10
2007,4.3630241086667354e-10
2008,4.6488379812359426e-10
2009,5.21569676337208e-10
2010,0.0
2011,0.0
2012,0.0
2013,9.240583298542049e-10
2014,0.0
2015,7.354249431656967e-10
2016,4.5849760099692105e-10
2017,1.115607939361496e-09
2018,0.0
2019,8.497503811710772e-10
