year,nos_DET auteurs_NOUN
1800,1.3111165628743038e-06
1801,8.500821593315777e-07
1802,9.645090983667615e-07
1803,7.508806163514237e-07
1804,1.57951275170376e-06
1805,1.6573977319467303e-06
1806,8.731457370458884e-07
1807,1.3124463471569925e-06
1808,2.0598612877620326e-06
1809,1.3283098878602573e-06
1810,1.993788004028829e-06
1811,1.065507623465578e-06
1812,1.8430408488256944e-06
1813,2.631303672728791e-06
1814,1.4380315001005783e-06
1815,1.23802561269315e-06
1816,1.2376004665526352e-06
1817,1.6845370112150704e-06
1818,1.376895975013781e-06
1819,1.7731349046812284e-06
1820,1.094089509656726e-06
1821,1.4654171738293087e-06
1822,1.2812736827072513e-06
1823,1.1276145350791467e-06
1824,1.2564300222450697e-06
1825,1.6237236450944437e-06
1826,1.4832645882645323e-06
1827,1.4314424958139504e-06
1828,1.1391997674081722e-06
1829,1.600612009156066e-06
1830,1.3870555009010133e-06
1831,1.2472965096321786e-06
1832,1.294818083863447e-06
1833,1.478070970506451e-06
1834,1.003462080317874e-06
1835,8.901754569023979e-07
1836,8.582397736378589e-07
1837,1.0040236619879295e-06
1838,1.082535773244686e-06
1839,7.341048942066664e-07
1840,1.20323414432022e-06
1841,1.3810599992503114e-06
1842,1.087409709388254e-06
1843,1.0112631683711903e-06
1844,7.376626527388908e-07
1845,1.0351323102009147e-06
1846,1.0824973086798195e-06
1847,7.302424513966344e-07
1848,7.095885763419574e-07
1849,5.93262561077168e-07
1850,5.865692784823295e-07
1851,7.087933298066673e-07
1852,9.674670593540213e-07
1853,7.566437929540371e-07
1854,6.520558955003253e-07
1855,6.686740832151372e-07
1856,7.336077301189903e-07
1857,6.907335584060981e-07
1858,7.932648697916989e-07
1859,9.405243943660935e-07
1860,7.900219145540177e-07
1861,7.908671300072001e-07
1862,7.901957773670532e-07
1863,1.2546487744291568e-06
1864,7.120170877339405e-07
1865,9.168932830760923e-07
1866,6.787530246743501e-07
1867,8.502125812270833e-07
1868,9.400580402996184e-07
1869,7.613406474149542e-07
1870,6.456539010102347e-07
1871,4.7582874174167955e-07
1872,6.343658768281912e-07
1873,9.122670798222821e-07
1874,6.613892103990437e-07
1875,7.655403084783075e-07
1876,9.304816588340259e-07
1877,9.036016432872884e-07
1878,1.0157746879180252e-06
1879,9.115113224211768e-07
1880,8.003054254857034e-07
1881,8.499486616742047e-07
1882,8.139536280538096e-07
1883,8.436317351367961e-07
1884,8.410561962435281e-07
1885,7.77988214295533e-07
1886,7.660261474029539e-07
1887,7.99140387641728e-07
1888,8.680301668562151e-07
1889,9.360114123779795e-07
1890,9.235130476459297e-07
1891,7.445089265090132e-07
1892,8.45622319500805e-07
1893,6.731149327365848e-07
1894,7.208960894899974e-07
1895,7.890403845856042e-07
1896,8.356090135386296e-07
1897,8.839124259196751e-07
1898,8.323440141566607e-07
1899,7.517506404042251e-07
1900,8.217436979762738e-07
1901,7.494498612814482e-07
1902,7.414528502280859e-07
1903,8.67275403493295e-07
1904,7.712586862496096e-07
1905,8.365590580261539e-07
1906,9.058908929659992e-07
1907,7.997121329594847e-07
1908,8.452500446232136e-07
1909,9.390178714596686e-07
1910,1.0971541426485487e-06
1911,9.369178801676981e-07
1912,9.538450100876616e-07
1913,1.0722644958605088e-06
1914,9.047300810749448e-07
1915,8.94159807085515e-07
1916,7.636286112333579e-07
1917,6.843048740989843e-07
1918,8.718159349996313e-07
1919,7.955581149965418e-07
1920,8.42032186643138e-07
1921,1.0526118848774857e-06
1922,1.0520935944668963e-06
1923,1.1210440740150318e-06
1924,1.0248841304516532e-06
1925,9.43643654105486e-07
1926,8.983787704863744e-07
1927,1.2041162769094171e-06
1928,9.220815487820389e-07
1929,9.658732145201299e-07
1930,7.594105158048592e-07
1931,9.76298512256335e-07
1932,1.1211605794869683e-06
1933,1.0725068886330291e-06
1934,8.43503221048536e-07
1935,9.682341630679048e-07
1936,8.00231145348107e-07
1937,6.408879220654029e-07
1938,9.85356310323482e-07
1939,8.029376470375382e-07
1940,9.88955333403041e-07
1941,1.3488367081038177e-06
1942,1.4989006302812413e-06
1943,9.203255837419988e-07
1944,8.418547476907179e-07
1945,7.25441823501427e-07
1946,7.754055104669533e-07
1947,7.271731023994477e-07
1948,7.566834057115557e-07
1949,7.549279521512631e-07
1950,7.785084605860249e-07
1951,8.049358213302327e-07
1952,7.528990026983706e-07
1953,8.037274921157689e-07
1954,7.554170242674019e-07
1955,8.13732200288797e-07
1956,6.061193431605716e-07
1957,8.207750092914523e-07
1958,7.718002978940319e-07
1959,7.316706032156617e-07
1960,9.024766756127178e-07
1961,8.622665716995215e-07
1962,6.817603264153149e-07
1963,8.774434350211635e-07
1964,7.787479510135142e-07
1965,8.465251255529438e-07
1966,8.364002752614397e-07
1967,1.1093255096739085e-06
1968,1.0653638540247812e-06
1969,8.674757534521405e-07
1970,8.342086985635433e-07
1971,9.110378798027341e-07
1972,1.211227678155069e-06
1973,1.0530219327620216e-06
1974,8.162704272507426e-07
1975,7.053677997248542e-07
1976,9.37589778260417e-07
1977,1.104247277616821e-06
1978,8.542570366643076e-07
1979,9.234413687053689e-07
1980,1.2757477865221745e-06
1981,1.0386552125041248e-06
1982,1.0652074404760015e-06
1983,8.76565859009304e-07
1984,9.405991994171359e-07
1985,8.818808208133078e-07
1986,9.585182381144364e-07
1987,9.062341375098981e-07
1988,9.138747776304967e-07
1989,8.687697250486792e-07
1990,8.619765932138534e-07
1991,1.0527191705023142e-06
1992,8.716731718649839e-07
1993,9.150770745591785e-07
1994,8.492631868861622e-07
1995,8.610852137991287e-07
1996,8.428847282360152e-07
1997,8.156115294255528e-07
1998,9.85095513605927e-07
1999,1.0621147454870083e-06
2000,8.836063019046492e-07
2001,8.232296675458883e-07
2002,9.809554795126019e-07
2003,8.663032597944209e-07
2004,9.79185097449431e-07
2005,1.0070384028892931e-06
2006,9.44643955058666e-07
2007,7.537582646932606e-07
2008,6.603288795758999e-07
2009,7.562353425694113e-07
2010,6.967594439188929e-07
2011,5.892740755353287e-07
2012,4.704677292188819e-07
2013,3.8657271639319646e-07
2014,6.645751089440211e-07
2015,4.6126934449830514e-07
2016,5.451766802444524e-07
2017,5.089081629994219e-07
2018,5.304914172388209e-07
2019,5.535643642362587e-07
