year,puissions_VERB être_VERB,puissions_VERB etre_VERB,puissions_VERB mettre_VERB
1800,9.746909768182377e-08,0.0,2.5153315874604232e-08
1801,1.6430159632818686e-07,2.3811825844433088e-09,2.1430643926123594e-08
1802,9.175144555229053e-08,0.0,2.0140561218795483e-08
1803,1.3067273130218382e-07,0.0,9.751696339321825e-09
1804,1.8044511307380162e-07,2.4718509461507665e-09,4.943701892301533e-09
1805,1.6204403152642044e-07,0.0,5.685755422035754e-09
1806,1.4696512096179504e-07,0.0,5.76333825108577e-09
1807,1.224190668835945e-07,0.0,2.8469551160981155e-09
1808,8.611080914988634e-08,0.0,0.0
1809,1.0617443280125372e-07,0.0,1.8072244145628247e-08
1810,1.7316938283329364e-07,0.0,2.3401266702194334e-08
1811,4.011322829455821e-08,0.0,0.0
1812,1.2535878113340004e-07,0.0,1.8670457180292033e-08
1813,7.189353823378042e-08,0.0,0.0
1814,5.97868634599763e-08,0.0,2.8320094713762956e-08
1815,9.440282155992463e-08,0.0,1.3486118000116676e-08
1816,6.257530316133852e-08,0.0,0.0
1817,1.5257359109455138e-07,0.0,9.341240669868967e-09
1818,1.740491910595665e-07,0.0,4.768470951432846e-09
1819,1.656167967212241e-07,1.035105001712111e-09,9.315945348475907e-09
1820,6.763894333516873e-08,0.0,4.746592452420373e-09
1821,3.2542911299060506e-07,0.0,2.465372084259343e-08
1822,1.7544827812798758e-07,1.0025615893027862e-09,2.8071724500478012e-08
1823,1.7788836714771605e-07,0.0,4.941343334508019e-08
1824,1.70106474683962e-07,0.0,5.052667617633233e-08
1825,1.1359021812040737e-07,0.0,2.289415235168235e-08
1826,9.776862697208344e-08,0.0,3.435113882233054e-08
1827,9.770309361556428e-08,0.0,8.295545583791863e-09
1828,1.201571393494305e-07,0.0,3.0268594741755805e-08
1829,9.944884027390799e-08,0.0,8.573175946935407e-09
1830,1.1897992635567789e-07,2.0873671680021744e-09,1.1480519646056564e-08
1831,1.1381580122815649e-07,0.0,9.354723218280014e-09
1832,1.0959275442701255e-07,0.0,2.705993829010822e-08
1833,1.332117278707301e-07,0.0,1.6217079235048004e-08
1834,1.7922299377914896e-07,0.0,1.5868701908061666e-08
1835,1.4218605315363675e-07,0.0,2.0420337421001022e-08
1836,1.1828520030121581e-07,6.720750067579218e-10,2.688300071440608e-08
1837,1.4820307114860043e-07,0.0,1.2524203896191466e-08
1838,1.312929640562288e-07,0.0,1.2624323808552163e-08
1839,1.3353717065456294e-07,0.0,3.8453112694014635e-08
1840,1.6688584025814635e-07,0.0,1.7198159341091923e-08
1841,1.9390056138490763e-07,6.420548537278137e-10,2.118781061710706e-08
1842,1.489234904283876e-07,6.708265054555795e-10,2.4149754196400863e-08
