year,les_DET arbres_NOUN,les_DET marbres_NOUN
1800,2.9643183552252594e-05,2.2009150786317377e-06
1801,2.2780772951591644e-05,1.962094474450282e-06
1802,2.303856331309362e-05,3.851322873060781e-06
1803,3.922327232430689e-05,3.0015720469123153e-06
1804,3.1469133546124795e-05,1.4633358063065316e-06
1805,3.0876494292897405e-05,1.242337559936857e-06
1806,1.8932565239992982e-05,3.3917245687575814e-06
1807,1.9051822846449795e-05,1.9587050843483667e-06
1808,2.155036395379284e-05,3.5645343814394437e-06
1809,3.5082744716419256e-05,2.0444225823368356e-06
1810,2.060949645965593e-05,1.4368378060680698e-06
1811,1.721358864870126e-05,2.0081684510842024e-06
1812,1.7347522657473746e-05,2.200446802103073e-06
1813,1.5385217920993455e-05,1.3544742927251718e-06
1814,1.257412168342853e-05,1.246084120776203e-06
1815,1.4745721500730724e-05,1.8772675929312754e-06
1816,2.490960650902707e-05,1.7451557603465062e-06
1817,2.0314083826633578e-05,1.8604637261887547e-06
1818,1.6813628349154897e-05,2.735910316076229e-06
1819,1.3538138659896504e-05,1.4729544659530802e-06
1820,1.5003978774075222e-05,1.4121112883458409e-06
1821,1.3064499853499001e-05,2.3736602052792932e-06
1822,1.3163633411750197e-05,1.7274136610012647e-06
1823,1.5030578765617975e-05,1.8194026907281113e-06
1824,1.2973565958418476e-05,1.6808541261070786e-06
1825,1.590439148912992e-05,1.5356692952828155e-06
1826,1.44609487051639e-05,1.2331178353974792e-06
1827,1.7182841247631586e-05,1.830550402814879e-06
1828,1.3848340472577547e-05,1.7454889729151546e-06
1829,1.5019346847111592e-05,2.127862305023598e-06
1830,1.5299357983167283e-05,1.6124911317305646e-06
1831,1.9559168322302867e-05,1.0898252753577253e-06
1832,1.752536900312407e-05,1.4098228646730604e-06
1833,2.0625808247132227e-05,1.8035709814512302e-06
1834,1.8292880668013822e-05,1.799697535886935e-06
1835,1.7466195572524157e-05,1.6827870652491583e-06
1836,1.636569868423976e-05,1.5000713915469532e-06
1837,1.571509244513436e-05,1.5488265461272022e-06
1838,1.4179009554027289e-05,1.5079754405178392e-06
1839,1.4410129210773448e-05,1.4731038258108953e-06
1840,1.1992212762379495e-05,1.1822142607087471e-06
1841,1.4059717045711295e-05,1.6520071888237453e-06
1842,1.3334688901522895e-05,1.3443363293674793e-06
1843,1.3626653299070313e-05,1.561196569355161e-06
1844,1.4176953641253931e-05,1.4061694293410198e-06
1845,1.3955034205537231e-05,1.3392546649448889e-06
1846,1.4522675883199554e-05,1.258717823304778e-06
1847,1.1751295005524298e-05,1.1751834136930484e-06
1848,1.390616614571627e-05,9.324412220124145e-07
1849,1.7657941839388513e-05,9.51063593213064e-07
1850,1.4028781151864678e-05,1.1595605045044977e-06
1851,1.345159421362041e-05,1.4162967183484199e-06
1852,1.4127232930150058e-05,1.232446283694344e-06
1853,1.4586443512598635e-05,1.3819049868857292e-06
1854,1.1834164979518391e-05,1.438159952016349e-06
1855,1.404268607529957e-05,1.805950741839979e-06
1856,1.3301752801453404e-05,2.2624318054553783e-06
1857,1.4319906881610223e-05,1.3263060196777587e-06
1858,1.3029901424488344e-05,1.1798653480887822e-06
1859,1.3963248420623131e-05,1.0810684090145628e-06
1860,1.4678113643640245e-05,1.196933569147518e-06
1861,1.4573271528206533e-05,1.3912092686751976e-06
1862,1.372880512917618e-05,1.432653427446695e-06
1863,1.4124288668426743e-05,1.4009911826207144e-06
1864,1.3289547723616124e-05,1.7294583791738205e-06
1865,1.3316603826751816e-05,1.519840031605213e-06
1866,1.3008702694605745e-05,1.116658152611194e-06
1867,1.4313852830127871e-05,1.385962974609356e-06
1868,1.4003555179442628e-05,1.4824562315496337e-06
1869,1.3027763884565502e-05,1.865504339892965e-06
1870,1.3179137454244483e-05,1.4719303020882535e-06
1871,1.3818151614941598e-05,1.1247827131910526e-06
1872,1.311849302965129e-05,1.1054536113164204e-06
1873,1.3440375710160879e-05,1.2654412890888977e-06
1874,1.2301720175855735e-05,1.444063041589061e-06
1875,1.394393393638893e-05,1.562549002187552e-06
1876,1.4274640648181958e-05,1.8676139363904554e-06
1877,1.4448967135649582e-05,1.614236987634854e-06
1878,1.4530651014865725e-05,1.6722236817479086e-06
1879,1.3325660233931558e-05,1.315337750273926e-06
1880,1.3160435059944575e-05,1.573014112743465e-06
1881,1.3686335137208516e-05,1.4502815659511725e-06
1882,1.4847498619019461e-05,1.378330311663234e-06
1883,1.3882955727240187e-05,1.5937372888075174e-06
1884,1.3992956951369706e-05,1.291291944482964e-06
1885,1.2516135598161782e-05,9.739355335547373e-07
1886,1.2618458185897907e-05,1.2519720442583093e-06
1887,1.4133815625427815e-05,1.040057704848607e-06
1888,1.3169456678951974e-05,1.0316179928082647e-06
1889,1.3703107470064424e-05,1.3081606065057372e-06
1890,1.3564957953349221e-05,1.2669629481099065e-06
1891,1.3273675676828134e-05,1.4246381450089274e-06
1892,1.3402079162005975e-05,1.3395810505301142e-06
1893,1.3770834812021349e-05,1.015522862468643e-06
1894,1.371467055832909e-05,1.1991829160784562e-06
1895,1.3440167776934686e-05,1.0755264003847742e-06
1896,1.3862735841030371e-05,1.057337287946325e-06
1897,1.4279527249527746e-05,1.158350643626349e-06
1898,1.3280158668749209e-05,1.0173721918249612e-06
1899,1.5384909374915878e-05,1.0275768023149112e-06
1900,1.399404152380157e-05,1.1051752166757467e-06
1901,1.3433652043204347e-05,1.0808621020430564e-06
1902,1.695226387710136e-05,1.0164287722602694e-06
1903,1.4406707691705378e-05,1.1810281779212062e-06
1904,1.3304347589837562e-05,1.0383775883582302e-06
1905,1.361046952297329e-05,1.0945969988185311e-06
1906,1.4836856848887692e-05,9.202946094077902e-07
1907,1.4061048432267853e-05,9.035975860882672e-07
1908,1.3933610489402781e-05,8.688247241650515e-07
1909,1.39466438895397e-05,9.186642759839714e-07
1910,1.512982464646484e-05,1.0084412527255893e-06
1911,1.43559652769909e-05,1.0002303589828898e-06
1912,1.3411133750196313e-05,1.1992087749490565e-06
1913,1.3949514254818496e-05,1.0690827370041234e-06
1914,1.3891055914427852e-05,7.989215475845413e-07
1915,1.2376868085084425e-05,5.489835180894076e-07
1916,1.3026735246057797e-05,6.834201542460505e-07
1917,1.4448264550992462e-05,7.775194874604097e-07
1918,1.458425219880155e-05,8.83302331722291e-07
1919,1.4866991932649398e-05,8.940821034641999e-07
1920,1.3739814789914817e-05,8.511188447357654e-07
1921,1.3734692402067594e-05,7.890802828924848e-07
1922,1.4652579807261645e-05,8.956813424276788e-07
1923,1.372217423067923e-05,9.649896970387317e-07
1924,1.565300988204399e-05,8.392447607974418e-07
1925,1.463417515878973e-05,1.146010184527313e-06
1926,1.510636161583534e-05,9.440779464853222e-07
1927,1.5942276490932272e-05,1.3133787266639274e-06
