year,dois_VERB être_VERB,dois_VERB etre_VERB,dois_VERB mettre_VERB
1800,7.577436349492928e-07,0.0,1.2576657582030748e-07
1801,1.3310810800248873e-06,1.1905912700171939e-08,5.714838380299625e-08
1802,1.0003145689552184e-06,4.475680270843441e-09,1.3650824826072494e-07
1803,9.712689461593982e-07,0.0,4.4857802805609026e-08
1804,1.4781668369323597e-06,2.4718509461507665e-09,6.426812149129546e-08
1805,9.324638767793658e-07,0.0,9.097208675257207e-08
1806,1.0719809324655216e-06,5.76333825108577e-09,1.2391177506287931e-07
1807,7.515961328863341e-07,0.0,3.131650672116848e-08
1808,8.135205575854343e-07,0.0,5.891792298484688e-08
1809,8.31323234251613e-07,4.518061036407062e-09,1.603911670144953e-07
1810,1.3455728549160995e-06,0.0,1.6380887757350138e-07
1811,7.345735184571822e-07,0.0,1.1031137603367824e-07
1812,1.08555377664743e-06,0.0,4.5342538612658245e-08
1813,8.713496981727076e-07,2.8757416448144113e-09,4.026038169513413e-08
1814,9.974966133086127e-07,0.0,1.0069366851439554e-07
1815,9.467254926676105e-07,0.0,1.1867783911156948e-07
1816,1.0637801324264728e-06,2.3176038865813098e-09,8.343373991692715e-08
1817,1.3264561857795343e-06,0.0,1.2454987086130132e-07
1818,8.177927952601749e-07,0.0,1.0013788909191135e-07
1819,9.533317211207759e-07,2.070210003424222e-09,7.556266723440785e-08
1820,1.0228907285636524e-06,2.3732962262101864e-09,1.0679833195581523e-07
1821,1.479223215028469e-06,0.0,1.5383922402634198e-07
1822,1.220117496814055e-06,1.0025615893027862e-09,1.2030739071633434e-07
1823,1.3114325838614604e-06,2.9648061783404955e-09,1.1365089847004128e-07
1824,1.1924295222343062e-06,8.421112696055388e-10,1.3389569630817277e-07
1825,1.0725029824243393e-06,0.0,1.426481759381204e-07
1826,9.221959658134438e-07,0.0,9.864942285275902e-08
1827,8.784061265032506e-07,3.6869092223668076e-09,5.069500019772022e-08
1828,8.411000180785777e-07,1.8344602503717056e-09,9.172300963200541e-08
1829,8.093078349702409e-07,0.0,9.773420828196322e-08
1830,1.0676883448468288e-06,2.0873671680021744e-09,1.0436836106464398e-07
1831,1.0695567880247836e-06,0.0,8.886987501455224e-08
1832,1.2190502047815244e-06,0.0,1.1635773944362882e-07
1833,9.91558636087575e-07,0.0,5.3284690437749305e-08
1834,9.931941349350382e-07,9.334530925997342e-10,9.521221500108368e-08
1835,1.137488425229094e-06,0.0,1.0210168710500511e-07
1836,9.771970326255541e-07,2.016224964762614e-09,1.1089237261785456e-07
1837,9.657552482167375e-07,2.7831563720326358e-09,1.0575994480177542e-07
1838,7.719773975622957e-07,2.5248647617104325e-09,8.647661786653771e-08
1839,7.89337548212643e-07,0.0,8.87917366299007e-08
1840,8.509904318998451e-07,2.5478754661634184e-09,8.599079848181646e-08
1841,8.250405016951845e-07,1.926164561183441e-09,7.383631128732304e-08
1842,7.989543746589334e-07,1.341653010911159e-09,1.0196562527653441e-07
1843,8.523672931914916e-07,1.1813822142769936e-09,9.687334312502571e-08
1844,7.843154321562906e-07,0.0,8.562155784375136e-08
1845,8.906043831302668e-07,5.580227946389016e-10,8.314539456932835e-08
1846,8.933969297686417e-07,5.854501328173001e-10,9.133022160767723e-08
1847,5.867827326255792e-07,5.9325460100012606e-09,6.148275133455172e-08
1848,6.452268053180887e-07,4.02261068899179e-09,1.0378335701943797e-07
1849,6.209146476976457e-07,1.6758829879393033e-09,8.630797054820505e-08
1850,5.566976710724703e-07,2.0366988096043315e-09,1.1201843364005981e-07
1851,7.068584864100558e-07,6.449438760824933e-10,7.545843061507185e-08
1852,6.979304885135207e-07,1.3021090872200602e-09,4.687592536356533e-08
1853,6.867721822345629e-07,0.0,6.688563303214323e-08
1854,7.289517043318483e-07,5.195664454227256e-10,4.416314780542052e-08
1855,8.788288141658995e-07,2.1227748447927297e-09,7.058226003664458e-08
1856,7.672594506402675e-07,5.177189232874468e-10,8.852993715890989e-08
1857,8.113067906379001e-07,4.881509085841174e-10,8.200935042168567e-08
1858,8.989682669380272e-07,2.936205500958522e-09,9.59160502134182e-08
1859,7.989619916770607e-07,5.092173349652285e-10,5.601390640208592e-08
1860,9.044515536515974e-07,0.0,1.1946450229061156e-07
