year,plusieurs_DET êtres_NOUN,plusieurs_DET etres_NOUN
1800,1.2262241000371432e-07,3.144164484325529e-09
1801,8.810375828893768e-08,0.0
1802,2.0588129245879827e-07,0.0
1803,1.014176405078615e-07,1.755305234496518e-08
1804,7.168367943677367e-08,2.4718509461507665e-09
1805,1.336152555264647e-07,0.0
1806,6.339671898558663e-08,8.06867319624871e-08
1807,4.555128185756985e-08,3.9857372513552036e-08
1808,1.3596443837471384e-07,0.0
1809,1.4457795316502597e-07,2.259030518203531e-09
1810,1.6146874770583963e-07,7.020380277111826e-09
1811,5.264861258069686e-08,1.504245972228091e-08
1812,8.268345208506389e-08,0.0
1813,7.476928232108548e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,5.933891955578474e-08,0.0
1816,1.9467873357825738e-07,2.3176038865813098e-09
1817,1.2454987086130132e-07,0.0
1818,2.491526061021432e-07,4.768470951432846e-09
1819,9.522965882524659e-08,0.0
1820,2.2427649071232736e-07,8.306536791735653e-09
1821,6.508582195419166e-08,0.0
1822,9.223566621585633e-08,1.0025615893027862e-09
1823,7.609668983832307e-08,0.0
1824,6.315834699677225e-08,8.421112696055388e-10
1825,6.604082325445404e-08,0.0
1826,1.1714619119196357e-07,0.0
1827,7.92685455053288e-08,0.0
1828,1.0456423638061096e-07,0.0
1829,7.54439470895818e-08,0.0
1830,1.0436836106464398e-07,4.174734336004349e-09
1831,5.456921980950824e-08,0.0
1832,1.0418076179519176e-07,0.0
1833,8.571885246055899e-08,0.0
1834,1.101474680353931e-07,0.0
1835,1.368918916000439e-07,0.0
1836,1.1290860157942006e-07,2.016224964762614e-09
1837,9.46273162050204e-08,6.957890930081589e-10
1838,8.205810475558906e-08,0.0
1839,9.0190031665216e-08,0.0
1840,1.840840013755951e-07,3.1848443882154243e-09
1841,8.025685360735224e-08,1.926164561183441e-09
1842,1.81123161802077e-07,0.0
1843,2.421833533716722e-07,1.7720733769266417e-09
1844,1.3172547591588923e-07,0.0
1845,1.7912532257469138e-07,0.0
1846,1.3055537984030252e-07,4.0981509297211005e-09
1847,1.2835871743277494e-07,1.0786447290911383e-09
1848,1.0861049393184885e-07,0.0
1849,1.0222886004385145e-07,0.0
1850,2.0299097513998277e-07,0.0
1851,1.051258518014464e-07,0.0
1852,1.1979403713446857e-07,6.510545436100301e-10
1853,1.3496565620663148e-07,0.0
1854,1.241763737391821e-07,1.454786069388092e-08
1855,1.5124771124419567e-07,0.0
1856,1.0509694065019559e-07,5.177189343896771e-09
1857,1.0983395526409367e-07,9.763018171682347e-10
1858,8.074565277516044e-08,1.957470352476065e-09
1859,1.1762920415492317e-07,0.0
1860,1.016134802966917e-07,9.154367819341758e-10
1861,1.108251481696243e-07,0.0
1862,5.4215835432191994e-08,0.0
1863,8.840478954441622e-08,0.0
1864,1.1890925433188926e-07,0.0
1865,9.837304976167971e-08,1.882737743486018e-09
1866,1.0169131314796687e-07,5.352174259343201e-09
1867,4.949867538073249e-08,0.0
1868,6.767627525050557e-08,0.0
1869,5.567211702750541e-08,4.883519144627257e-10
1870,9.002456380358126e-08,0.0
1871,7.859671402599133e-08,0.0
1872,7.01491389420994e-08,0.0
1873,4.669083641939409e-08,0.0
1874,4.8991794399100286e-08,0.0
1875,1.430381786349244e-07,0.0
1876,1.148742825307636e-07,6.04601479992084e-10
1877,9.586465088418095e-08,0.0
1878,5.555961712921942e-08,0.0
1879,9.347267848625052e-08,0.0
1880,1.0396910710142038e-07,6.417846254436199e-10
1881,5.299105865219644e-08,0.0
1882,4.1928925886836055e-08,0.0
1883,6.824886078504733e-08,0.0
1884,4.2250860587955685e-08,0.0
1885,6.123353757381267e-08,0.0
1886,4.775563361425483e-08,0.0
1887,4.7661149693567495e-08,0.0
1888,5.7699594435689505e-08,0.0
1889,7.580815264418561e-08,0.0
1890,4.4569826940232815e-08,0.0
1891,3.505821055682645e-08,0.0
1892,4.450643920073105e-08,0.0
1893,5.2962381147381166e-08,1.2316833108982905e-09
1894,5.671385228112058e-08,0.0
1895,5.2963805785566365e-08,2.4074457982692365e-09
1896,5.366296207398591e-08,0.0
1897,3.670829618052096e-08,0.0
1898,3.7910977912503085e-08,0.0
1899,6.025060450554065e-08,5.527578395003729e-10
1900,6.90410102421879e-08,0.0
1901,7.209473551483825e-08,5.588738916095792e-10
1902,5.352209342390779e-08,0.0
1903,5.3462179350205474e-08,5.400220270956879e-10
1904,6.449550316034447e-08,1.0749250378694342e-09
1905,5.1091515018697464e-08,0.0
1906,6.12157933232993e-08,0.0
1907,5.759984550435249e-08,0.0
1908,6.384805573134145e-08,0.0
1909,5.941062219960713e-08,0.0
1910,8.390316574846679e-08,1.6032452032632705e-09
1911,6.810078656549479e-08,0.0
1912,7.918320343858198e-08,5.209421227725386e-10
1913,5.3560196278112926e-08,5.30298971401777e-10
1914,7.969124737883249e-08,0.0
1915,4.5944972271172446e-08,0.0
1916,4.504859418830165e-08,0.0
1917,6.908847183240141e-08,1.0966424435210342e-09
1918,4.2499593178035866e-08,0.0
1919,3.775217966017763e-08,0.0
1920,7.950843183834877e-08,0.0
1921,5.755288157160976e-08,0.0
1922,6.71392115236813e-08,0.0
1923,8.705077325643629e-08,0.0
1924,8.508472149060253e-08,0.0
1925,1.0338287093070164e-07,0.0
1926,7.913758470756704e-08,0.0
1927,9.476841000832792e-08,1.1149224876660924e-09
1928,9.02657291135256e-08,1.1426041224282812e-09
1929,8.021092412491271e-08,2.2280812750352652e-09
1930,5.461873797685257e-08,3.1510811737689437e-09
1931,4.1059283972799676e-08,1.1405356659111021e-09
1932,1.0521154836240498e-07,0.0
1933,5.047091278242988e-08,0.0
1934,4.912448048344231e-08,0.0
1935,6.223507398317452e-08,0.0
1936,8.972289133879485e-08,0.0
1937,3.1477796369472344e-08,0.0
1938,1.1798345056490689e-07,0.0
1939,6.576441791139587e-08,0.0
1940,4.81798743123818e-08,0.0
1941,4.7224041566096275e-08,0.0
1942,1.1833425617169269e-07,0.0
1943,5.516146828199453e-08,0.0
1944,8.675602458652065e-08,0.0
1945,1.241747327185294e-07,2.178504043826024e-09
1946,1.0580039599972224e-07,0.0
1947,1.2397705506650425e-07,0.0
1948,9.567261272103167e-08,1.0871887834440486e-09
1949,7.951776992420889e-08,0.0
1950,6.168509969484148e-08,0.0
1951,7.143139413301469e-08,4.264560704569931e-09
1952,7.170466831407651e-08,0.0
1953,6.572035005092403e-08,0.0
1954,9.38163466912556e-08,9.772536113672459e-10
1955,5.5375085850073447e-08,0.0
1956,8.197873313520176e-08,1.744228317335228e-09
1957,6.802979157782829e-08,0.0
