year,anciens_ADJ êtres_NOUN,anciens_ADJ mètres_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,4.000812481308458e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,8.80798456392995e-09,0.0
1827,0.0,0.0
1828,0.0,2.2930752408001354e-08
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,8.108539617524002e-09,0.0
1834,1.213489042584115e-08,9.334531370086552e-09
1835,7.563087933704082e-10,0.0
1836,1.4785650037651976e-08,0.0
1837,1.3915781860163179e-09,0.0
1838,1.2624323808552163e-09,7.574594285131298e-09
1839,5.5931801412612e-09,0.0
1840,0.0,0.0
1841,5.1364388298225094e-09,1.926164561183441e-09
1842,1.0733224087289273e-08,0.0
1843,1.1813822142769936e-09,3.5441467538532834e-09
1844,4.390849017710252e-09,6.037417232818143e-09
1845,0.0,0.0
1846,8.781752214304106e-09,1.7563503984519002e-09
1847,5.393223645455691e-10,1.0786447290911383e-09
1848,0.0,0.0
1849,2.513824481908955e-09,0.0
1850,1.1541293254424545e-08,5.431196825611551e-09
1851,3.2247193804124663e-09,0.0
1852,1.5625309046640723e-08,0.0
1853,5.3747388761848924e-09,0.0
1854,7.79349651480743e-09,1.558699391779328e-09
1855,0.0,2.653468555990912e-09
1856,1.0354378465748937e-09,0.0
1857,2.1966791052818735e-08,4.881509085841174e-10
1858,3.9149408159744326e-09,0.0
1859,1.1202780925145817e-08,0.0
1860,6.408057640072684e-09,1.8308735638683515e-09
1861,4.715963730639317e-10,2.357981809808507e-09
1862,3.6143890103090826e-09,0.0
1863,4.994620828036034e-10,2.4973103585068657e-09
1864,4.315255264231155e-09,0.0
1865,4.706844247692743e-09,4.706844358715045e-10
1866,6.811858188626729e-09,0.0
1867,7.76449837758264e-09,4.85281148598915e-10
1868,1.975949626142892e-09,0.0
1869,3.906815315701806e-09,4.883519144627257e-10
1870,1.7202147262196377e-08,0.0
1871,1.805600113868877e-08,4.248470908407853e-09
1872,6.652073114565837e-09,7.861540751719076e-09
1873,7.781805422268917e-09,6.584604861359367e-09
1874,1.0156835372754358e-08,5.974609140757536e-10
1875,4.005069165202713e-09,0.0
1876,6.04601479992084e-10,0.0
1877,1.6699003069220453e-08,0.0
1878,2.6571990829893366e-08,6.039088673581716e-10
1879,1.1607718342077078e-08,3.0546627449723474e-09
1880,3.8507077526617195e-09,2.5671385017744797e-09
1881,1.045876096839038e-08,6.2752567586699115e-09
1882,1.0648616211028639e-08,1.3310770263785798e-09
1883,2.6541224329434954e-08,0.0
1884,5.941527270181268e-09,6.601696966868076e-09
1885,3.2228177904158883e-09,2.5782542767416317e-09
1886,9.034849313138693e-09,6.4534639854230136e-09
1887,7.1818169189441505e-09,1.9586774424595887e-09
1888,1.7119660356001987e-08,6.340614699951175e-10
1889,1.2530273485467092e-09,6.265136742733546e-10
1890,7.865263995654459e-09,3.9326319978272295e-09
1891,4.461953917456185e-09,0.0
1892,5.014809900671935e-09,1.2537024751679837e-09
1893,3.695050043717174e-09,1.2316833108982905e-09
1894,6.301539290376468e-09,8.192000855444803e-09
1895,1.2037228991346183e-09,3.0093072478365457e-09
1896,2.7126333179694484e-08,1.179405795248556e-09
1897,5.2440420894583895e-09,1.1653427112179315e-09
1898,1.0185038590293516e-08,5.6583548957434e-10
1899,0.0,6.633094074004475e-09
1900,1.038210628578895e-09,2.07642125715779e-09
1901,0.0,1.1177477832191585e-09
1902,9.820567470342212e-09,1.9641135384773634e-09
1903,1.0800440541913758e-09,4.320176216765503e-09
1904,4.299700151477737e-09,5.374625189347171e-10
1905,6.192911072844254e-09,0.0
1906,1.0288369267641428e-08,2.572092316910357e-09
1907,8.228549397415463e-09,9.257117739025489e-09
1908,1.0313916831705683e-08,2.4556945366072114e-09
1909,4.950885035270858e-09,2.7504918342913243e-09
1910,6.947395991829808e-09,3.740905363258662e-09
1911,1.5961122423746588e-09,6.916486494645824e-09
1912,5.209421227725386e-10,3.646594803896619e-09
1913,6.893886794756554e-09,0.0
1914,0.0,6.696743715117748e-10
1915,1.4136913861761968e-08,0.0
1916,0.0,0.0
1917,2.1932848870420685e-09,5.483212106582869e-09
1918,2.2972752589112133e-09,6.89182577673364e-09
1919,0.0,0.0
