year,différents_DET effets_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,9.360507036149102e-09
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,7.152706427149269e-09
1819,0.0
1820,0.0
1821,1.972297702934611e-08
1822,1.2030739071633434e-08
1823,9.882686669016039e-09
1824,9.263223965660927e-09
1825,5.283265824829186e-09
1826,7.0463874735082754e-09
1827,3.6869092223668076e-09
1828,7.337841001486822e-09
1829,9.430493719264632e-09
1830,1.5655253093882493e-08
1831,4.677361609140007e-09
1832,0.0
1833,1.2741991461950875e-08
1834,2.8003592777992026e-09
1835,4.5378527602224494e-09
1836,8.064899859050456e-09
1837,6.957891152126194e-09
1838,3.1560809521380406e-09
1839,1.3283802502428443e-08
1840,8.280594876453051e-09
1841,7.704658244733764e-09
1842,1.341653010911159e-08
1843,8.860366718099755e-09
1844,1.4270259640625227e-08
1845,8.928364714222425e-09
1846,1.5807152919933287e-08
1847,5.3932236454556914e-09
1848,9.654266053260585e-09
1849,8.379414939696517e-10
1850,1.1541293254424545e-08
1851,1.1608989325395669e-08
1852,1.5625309046640723e-08
1853,5.3747388761848924e-09
1854,5.195664343204953e-09
1855,1.2736649068756378e-08
1856,8.801221973442352e-09
1857,1.0739319655783675e-08
1858,1.2234189661342043e-08
1859,5.092173349652285e-09
1860,1.0069804545764782e-08
1861,8.017138064531082e-09
1862,3.162590411776023e-09
1863,1.1987090431375691e-08
1864,3.835782358407869e-09
1865,1.0355057256106193e-08
1866,1.1190909532388105e-08
1867,1.747012134956094e-08
1868,9.385760613156435e-09
1869,1.2208797528501236e-08
1870,7.454262984651905e-09
1871,1.0621176826930423e-08
1872,6.047339518033823e-09
1873,1.2570609442263958e-08
1874,7.766991494406739e-09
1875,6.293679799540541e-09
1876,2.9020871039620033e-08
1877,2.4739263970730008e-09
1878,1.1474268646338714e-08
1879,1.0385853066452455e-08
1880,3.8507077526617195e-09
1881,1.3945014920579979e-08
1882,1.4641846846075168e-08
1883,1.2006744043446815e-08
1884,6.601696966868076e-10
1885,9.66845359329227e-09
1886,1.355227396970804e-08
1887,1.4363633837888301e-08
1888,1.9021844099853524e-09
1889,5.012109394186837e-09
1890,0.0
1891,3.1871101313640793e-09
1892,5.014809900671935e-09
1893,2.463366621796581e-09
1894,1.2603078580752936e-09
1895,1.8055843487019274e-09
1896,5.307326134129653e-09
1897,6.409385022720926e-09
1898,6.790025985914383e-09
1899,5.527578395003729e-10
1900,9.863001082521805e-09
1901,6.706486921359556e-09
1902,4.419255628107521e-09
1903,1.026041895890728e-08
1904,2.6873125946735854e-09
1905,4.64468330463319e-09
1906,4.629765903985117e-09
1907,5.142843484406967e-09
1908,5.893666887857307e-09
1909,3.850688656825696e-09
1910,5.878565634276356e-09
1911,5.852411444351446e-09
1912,5.2094213387476884e-09
1913,4.772690687104841e-09
1914,3.3483718020477227e-09
1915,5.890381071793627e-09
1916,1.0987462051303964e-09
1917,2.1932848870420685e-09
1918,6.89182577673364e-09
1919,5.524709134618888e-09
1920,1.590168707821249e-08
1921,4.543648568500203e-09
1922,2.951174193910333e-09
1923,5.307974060286824e-09
1924,0.0
1925,6.598906754362588e-09
1926,1.1146138456652466e-09
1927,2.2298449753321847e-09
