year,vos_DET oies_NOUN,vos_DET mois_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.305335300434308e-08,0.0
1807,2.8469551160981155e-09,1.9928686256776018e-08
1808,1.1330369531492579e-08,6.798221985349073e-09
1809,0.0,0.0
1810,1.6380887757350138e-08,1.4040760554223652e-08
1811,1.504245972228091e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,1.2586708564299443e-08
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,6.227493631882908e-09,1.2454987263765815e-08
1818,0.0,2.384235475716423e-09
1819,4.140420006848444e-09,5.175524897538253e-09
1820,3.5599443393152796e-09,2.254631326081835e-08
1821,5.9168927535324656e-09,2.5639868894700157e-08
1822,4.010246357211145e-09,3.408709403629473e-08
1823,9.882686891060644e-10,2.569498569471307e-08
1824,1.6842225392110777e-09,5.894778887238772e-09
1825,5.283265824829186e-09,9.68598712347557e-09
1826,9.688783109140786e-09,7.927186018719112e-09
1827,6.452091305675367e-09,3.6869092223668076e-09
1828,0.0,2.4765213879618386e-08
1829,0.0,3.429270423183084e-09
1830,3.1310507520032616e-09,1.1480519646056564e-08
1831,0.0,1.5591206548037917e-08
1832,0.0,3.5177919244233635e-08
1833,2.3167257001688313e-09,1.2741991461950875e-08
1834,6.534171426153534e-09,1.6802156110884425e-08
1835,1.285724948729694e-08,3.025235173481633e-09
1836,2.016224964762614e-09,1.8818100855355624e-08
1837,6.957891152126194e-09,1.1132625488130543e-08
1838,1.8936485712828244e-09,3.787297142565649e-09
1839,9.788065469251706e-09,6.9914749545318955e-09
1840,0.0,7.0066574764382494e-09
1841,1.2841097074556274e-09,7.0626033910059505e-09
1842,3.3541325272778977e-09,3.3541325272778977e-09
1843,5.906911071384968e-10,1.2404512972352677e-08
1844,2.195424508855126e-09,4.390849017710252e-09
1845,3.348136878855712e-09,1.1718478631905782e-08
1846,5.854501328173001e-10,1.2879903366069811e-08
1847,3.235934187273415e-09,1.294373674909366e-08
1848,6.43617736884039e-09,0.0
1849,4.1897072478036534e-09,5.02764896381791e-09
1850,0.0,5.431196825611551e-09
1851,1.9993260380601896e-08,1.7413483988093503e-08
1852,3.2552727180501506e-09,4.557382027314816e-09
1853,6.569124799682413e-09,2.149895550473957e-08
1854,1.558699391779328e-09,5.195664343204953e-09
1855,3.714855978387277e-09,3.1841622671890946e-09
1856,5.694908100650764e-09,4.659470143053568e-09
1857,2.4407544874094356e-09,4.393358121745905e-09
1858,1.9574704079872163e-09,1.2234189661342043e-08
1859,4.073738679721828e-09,3.055304009791371e-09
1860,2.288591982591015e-09,5.492620580582752e-09
1861,4.715963730639317e-10,1.2733101684148096e-08
1862,1.3553959066214816e-09,6.325180823552046e-09
1863,9.989241656072068e-10,3.496234635136375e-09
1864,0.0,1.1507347075223606e-08
1865,1.4120533631256649e-09,4.23615986733239e-09
1866,4.865612801552288e-09,7.784980660119345e-09
1867,4.367530337390235e-09,8.249779526181555e-09
1868,1.4819622196071691e-09,1.4819622196071691e-09
1869,9.767038289254515e-10,1.1720445947105418e-08
1870,0.0,1.7202146374017957e-09
1871,2.1242354542039266e-09,4.248470908407853e-09
1872,1.8142017887967654e-09,3.628403577593531e-09
1873,5.986004469882289e-10,4.190203295451056e-09
1874,2.9873046258899194e-09,5.974609140757536e-10
1875,1.1443054281912168e-09,3.432916173551348e-09
1876,6.04601479992084e-10,4.232210137899983e-09
1877,1.1132669008873108e-08,1.8554447978047506e-09
1878,6.039088673581716e-10,1.2078177347163432e-09
1879,4.887460214320072e-09,6.10932526790009e-10
1880,1.2835692508872398e-09,1.2193908105473383e-08
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,7.986462158271479e-09,6.655385131892899e-10
1883,3.159669414998234e-09,3.791603475633565e-09
1884,0.0,1.3203393933736152e-09
1885,3.86738152613475e-09,6.445635691854079e-10
1886,6.4534639854230136e-09,4.5174246565693466e-09
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,0.0,1.9021844099853524e-09
1889,1.2530273485467092e-09,1.2530273485467092e-09
1890,3.2771931834929546e-09,1.3108772956016423e-09
1891,4.461953917456185e-09,0.0
1892,1.2537024751679837e-09,0.0
1893,1.847525021858587e-09,0.0
1894,3.780923574225881e-09,3.780923574225881e-09
1895,0.0,1.2037228991346183e-09
1896,0.0,5.307326134129653e-09
1897,3.4960281336537946e-09,1.5149455023788505e-08
1898,5.6583548957434e-10,3.3950129374460403e-09
1899,9.39688327150634e-09,1.1055156790007459e-09
1900,1.5573159428683425e-09,1.038210628578895e-09
1901,2.794369402536745e-09,5.588738916095792e-10
