year,devriez_VERB être_VERB,devriez_VERB etre_VERB,devriez_VERB mettre_VERB
1800,1.3834323908668011e-07,0.0,0.0
1801,8.096020565062645e-08,0.0,2.3811825844433088e-09
1802,8.727576528144709e-08,0.0,2.2378401354217203e-09
1803,6.631153581793114e-08,0.0,1.950339223455444e-09
1804,1.507829097135982e-07,0.0,0.0
1805,4.8328921309348516e-08,0.0,2.842877711017877e-09
1806,1.556101381083863e-07,2.881669125542885e-09,0.0
1807,7.402083213037258e-08,0.0,0.0
1808,1.11037628869326e-07,0.0,1.5862518409903714e-08
1809,7.228897658251299e-08,0.0,0.0
1810,2.0593115834799391e-07,0.0,0.0
1811,2.5070768572277302e-08,0.0,0.0
1812,1.5736529235255148e-07,0.0,0.0
1813,9.489947672136623e-08,0.0,0.0
1814,8.181360300341112e-08,0.0,0.0
1815,4.5852800667489646e-08,0.0,2.697223555614414e-09
1816,5.0987285504788815e-08,0.0,2.3176038865813098e-09
1817,1.4167548556542897e-07,0.0,4.670620334934483e-09
1818,1.096748292184202e-07,0.0,0.0
1819,8.591371170041384e-08,0.0,1.3456364911235141e-08
1820,1.685040302845664e-07,1.1866481131050932e-09,1.0679833017945839e-08
1821,2.7217708975513233e-07,0.0,8.875339574387908e-09
1822,1.7845596289589594e-07,0.0,1.2030739071633434e-08
1823,1.7294702558956487e-07,0.0,0.0
1824,1.3726413783388125e-07,0.0,2.947389532437228e-08
1825,1.8491429898404022e-07,0.0,1.7610886082763955e-09
1826,1.1714619319036501e-07,0.0,1.2331177856594877e-08
1827,1.1337245808817897e-07,0.0,9.217273055917019e-10
1828,1.3208114069129806e-07,0.0,4.586150570418113e-09
1829,1.3374155116707698e-07,0.0,2.571952872898464e-09
1830,1.3254781094929058e-07,1.0436835840010872e-09,3.1310507520032616e-09
1831,1.808579952466971e-07,0.0,4.677361609140007e-09
1832,1.2312271735481772e-07,0.0,1.0823975493678972e-08
1833,1.3900354645102198e-07,0.0,1.7375443306377747e-08
1834,1.0548019702127931e-07,0.0,9.334530925997342e-10
1835,1.5806853070898796e-07,0.0,3.025235173481633e-09
1836,1.2836632379276125e-07,0.0,6.720750067579218e-10
1837,9.671468603755784e-08,0.0,8.349468672008697e-09
1838,1.3634269180329284e-07,0.0,8.837027110075724e-09
1839,1.1186359927251033e-07,0.0,2.7965900706306e-09
1840,1.1146955358753985e-07,6.369688665408546e-10,7.0066574764382494e-09
1841,7.31942506604355e-08,0.0,5.1364388298225094e-09
1842,9.19032316915036e-08,0.0,4.024959032733477e-09
1843,8.978504695278389e-08,0.0,1.5357969118667825e-08
1844,1.1800406696238497e-07,0.0,1.2623690537338916e-08
1845,1.1606874039671311e-07,0.0,3.9061593959388574e-09
1846,9.952652391120864e-08,0.0,2.3418005312692003e-09
1847,9.653870591819214e-08,0.0,1.6179670936367074e-09
1848,9.252004673498959e-08,0.0,8.045221711050488e-10
1849,1.0390474614041523e-07,0.0,5.865590679832167e-09
1850,1.1677073530336202e-07,6.788996032014438e-10,1.2220192857625989e-08
1851,9.609663464971163e-08,6.449438760824933e-10,6.449438760824933e-10
1852,9.375185072713066e-08,0.0,6.510545436100301e-10
1853,1.3616003968763835e-07,0.0,5.971931837933653e-09
1854,1.4599817177440855e-07,0.0,5.7152309551611324e-09
1855,1.0242388270853553e-07,0.0,1.5920811335945473e-09
1856,1.0561466012859455e-07,0.0,9.836659486950339e-09
1857,1.1617991901857749e-07,4.881509085841174e-10,0.0
1858,1.5561889199489087e-07,9.787352039936081e-10,3.4255731584664773e-09
1859,9.013146495817637e-08,0.0,6.110608019582742e-09
1860,1.1397187904549355e-07,0.0,1.7393299245327398e-08
1861,1.046943935989475e-07,0.0,1.9807048445841247e-08
1862,1.2108203861771472e-07,0.0,6.325180823552046e-09
1863,9.98924178929883e-08,0.0,2.4973103585068657e-09
1864,8.774352266982532e-08,0.0,4.315255264231155e-09
1865,1.299088978612417e-07,0.0,1.882737743486018e-09
1866,1.4548182036833168e-07,0.0,4.379051787850585e-09
1867,9.802678846426716e-08,0.0,4.367530337390235e-09
1868,1.0225539170960474e-07,4.93987406535723e-10,1.4819622196071691e-09
1869,1.0792577143092785e-07,1.4650557433881772e-09,5.371870948067681e-09
1870,1.0550650131335715e-07,5.734048791339319e-10,5.160643912205387e-09
1871,9.665271250014484e-08,0.0,5.3105884134652115e-09
1872,1.396935402908639e-07,6.047339295989218e-10,7.861540751719076e-09
1873,9.218447161174481e-08,0.0,2.9930022904522957e-09
1874,9.380136134495842e-08,0.0,1.7923826867161097e-09
1875,9.554950253232164e-08,0.0,1.1443054281912168e-09
1876,9.129482236858166e-08,0.0,4.232210137899983e-09
1877,1.1751150452710135e-07,0.0,2.4739263970730008e-09
1878,8.333942247418236e-08,0.0,4.831270938865373e-09
1879,8.430868803088742e-08,6.10932526790009e-10,1.221865053580018e-09
1880,1.1295409763079078e-07,0.0,4.492492600149944e-09
1881,7.39085805889772e-08,0.0,2.7890030285249168e-09
1882,1.1913139275065987e-07,0.0,1.2645231528551903e-08
1883,7.64639978001469e-08,0.0,5.687405213450347e-09
1884,6.601696611596708e-08,6.601696966868076e-10,4.621187876807653e-09
1885,8.05704445383526e-08,0.0,1.2891271383708158e-09
1886,9.486591778795628e-08,0.0,1.936039106809062e-09
1887,7.181817096579834e-08,0.0,1.3057849246322917e-09
