year,leurs_DET eaux_NOUN,leurs_DET maux_NOUN
1800,2.37384421630793e-06,1.8078945913657662e-06
1801,2.4002320841987057e-06,1.8811342670232989e-06
1802,2.9673759058823634e-06,1.705234126347932e-06
1803,2.1278201174368405e-06,1.868424988060724e-06
1804,3.220821721328093e-06,2.454547939123586e-06
1805,2.1748014358280443e-06,2.1833300252183108e-06
1806,1.948008243601862e-06,1.8471498606231762e-06
1807,2.334503134804322e-06,1.6426930642410298e-06
1808,2.0893201906346803e-06,1.561325007060077e-06
1809,2.069272007076961e-06,1.7168631529784761e-06
1810,2.2114197371081445e-06,1.9469855487841414e-06
1811,1.9028712952007254e-06,1.6321070006597438e-06
1812,2.02974537266698e-06,1.5469807976842276e-06
1813,1.9785103546610117e-06,1.7311964484179043e-06
1814,1.9540865867639923e-06,2.158620418413193e-06
1815,1.801745327156823e-06,1.6264258420051192e-06
1816,1.5921939109375671e-06,1.6848980521899648e-06
1817,1.3046598770216633e-06,1.5833402358111925e-06
1818,1.6534673044077408e-06,1.9562651232263306e-06
1819,1.3715141626846616e-06,1.8155741372538614e-06
1820,1.664867284034699e-06,2.2142853595141787e-06
1821,1.3411623509540505e-06,1.8756551298793056e-06
1822,1.7695212051194176e-06,1.768518586686696e-06
1823,1.4280482449890997e-06,1.912299921968952e-06
1824,1.7524335866880847e-06,1.8930661553895334e-06
1825,1.8350543555811782e-06,2.0481461433519144e-06
1826,1.8408687090243347e-06,1.761596877258853e-06
1827,1.3263655525008744e-06,1.1226638889638707e-06
1828,1.5528705574752166e-06,1.3960242313260096e-06
1829,1.8449474730175552e-06,1.2053885711793555e-06
1830,1.7147720896559804e-06,1.3547013395509566e-06
1831,1.8849768714801485e-06,1.041492623699014e-06
1832,1.4341768022063661e-06,1.0363957017034409e-06
1833,2.2703911355392847e-06,1.5950656688801246e-06
1834,1.9247802338639985e-06,1.3861778143109404e-06
1835,1.8537128951834347e-06,1.455138090022956e-06
1836,1.6707784595837438e-06,1.3911952692069463e-06
1837,1.6810264291677868e-06,1.355397102997813e-06
1838,1.8191650958954142e-06,1.2813688954338431e-06
1839,1.5234424424193094e-06,1.178063598672452e-06
1840,1.603250655790589e-06,1.3567437235906255e-06
1841,1.357303966997847e-06,1.3008030919081648e-06
1842,1.4758182649288187e-06,1.4073940519665484e-06
1843,1.3916682206627229e-06,1.166614993053372e-06
1844,1.4314167691154012e-06,1.3117661410433357e-06
1845,1.4346766352701934e-06,1.289032638851495e-06
1846,1.3178481932385466e-06,1.2885757314506918e-06
1847,1.2911377176294536e-06,1.0640829941621632e-06
1848,1.242986698457571e-06,1.004848172669881e-06
1849,1.4136072472581418e-06,9.887709211398032e-07
1850,1.3306432302684357e-06,1.0577256261967705e-06
1851,1.3118157955460674e-06,9.964383025362622e-07
1852,1.3424744675916145e-06,9.284037787438137e-07
1853,1.461928928137013e-06,1.013436872199236e-06
1854,1.3550292843333978e-06,1.1539571005414473e-06
1855,1.4100531942062844e-06,1.0746547332018963e-06
1856,1.3900753312867664e-06,1.3274312777866726e-06
1857,1.4498081668534724e-06,9.274867238673323e-07
1858,1.3071008506670978e-06,9.028832437252277e-07
1859,1.2455456204207849e-06,1.1487943538668333e-06
1860,1.2436208720600916e-06,9.625817938285763e-07
1861,1.342634897483208e-06,9.936535434462712e-07
1862,1.3874736257690756e-06,9.785958354768809e-07
1863,1.2971030667330297e-06,9.235054108103213e-07
1864,1.458556289080093e-06,9.388077160110697e-07
1865,1.2684945289720417e-06,9.168932706415944e-07
1866,1.2431641103205493e-06,9.030577530211303e-07
1867,1.1714686873887104e-06,7.012312721599301e-07
1868,1.3061026660210473e-06,7.582706871289702e-07
1869,1.3317356568620653e-06,8.619411460131232e-07
1870,1.406562120109811e-06,7.798306569384295e-07
1871,1.1173478124959502e-06,6.63823584545753e-07
1872,1.1465755296313773e-06,6.627884090448788e-07
1873,1.2187505653571407e-06,6.51277275665052e-07
1874,1.3251683341763965e-06,5.765497803622566e-07
1875,1.2764727213010474e-06,6.688464964099694e-07
1876,1.4395560707924915e-06,5.235849016571592e-07
1877,1.478171014923646e-06,6.871330811009102e-07
1878,1.2029865033014175e-06,6.335004059110361e-07
1879,1.3183924245652179e-06,7.062379836497712e-07
1880,1.2457039346713827e-06,5.820986643811921e-07
1881,1.3680059565146507e-06,6.024246772540209e-07
1882,1.1893173095245402e-06,6.322615604403836e-07
1883,1.2802980187132107e-06,4.985958526049217e-07
1884,1.1658596577035496e-06,5.221942274147295e-07
1885,1.3155542504250661e-06,5.723724711970135e-07
1886,1.0938621457512454e-06,5.659687758452492e-07
1887,1.1477849781726945e-06,5.503883357960149e-07
1888,1.0512739123669235e-06,5.655828090311843e-07
1889,1.122712486534283e-06,5.463199386213091e-07
1890,1.1135903026371352e-06,5.243509235697275e-07
1891,9.873666328985564e-07,4.978265906174784e-07
1892,1.2223599092919812e-06,5.403457521424571e-07
1893,1.1091308387278787e-06,5.382456151892256e-07
1894,1.182798868626378e-06,5.236578886069765e-07
1895,1.0255718585483464e-06,4.6584077040279226e-07
