year,cents_ADJ êtres_NOUN,cents_ADJ mètres_NOUN
1800,0.0,7.545994549218449e-07
1801,0.0,2.0001934331048687e-07
1802,0.0,1.7007585029205075e-07
1803,0.0,4.115215688216267e-07
1804,9.887403784603066e-09,4.103272601696517e-07
1805,0.0,1.1343082633175072e-06
1806,0.0,6.310855269475724e-07
1807,0.0,1.7537244048071443e-06
1808,0.0,4.645451667784073e-07
1809,0.0,1.0391540854470804e-06
1810,0.0,9.945538295141887e-07
1811,0.0,1.9555197923182277e-06
1812,0.0,8.535066626791377e-07
1813,0.0,1.199184225697536e-06
1814,0.0,4.5941484927425336e-07
1815,0.0,2.3196122356239357e-07
1816,0.0,8.15796568076621e-07
1817,0.0,9.465790071772062e-07
1818,0.0,1.2064231214026222e-06
1819,0.0,7.62872389259428e-07
1820,0.0,9.279588084609713e-07
1821,0.0,1.2080323585905717e-06
1822,0.0,3.388658171843417e-07
1823,0.0,6.097617983868986e-07
1824,0.0,7.503211350012862e-07
1825,0.0,6.648109547313652e-07
1826,0.0,8.235465429606847e-07
1827,0.0,9.917786201185663e-07
1828,0.0,8.273415801340889e-07
1829,0.0,9.919165222527226e-07
1830,0.0,6.877874625388358e-07
1831,0.0,1.0960617373712012e-06
1832,2.705993873419743e-09,6.967934496060479e-07
1833,0.0,1.0077757224280504e-06
1834,0.0,1.1462803968242952e-06
1835,0.0,7.05636125530873e-07
1836,0.0,8.952039252108079e-07
1837,0.0,1.1125667924716254e-06
1838,0.0,9.316751174992532e-07
1839,0.0,5.474324780152529e-07
1840,0.0,8.070395551840193e-07
1841,0.0,7.499200478378043e-07
1842,0.0,6.869263415865134e-07
1843,0.0,8.594555538365967e-07
1844,0.0,9.720241678223829e-07
1845,5.580227946389016e-10,1.1746379868782242e-06
1846,0.0,9.144731052401767e-07
1847,0.0,8.661517085783998e-07
1848,0.0,9.782989991435898e-07
1849,5.02764896381791e-09,7.440920626322622e-07
1850,0.0,1.0305695923307212e-06
1851,7.094382858952031e-09,1.2473215065256227e-06
1852,6.510545436100301e-09,1.3821887705489644e-06
1853,0.0,2.2968049506744137e-06
1854,7.27393034694046e-09,8.572846468268835e-07
1855,0.0,9.626784276406397e-07
1856,0.0,1.02301260085369e-06
1857,0.0,9.948515753421816e-07
1858,0.0,1.4132936030364363e-06
1859,2.5460866748261424e-09,1.3662300943906303e-06
1860,9.154367819341758e-10,1.6500747506142943e-06
1861,2.8295783494058924e-09,1.421391516487347e-06
1862,0.0,1.8876146441471064e-06
1863,7.491931519609807e-09,1.4009910955792293e-06
1864,0.0,1.5573276641589473e-06
1865,4.706844358715045e-10,1.2976770449313335e-06
1866,1.4596839292835284e-09,1.5638080412827549e-06
1867,1.455843445796745e-09,1.423329649696825e-06
1868,0.0,1.4567688140232349e-06
1869,0.0,1.8020185734712868e-06
1870,0.0,1.4616090311392327e-06
1871,0.0,2.8932086024724413e-06
1872,0.0,2.308874172740616e-06
1873,5.986004469882289e-10,1.5892842384346295e-06
1874,0.0,1.6788651464594295e-06
1875,0.0,2.2926158180780476e-06
