year,pas_ADV hérité_VERB,pas_ADV mérité_VERB
1800,6.288328791015374e-08,2.86118961412285e-07
1801,2.8574191901498125e-08,3.5717738455787185e-07
1802,2.0140561218795483e-08,2.9315705774024536e-07
1803,7.996391104825307e-08,2.3794137860022602e-07
1804,2.9662210465630778e-08,3.633620906384749e-07
1805,2.55858996212055e-08,3.212451815670647e-07
1806,5.4751712497136396e-08,1.9595350408962986e-07
1807,5.97860605466849e-08,2.8469551693888207e-07
1808,8.384473915157287e-08,1.9714843801921234e-07
1809,7.00299480627109e-08,2.3268013649158092e-07
1810,7.956430891908894e-08,3.556992567155248e-07
1811,6.518399686683551e-08,2.5321475050077424e-07
1812,1.3336041604361526e-07,2.880584872855252e-07
1813,1.2653262615458516e-07,2.7607120500761084e-07
1814,6.608021863030444e-08,2.6117419338334e-07
1815,8.90083740046066e-08,3.3445573421886365e-07
1816,3.0128852301913867e-08,2.2712518443768204e-07
1817,7.7843672841027e-08,2.7556660597838345e-07
1818,6.795070817133819e-08,3.7313284906304034e-07
1819,1.0247539705687814e-07,2.2772310614982416e-07
1820,7.001224133773576e-08,2.491960913175717e-07
1821,7.59334568556369e-08,3.4909669466287596e-07
1822,7.418955760840618e-08,3.2282483175549714e-07
1823,1.393458859411112e-07,3.073515699725249e-07
1824,6.652678763430231e-08,2.4758071504038526e-07
1825,9.68598712347557e-08,2.562383940585278e-07
1826,1.2595417331340286e-07,2.9859066330573114e-07
1827,6.267745789045875e-08,1.9356274094661785e-07
1828,7.246117661452445e-08,3.219477662241843e-07
1829,5.401101077495696e-08,2.0146963208844682e-07
1830,8.55820516676431e-08,2.2752301731543412e-07
1831,1.091384405071949e-07,2.5725489649630617e-07
1832,9.741577855493233e-08,2.3948047100930125e-07
1833,8.68772147555319e-08,2.617900065615686e-07
1834,9.241185949804276e-08,2.64167226760037e-07
1835,5.3697924329298985e-08,2.2916157149666105e-07
1836,6.115882911217341e-08,1.9490175873215776e-07
1837,9.045258053674843e-08,1.8577568994260218e-07
1838,8.77390533560174e-08,1.8936485446374718e-07
1839,8.110111338055503e-08,2.9084537800372345e-07
1840,4.522479102320176e-08,2.2739789073966676e-07
1841,4.55858959469424e-08,2.2792947618199833e-07
1842,8.117000760421433e-08,2.703430936890072e-07
1843,1.0396163219184018e-07,2.1973708896894095e-07
1844,9.659867572509029e-08,2.985777314279403e-07
1845,5.5802278353667134e-08,2.879397698052344e-07
1846,5.3861413107370026e-08,2.1837290375970042e-07
1847,6.202207458727571e-08,2.1249300630188372e-07
1848,4.746680914990975e-08,1.82626536116004e-07
1849,7.122502410084053e-08,1.5585712276333652e-07
1850,6.78899567674307e-08,2.1589006848898862e-07
1851,5.482023013314574e-08,2.3862924081186065e-07
1852,6.510545347282459e-08,1.9596741651639604e-07
1853,5.6733352238325097e-08,2.376828831529565e-07
1854,1.028741536401867e-07,2.3016794159502751e-07
1855,7.323573214534917e-08,2.2448344338954485e-07
1856,9.474256046360097e-08,2.8733398949043476e-07
1857,8.933161410595858e-08,2.4114655161611154e-07
1858,7.829881809584549e-08,1.996619829469637e-07
1859,6.874434177461808e-08,2.0063163219674607e-07
1860,7.323494344291248e-08,3.1399480349136866e-07
1861,7.734180229590493e-08,2.174059261506045e-07
1862,6.551080389272101e-08,2.59332409768831e-07
1863,7.691716064073262e-08,1.8979558547016495e-07
1864,9.349719221063424e-08,2.3254430914221302e-07
1865,8.095772585647865e-08,1.9062719047724386e-07
1866,7.736324647567017e-08,2.063019906017871e-07
1867,7.036576477048584e-08,2.329349513274792e-07
1868,4.643481688049178e-08,2.2081236750182143e-07
1869,7.129938239813782e-08,2.2659529008706158e-07
1870,6.479475445075877e-08,2.1674703987173416e-07
1871,3.823623728749226e-08,1.9436754428170389e-07
1872,4.898344840853497e-08,1.8807224932970712e-07
1873,9.098727105083526e-08,2.1130595939666819e-07
1874,5.735624597491551e-08,1.505601545659374e-07
1875,7.609631325067312e-08,1.5333692715557845e-07
1876,6.650616057868319e-08,1.9649547766675823e-07
1877,6.679601227688181e-08,2.2017944445451576e-07
1878,7.488470288308235e-08,2.1982282305543777e-07
1879,7.392283407625655e-08,1.9610934032243676e-07
1880,7.38052321480609e-08,2.0472928952131042e-07
1881,7.94865897546515e-08,1.9801920814188634e-07
1882,8.252677474729353e-08,1.583981656949618e-07
1883,1.086926317839243e-07,1.889482348360616e-07
1884,8.054070121943369e-08,1.7824581277636753e-07
1885,9.21725913372029e-08,1.6565283544878184e-07
1886,1.0390076710109497e-07,1.7359818116347014e-07
1887,6.594213886046418e-08,1.5995865965123812e-07
1888,7.101488108673948e-08,1.528088091617974e-07
