year,dix_DET oies_NOUN,dix_DET mois_NOUN
1800,0.0,1.8802103554094174e-06
1801,7.143547975374531e-09,2.1192524073399e-06
1802,3.1329761895904085e-08,1.6246719667378784e-06
1803,1.950339267864365e-08,2.84944562167766e-06
1804,0.0,2.2419687972785596e-06
1805,2.842877755426798e-08,1.7995416072835724e-06
1806,0.0,1.8817299860529602e-06
1807,2.8469551160981155e-09,2.081124250707944e-06
1808,0.0,1.8944378261664951e-06
1809,1.581321384946932e-08,2.1347839123109225e-06
1810,0.0,2.4196910324292276e-06
1811,2.5070767684098882e-09,1.511767241169082e-06
1812,0.0,2.245789382016028e-06
1813,0.0,2.4990194020801937e-06
1814,0.0,1.771579178466709e-06
1815,0.0,2.554270764676403e-06
1816,0.0,2.255028540787407e-06
1817,0.0,1.7810631263159848e-06
1818,1.668964877410417e-08,2.803861001154928e-06
1819,0.0,2.615710229747492e-06
1820,0.0,2.5275604045305045e-06
1821,0.0,2.386480261407087e-06
1822,6.015369535816717e-09,2.0382076542091454e-06
1823,1.9765373782121287e-09,2.1158833369838703e-06
1824,0.0,2.3250692464671374e-06
1825,1.7610886082763955e-09,2.3457700706330797e-06
1826,8.807984341885344e-10,2.215207977940281e-06
1827,9.217273055917019e-10,2.578993090196491e-06
1828,1.8344602503717056e-09,2.13256008407825e-06
1829,0.0,1.9426816777468048e-06
1830,4.174734336004349e-09,1.836883079420204e-06
1831,3.1182412207897414e-09,2.2731978646106654e-06
1832,0.0,1.9699635984693487e-06
1833,1.1583628500844156e-09,1.9669001432021105e-06
1834,0.0,2.1264061729198147e-06
1835,5.294161553592858e-09,1.8915283277465278e-06
1836,1.3441500135158435e-09,2.0095043566925597e-06
1837,2.7831562610103333e-09,2.1291146339308398e-06
1838,6.312161904276081e-10,2.076069936407521e-06
1839,7.690622361167243e-09,2.0338201309755277e-06
1840,5.095750932326837e-09,2.2000904564833945e-06
1841,0.0,2.032103608939906e-06
1842,0.0,2.053399889234697e-06
1843,5.906911071384968e-10,1.9221088791709917e-06
1844,6.586273748609983e-09,1.6652294405616885e-06
1845,1.0602433153650281e-08,1.8995095842910814e-06
1846,1.1709002656346001e-09,1.8734403894882234e-06
1847,0.0,1.8293815173819894e-06
1848,2.413566457803995e-09,1.8825819338985639e-06
1849,0.0,2.815483469476021e-06
1850,0.0,1.847285766132245e-06
1851,0.0,1.7568271104551059e-06
1852,0.0,1.718132985217835e-06
1853,0.0,2.1373543148683893e-06
1854,1.558699391779328e-09,1.677160454960358e-06
1855,0.0,2.037333160842536e-06
1856,0.0,1.6903523203382065e-06
1857,4.881509085841174e-10,1.8500919694020013e-06
1858,0.0,1.8816184805814373e-06
1859,1.5276520048956854e-09,1.7985556794997137e-06
1860,9.154367819341758e-10,1.848724572539595e-06
1861,0.0,1.7920662145343158e-06
1862,0.0,2.0344492597246244e-06
1863,2.9967726078439227e-09,1.9479021204915625e-06
1864,4.794727948009836e-10,1.967756396936693e-06
1865,1.4120533631256649e-09,1.865322374783318e-06
1866,0.0,1.8056289974310857e-06
1867,9.7056229719783e-10,1.8358185371880609e-06
1868,3.951899252285784e-09,1.7259920319645516e-06
1869,3.906815315701806e-09,1.798600095526126e-06
1870,0.0,1.92721377345606e-06
1871,4.248470908407853e-09,1.986160089728628e-06
1872,6.047339295989218e-10,2.014368824632129e-06
1873,4.788803575905831e-09,1.9191130249396338e-06
1874,0.0,1.7714715809802328e-06
1875,0.0,1.6375010964964076e-06
1876,1.209202959984168e-09,2.0115090819672332e-06
1877,1.2369631985365004e-09,1.7744237048589184e-06
1878,4.831270938865373e-09,1.6649767715648522e-06
1879,0.0,1.8828940184789644e-06
1880,6.417846254436199e-10,1.958726649320397e-06
1881,6.972507571312292e-10,1.8567787520851198e-06
1882,0.0,2.0072641078172637e-06
1883,3.791603475633565e-09,1.866100788561198e-06
1884,1.3203393933736152e-09,1.847814935729275e-06
1885,6.445635691854079e-10,1.8163801698278803e-06
