year,petits_ADJ effets_NOUN,petits_ADJ méfaits_NOUN
1800,1.1947824418712116e-07,0.0
1801,7.857902772911984e-08,0.0
1802,1.6336232988578558e-07,0.0
1803,1.4432509942707838e-07,0.0
1804,1.3347995775347954e-07,0.0
1805,1.4214388954769674e-07,0.0
1806,1.0085842205853623e-07,0.0
1807,7.402083213037258e-08,0.0
1808,7.704651494577774e-08,0.0
1809,8.584316191218022e-08,0.0
1810,7.956430891908894e-08,0.0
1811,4.011322829455821e-08,0.0
1812,3.467370746079723e-08,0.0
1813,7.764502640839055e-08,0.0
1814,1.5104049566616595e-07,0.0
1815,5.933891955578474e-08,0.0
1816,1.1819779643928996e-07,0.0
1817,1.1365175822675155e-07,0.0
1818,1.6928072454902576e-07,1.1921177378582115e-09
1819,6.521161566297451e-08,0.0
1820,1.0561168295453172e-07,0.0
1821,7.396116075142345e-08,0.0
1822,7.318699601910339e-08,0.0
1823,9.586206317635515e-08,0.0
1824,1.0189546628680546e-07,0.0
1825,1.4528980329941987e-07,0.0
1826,6.429828403042848e-08,0.0
1827,5.899054755786892e-08,0.0
1828,6.237164740241496e-08,0.0
1829,9.773420828196322e-08,0.0
1830,5.4271545479878114e-08,0.0
1831,4.677361786775691e-08,0.0
1832,7.306183391619925e-08,0.0
1833,9.498575082034222e-08,8.108539617524002e-09
1834,8.961149688957448e-08,9.334530925997342e-10
1835,6.201732105637348e-08,8.31939672707449e-09
1836,7.863277318165274e-08,1.3441500135158435e-09
1837,6.262101948095733e-08,1.3915781860163179e-09
1838,9.215756335834158e-08,3.787297142565649e-09
1839,5.942753844578874e-08,3.4957374772659477e-09
1840,6.688173215252391e-08,1.4013314952876499e-08
1841,6.67737083404063e-08,0.0
1842,5.9032732480091e-08,6.708265054555795e-10
1843,5.0208743829216473e-08,1.1813822142769936e-09
1844,6.421616660645668e-08,6.037417232818143e-09
1845,7.14269177137794e-08,0.0
1846,5.21050615986951e-08,0.0
1847,7.874106700000993e-08,0.0
1848,3.861706332486392e-08,3.218088684420195e-09
1849,4.608678239037545e-08,8.379414939696517e-10
1850,6.11009625117731e-08,1.0862393651223101e-08
1851,4.837079004005318e-08,1.483370937194195e-08
1852,7.617337871579366e-08,4.557382027314816e-09
1853,6.5094056367343e-08,1.1943863675867306e-08
1854,7.014146774508845e-08,6.234797567117312e-09
1855,6.156047049898916e-08,1.2205955357558196e-08
1856,6.005539177067476e-08,6.73034605824796e-09
1857,1.0299984154471531e-07,1.2203773103180993e-08
1858,6.117095097124547e-08,1.565976326389773e-08
1859,9.67512931993042e-08,8.656694916453489e-09
1860,8.650877703075821e-08,1.327383358784573e-08
1861,5.32903889904901e-08,9.431927239234028e-09
1862,7.319138006778303e-08,6.776979422085105e-09
1863,7.342092800399769e-08,1.39849385405455e-08
1864,1.1890925577517919e-07,1.5343129433631475e-08
1865,5.412870862642194e-08,3.765475486972036e-09
1866,6.617233339056838e-08,4.865612801552288e-09
1867,6.454239098729886e-08,5.82337378318698e-09
1868,6.273639741039005e-08,1.333765986544222e-08
1869,8.790334504737984e-08,4.395167341186834e-09
1870,4.6445794765759274e-08,8.601073631098188e-09
1871,4.5671061599250606e-08,1.0621177271019633e-09
1872,5.442605299776915e-08,1.3908880269752899e-08
1873,7.781805777540285e-08,5.9860045809045914e-09
1874,7.289023074008583e-08,2.3898436563030145e-09
1875,4.405575992905142e-08,2.8607636259891933e-09
1876,6.348315650939185e-08,1.269663130187837e-08
1877,8.65874270061795e-08,6.184816214727107e-09
1878,4.408534692856847e-08,4.22736201599605e-09
1879,4.2765275765077604e-08,1.7717043832021773e-08
1880,2.1820676820993867e-08,1.0268554007097919e-08
1881,4.322954794133693e-08,2.091752326904839e-09
1882,5.657077295495583e-08,1.3976308999019693e-08
1883,6.951272979449641e-08,9.479008689083912e-09
1884,5.809493330843907e-08,1.0562715146988921e-08
1885,5.8655285073427876e-08,7.090199094506033e-09
1886,5.0337018109303244e-08,9.034849313138693e-09
1887,3.003305337756501e-08,8.48760173255414e-09
1888,5.389522428345117e-08,2.53624587998047e-09
1889,4.9494580878217675e-08,2.0674951528576457e-08
1890,6.423298515301212e-08,2.0318598359381213e-08
1891,5.673055980537356e-08,7.0116419337296065e-09
1892,6.080456671497814e-08,1.002961980134387e-08
1893,5.9120800699474785e-08,9.23762488724833e-09
1894,5.419323656496999e-08,9.452309157609307e-09
1895,5.11582243234443e-08,1.2639090662958097e-08
1896,6.309821287686646e-08,1.8280790214930676e-08
1897,4.7196380137393135e-08,6.409385022720926e-09
1898,2.7160103499568322e-08,1.584339415217073e-08
1899,5.1959236913035056e-08,9.39688327150634e-09
1900,3.945200433008722e-08,1.038210584169974e-08
1901,6.091725168744233e-08,1.2295225282343836e-08
1902,4.8611809688736685e-08,6.38336894454028e-09
