year,jolis_ADJ arbres_NOUN,jolis_ADJ marbres_NOUN
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,3.900678446910888e-09,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,4.839823830593559e-08,2.8469551160981155e-09
1808,0.0,0.0
1809,1.129515236897305e-08,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.0130190847567064e-08,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,3.2187177367859476e-08,0.0
1819,0.0,0.0
1820,2.610625848831205e-08,0.0
1821,1.97229765852569e-09,0.0
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,8.805443041381977e-10,0.0
1826,1.4092774947016551e-08,0.0
1827,0.0,1.8434546111834038e-09
1828,1.2841221419535032e-08,0.0
1829,1.457439946506156e-08,0.0
1830,4.174734336004349e-09,0.0
1831,0.0,0.0
1832,9.470978667991403e-09,0.0
1833,1.6217079235048004e-08,0.0
1834,5.600718555598405e-09,0.0
1835,3.781543966852041e-09,1.5126175867408165e-09
1836,1.6129799718100912e-08,0.0
1837,1.1828414692161004e-08,0.0
1838,1.0730675015224733e-08,4.418513555037862e-09
1839,1.3283802502428443e-08,0.0
1840,1.0191501864653674e-08,1.2102408852854296e-08
1841,2.118781061710706e-08,6.420548537278137e-10
1842,7.379091560011375e-09,0.0
1843,9.451057714215949e-09,5.31621990873532e-09
1844,6.586273748609983e-09,1.6465684371524958e-09
1845,7.254296274794569e-09,0.0
1846,4.6836010625384006e-09,5.854501328173001e-10
1847,1.0786447290911383e-08,1.6179670936367074e-09
1848,8.045221711050488e-10,4.02261068899179e-09
1849,1.1731181359664333e-08,0.0
1850,6.1100964288129944e-09,6.788996032014438e-10
1851,1.805842941848823e-08,0.0
1852,1.1718981340891332e-08,0.0
1853,2.388772735173461e-09,5.971931837933653e-10
1854,8.832629738719788e-09,0.0
1855,5.837630823180007e-09,3.714855978387277e-09
1856,3.6240324075009767e-09,5.177189232874468e-10
1857,1.9526036343364694e-09,0.0
1858,1.2234189661342043e-08,0.0
1859,4.073738679721828e-09,0.0
1860,1.1900677776566226e-08,9.154367819341758e-10
1861,4.715963619617014e-09,2.8295783494058924e-09
1862,8.132375661773494e-09,4.517986262886353e-10
1863,4.495158911765884e-09,2.4973103585068657e-09
1864,6.233146443435089e-09,0.0
1865,1.4120533187167439e-08,6.118897832863013e-09
1866,1.3623716377253459e-08,2.432806400776144e-09
1867,1.844068364675877e-08,6.79393608038481e-09
1868,6.421836395986702e-09,0.0
1869,7.325278605918584e-09,4.883519144627257e-10
1870,4.587239033071455e-09,1.1468097582678638e-09
