year,certains_DET arrêts_NOUN,certains_DET marais_NOUN
1800,3.144164484325529e-09,3.144164395507687e-08
1801,2.3811825844433088e-09,1.904946067554647e-08
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,3.900678446910888e-09,4.095712213825209e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,1.9928686256776018e-08,3.701041606518629e-08
1808,1.3596443970698147e-08,2.2660739062985158e-08
1809,0.0,4.969867006821005e-08
1810,0.0,0.0
1811,1.504246105454854e-08,5.0141535368197765e-09
1812,5.3344164641089264e-09,4.800974906515876e-08
1813,8.627225156487839e-09,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,0.0,1.6183340889597275e-08
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,1.556873407970727e-09,3.580808893843823e-08
1818,0.0,3.5763532135746345e-09
1819,4.140420006848444e-09,3.208825616329847e-08
1820,3.5599443393152796e-09,2.1359666924070098e-08
1821,2.9584463767662328e-09,1.3806083387635226e-08
1822,1.0025615893027862e-08,1.303330066093622e-08
1823,3.9530747564242574e-09,9.882686669016039e-09
1824,6.736890156844311e-09,3.2000230021367315e-08
1825,8.805443485471187e-09,1.8491430608946757e-08
1826,2.6423952803611428e-08,2.906634888333315e-08
1827,1.8434545889789433e-08,3.6869092223668076e-09
1828,1.8344602503717056e-09,2.4765213879618386e-08
1829,4.286588028978855e-09,4.8009784592295546e-08
1830,1.6698937344017395e-08,5.0096812032052185e-08
1831,3.1182412207897414e-09,4.5214498811674275e-08
1832,2.1647950987357945e-08,2.705993873419743e-09
1833,4.170106393530659e-08,4.6334514003376626e-09
1834,7.467624740797874e-09,2.5203233278148218e-08
1835,3.403389570166837e-08,1.285724948729694e-08
1836,1.008112526790228e-08,3.091545153210973e-08
1837,2.0177884252348122e-08,2.2961039292113128e-08
1838,5.04972974546547e-09,3.9135404250600914e-08
1839,1.5381244722334486e-08,2.586845759822154e-08
1840,1.1465439264668476e-08,6.369688498875092e-09
1841,1.4767262079828924e-08,3.0818632978935057e-08
1842,2.2137274680034125e-08,1.1404050592744852e-08
1843,1.890211459576463e-08,1.2995204079491174e-08
1844,2.5796237201891614e-08,2.140538946093784e-08
1845,2.9017185099178278e-08,1.8414752389617206e-08
1846,1.4050803187615202e-08,3.33706573485415e-08
1847,2.2112216946368335e-08,2.3730183151826623e-08
1848,2.172209789819135e-08,1.930853166243196e-08
1849,3.854530694624714e-08,4.022119171054328e-08
1850,2.104588769924476e-08,2.7834883731259197e-08
1851,4.2566295377355345e-08,6.449438760824933e-09
1852,4.101643602538729e-08,1.4323200403509873e-08
1853,2.9859659189668264e-08,2.6276500975086492e-08
1854,1.9743524148907454e-08,2.5978321549491312e-08
1855,2.0697054736729115e-08,1.539011762474729e-08
1856,3.520488611741257e-08,1.2425253714809514e-08
1857,1.8061583395567737e-08,2.4407544874094356e-09
1858,2.44683799888179e-08,1.663849857891364e-08
1859,1.4258085379026397e-08,1.8331824946926645e-08
