year,certains_DET êtres_NOUN,certains_DET etres_NOUN,certains_DET maîtres_NOUN
1800,1.6349655140857067e-07,0.0,1.2576657937302116e-08
1801,1.3572740442668874e-07,0.0,1.6668277424969347e-08
1802,1.1636768704192946e-07,0.0,5.818384352096473e-08
1803,5.851017803593095e-08,0.0,1.5602713787643552e-08
1804,2.0763548103097662e-07,0.0,2.9662210465630778e-08
1805,9.381496113292087e-08,8.528632911009026e-09,2.842877711017877e-09
1806,6.339671898558663e-08,0.0,8.645007376628655e-09
1807,1.1103124819555887e-07,2.562259560079383e-08,2.562259560079383e-08
1808,3.852325747288887e-08,0.0,1.0197332933614689e-07
1809,2.710836710662079e-08,0.0,2.2590304959990704e-08
1810,6.084329839950442e-08,0.0,9.360507036149102e-09
1811,8.022645481275958e-08,0.0,1.7549536934780008e-08
1812,8.535066342574282e-08,0.0,7.734903917366864e-08
1813,1.2365688917270745e-07,0.0,2.8757416448144113e-09
1814,2.5173416240420465e-08,0.0,1.2586708564299443e-08
1815,7.012781111370714e-08,0.0,1.6183340889597275e-08
1816,1.2051540032587127e-07,0.0,1.1588019432906549e-08
1817,8.874178547557676e-08,0.0,2.80237220096069e-08
1818,7.152706160695743e-08,0.0,2.026600087745578e-08
1819,1.3870406800897683e-07,0.0,1.7596784473994376e-08
1820,9.493184904840746e-08,5.933240565525466e-09,5.933240565525466e-09
1821,6.607196922914227e-08,9.86148829262845e-10,1.3806083387635226e-08
1822,5.714601059025881e-08,0.0,3.5089655625597516e-08
1823,9.882686669016039e-08,0.0,2.2730180404550993e-08
1824,1.1284291190349904e-07,1.6842225392110777e-09,1.1789557774477544e-08
1825,1.0214314016820936e-07,0.0,7.924898959288385e-09
1826,1.294773710469599e-07,0.0,1.145037931138404e-08
1827,7.28164592511682e-08,0.0,1.013900030599757e-08
1828,1.2566052021156793e-07,0.0,1.926183179623564e-08
1829,1.0287811269549252e-07,0.0,8.658907546532646e-08
1830,1.5655253093882493e-07,1.0436835840010872e-09,3.026682549034376e-08
1831,1.4032085515758297e-07,0.0,7.795603274018958e-09
1832,2.1512650638655373e-07,0.0,4.600189695835866e-08
1833,1.1815301148576651e-07,0.0,1.7375443306377747e-08
1834,1.586870297387577e-07,0.0,1.0267984240641681e-08
1835,1.2176571573263573e-07,7.563087933704082e-10,3.403389570166837e-08
1836,9.005804901818237e-08,0.0,4.5029025397269606e-08
1837,1.3359150230485284e-07,0.0,3.339787779665926e-08
1838,1.1488134532555705e-07,0.0,4.292270250338959e-08
1839,1.2864313703175867e-07,6.9914751765765e-10,5.453350571116289e-08
1840,2.0128215805215177e-07,0.0,3.121147429396842e-08
1841,1.66292209780039e-07,0.0,2.5040139295384733e-08
1842,1.596567069661603e-07,1.341653010911159e-09,6.57409975346468e-08
1843,3.278335611867078e-07,0.0,7.619915276535494e-08
1844,1.674011187446922e-07,5.488561272137815e-10,6.586273348929694e-08
1845,1.9419193408864999e-07,0.0,6.807878394354816e-08
1846,2.1603109634504847e-07,0.0,8.606117285481218e-08
1847,1.5963942701091582e-07,5.393223645455691e-10,4.7999689556377234e-08
1848,1.1424214907407304e-07,0.0,4.585776292032051e-08
1849,1.2820505435051643e-07,0.0,3.770736745067893e-08
1850,1.4053221697452045e-07,1.3577992064028876e-09,4.3449574604892405e-08
1851,1.4446742602203244e-07,0.0,6.642921768218457e-08
1852,1.946653078732652e-07,0.0,6.250123463225066e-08
1853,1.6363093813254181e-07,1.1943863675867306e-09,6.449686407172806e-08
1854,1.5379166828921598e-07,2.4939190268469247e-08,8.416976760017292e-08
1855,1.703526741891892e-07,5.306937111981824e-10,1.003011078637428e-07
1856,1.485853262650494e-07,4.141751386299575e-09,4.866557945515382e-08
1857,1.3472964988103797e-07,4.881509085841174e-10,5.564920502187931e-08
1858,1.497464862665332e-07,1.468102750479261e-09,7.927755252268298e-08
1859,2.0012241108702256e-07,5.092173349652285e-10,7.536416646303223e-08
1860,1.7164439913841534e-07,0.0,6.63691657187826e-08
1861,2.1174677478086323e-07,4.715963730639317e-10,7.451223044130373e-08
1862,1.6264750302141806e-07,0.0,6.505900573827716e-08
