year,nos_DET êtres_NOUN,nos_DET mètres_NOUN
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,2.6854081625060644e-08,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,1.7625841763901917e-07,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,2.2660739951163578e-09
1809,1.129515236897305e-08,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,1.8540831092650478e-08,0.0
1817,0.0,1.5568733857662664e-08
1818,1.3113295338484932e-08,0.0
1819,0.0,1.7596784473994376e-08
1820,2.0173017922786585e-08,7.119888678630559e-09
1821,3.94459531705138e-09,0.0
1822,1.303330066093622e-08,1.0025615893027862e-08
1823,1.9765373782121287e-09,0.0
1824,3.03160057057994e-08,1.6842225392110777e-09
1825,1.0566531427613768e-08,0.0
1826,1.7615968683770689e-09,0.0
1827,1.566936447261469e-08,0.0
1828,1.0089530988466322e-08,0.0
1829,2.571952872898464e-09,0.0
1830,9.39315247805439e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,8.117981842303834e-09,1.2176972319366541e-08
1833,1.3900353756923778e-08,8.108539617524002e-09
1834,1.3068343518440884e-08,0.0
1835,3.781543966852041e-09,0.0
1836,1.008112526790228e-08,0.0
1837,5.5663127440652715e-09,0.0
1838,3.787297142565649e-09,0.0
1839,5.5931801412612e-09,0.0
1840,5.095750932326837e-09,0.0
1841,1.540931604537832e-08,8.346713542550788e-09
1842,2.0124795163667386e-09,2.0124795163667386e-09
1843,1.0632439872981791e-08,1.7720733769266417e-09
1844,2.7442805805577564e-09,0.0
1845,7.254296274794569e-09,6.696273757711424e-09
1846,5.854501328173001e-09,0.0
1847,4.314578916364553e-09,0.0
1848,4.02261068899179e-09,1.6090443422100975e-09
1849,0.0,1.6758829879393033e-09
1850,1.9009188889640427e-08,9.504594444820214e-09
1851,9.029214709244116e-09,1.2898877521649865e-09
1852,7.161600201754936e-09,0.0
