year,nos_DET effets_NOUN,nos_DET méfaits_NOUN
1800,5.43940442021551e-07,0.0
1801,3.928951279874582e-07,0.0
1802,6.333087867460563e-07,0.0
1803,1.5992781499107878e-07,1.950339223455444e-09
1804,2.6448804391066005e-07,2.4718509461507665e-09
1805,2.786020123490829e-07,0.0
1806,2.3053353714885816e-07,0.0
1807,6.177892526437745e-07,0.0
1808,4.033611631371059e-07,2.2660739951163578e-09
1809,1.6490922405409947e-07,0.0
1810,3.135769981454928e-07,0.0
1811,1.8050952643733353e-07,0.0
1812,3.0672894091310354e-07,0.0
1813,2.1280487771946355e-07,0.0
1814,2.2341408367765325e-07,0.0
1815,1.4025562888875243e-07,0.0
1816,2.1090195190254235e-07,2.3176038865813098e-09
1817,1.868248160619146e-07,0.0
1818,3.969751958265988e-07,0.0
1819,2.463549924058839e-07,3.1053151161586356e-09
1820,1.685040302845664e-07,0.0
1821,2.4653721020229113e-07,0.0
1822,2.4963782152553904e-07,1.0025615893027862e-09
1823,4.5658013125837726e-07,0.0
1824,2.0463304384321646e-07,3.3684450784221553e-09
1825,2.7737146401918267e-07,1.7610886082763955e-09
1826,2.09630028003005e-07,0.0
1827,2.368839204791584e-07,9.217273055917019e-10
1828,1.3299836609803606e-07,5.503380862137419e-09
1829,1.1488056178565742e-07,1.800366966620004e-08
1830,2.2752301731543412e-07,1.0436835840010872e-09
1831,4.31876401307818e-07,6.236482441579483e-09
1832,1.569476495433264e-07,6.764984572527055e-09
1833,3.6835939454249456e-07,3.4750886612755494e-09
1834,2.3149636696473408e-07,6.534171426153534e-09
1835,2.9571675241868434e-07,6.050470346963266e-09
1836,2.0229457642351178e-07,2.016224964762614e-09
1837,2.1917355752520962e-07,9.045257876039159e-09
1838,2.2408174515931023e-07,6.312161904276081e-09
1839,2.516931183471627e-07,0.0
1840,2.656160260627871e-07,7.0066574764382494e-09
1841,2.972714003846022e-07,2.6966304744746594e-08
1842,2.6698896249399695e-07,8.720745015011744e-09
1843,3.012524745216183e-07,4.134837805480629e-09
1844,1.3062775572336704e-07,1.6465684371524958e-09
1845,2.3883375055433476e-07,1.1160455670733427e-08
1846,2.2071470695550488e-07,4.0981511517657054e-09
1847,1.4238110335185183e-07,4.853901280910122e-09
1848,1.713632249433772e-07,3.218088551193432e-08
1849,1.9440243037571747e-07,6.703531951757213e-09
1850,2.2743135996705632e-07,7.467895635215882e-09
1851,1.5994607838187846e-07,8.384270167027807e-09
1852,1.3411724086864751e-07,6.510545436100301e-09
1853,1.2302180141254837e-07,8.957897534855874e-09
1854,1.7925041717603563e-07,1.0391328686409906e-08
1855,1.4859424624091844e-07,1.0613874223963649e-08
1856,9.73311573559954e-08,1.1907535402144731e-08
1857,9.958278224253547e-08,9.763017949637742e-09
1858,1.1255454857028724e-07,9.787352261980686e-09
1859,1.497099022529369e-07,7.129042689513199e-09
1860,1.377732426754985e-07,1.6935580049448618e-08
1861,1.806214076083279e-07,1.131831339762357e-08
1862,1.707798853445297e-07,3.6143890103090826e-09
1863,1.603273267480887e-07,1.0988165932701577e-08
1864,1.6397969759829323e-07,1.0548401263577034e-08
1865,1.8450829664118373e-07,1.0355057478150798e-08
1866,1.8100080367844384e-07,7.784980660119345e-09
1867,1.0190903765305848e-07,1.649955905236311e-08
1868,1.5363008676327894e-07,1.1855697756857353e-08
1869,1.4650557567108535e-07,1.1720445947105418e-08
1870,1.6743423003617863e-07,8.601073631098188e-09
1871,1.6250401468909104e-07,2.1242354542039266e-09
1872,2.1286634255268666e-07,3.628403577593531e-09
1873,1.412697094860249e-07,5.387403856360606e-09
1874,8.603437318122076e-08,1.7923826867161097e-08
1875,1.968205320390659e-07,7.437985338754061e-09
1876,1.1003746847038087e-07,3.023007266733657e-08
1877,1.0204946288006056e-07,1.1751150275074451e-08
1878,1.9747819979265557e-07,1.8117266742390115e-08
1879,1.1118972231827229e-07,1.5273313280772527e-08
1880,2.1371427738614557e-07,8.343199908722454e-09
1881,1.25505133619086e-07,1.324776466304911e-08
1882,8.385785221776132e-08,9.317538740560849e-09
1883,1.453447904253835e-07,8.215140678835553e-09
1884,1.5513987428050768e-07,7.922036360241691e-09
1885,9.410628365458251e-08,6.445635580831777e-09
1886,9.68019548963639e-08,1.1616235084943582e-08
1887,1.5016526333511138e-07,1.3710741875172516e-08
1888,1.0208389866761536e-07,8.87686080197625e-09
1889,1.5537538788912286e-07,6.891650361495749e-09
