year,pouvais_VERB être_VERB,pouvais_VERB etre_VERB,pouvais_VERB mettre_VERB
1800,1.8550569791386806e-07,0.0,6.288328968651058e-09
1801,1.857322473597378e-07,2.3811825844433088e-09,4.7623651688866175e-09
1802,1.4545960880241182e-07,0.0,4.475680270843441e-09
1803,1.0726865440346955e-07,0.0,2.5354410126965377e-08
1804,2.817910171870608e-07,0.0,3.707776485839531e-08
1805,1.1655798459742073e-07,0.0,5.685755422035754e-09
1806,1.7001848107156547e-07,0.0,0.0
1807,2.1921555060089304e-07,0.0,8.540865792383556e-09
1808,1.2690014727922971e-07,0.0,2.7192887941396293e-08
1809,1.8975856619363185e-07,0.0,2.25903047379461e-08
1810,1.427477371862551e-07,0.0,9.360507036149102e-09
1811,2.0307321335621964e-07,0.0,1.2535384286138651e-08
1812,1.5469807124190993e-07,0.0,0.0
1813,2.415623043816595e-07,0.0,0.0
1814,2.2970742463712668e-07,0.0,0.0
1815,2.88602933551374e-07,0.0,3.776112933451259e-08
1816,1.1356259221884102e-07,0.0,1.1588019432906549e-08
1817,2.926921922608017e-07,1.556873407970727e-09,1.8682481339737933e-08
1818,3.0875850143274874e-07,1.1921177378582115e-09,3.337929754820834e-08
1819,1.645816922746235e-07,0.0,3.1053151161586356e-09
1820,3.4056802178383805e-07,0.0,4.9839222526770754e-08
1821,4.339054839874734e-07,0.0,3.944595405869222e-08
1822,4.641860300580447e-07,0.0,1.804610860745015e-08
1823,3.913544048828044e-07,0.0,3.9530746676064155e-08
1824,3.2758129009380355e-07,0.0,2.5263338088166165e-08
1825,2.3334423815413174e-07,0.0,7.924898959288385e-09
1826,1.8584846372959873e-07,0.0,6.1655889282974385e-09
1827,3.170741820213152e-07,0.0,2.2121454890111636e-08
1828,2.5132104042313586e-07,0.0,1.4675682002973645e-08
1829,4.1751366097741993e-07,0.0,1.0287811491593857e-08
1830,4.185171178505698e-07,0.0,2.1917355041978226e-08
1831,3.663933512143558e-07,0.0,1.091384405071949e-08
1832,3.8831012716400437e-07,0.0,2.0294953273491956e-08
1833,3.4519212022132706e-07,0.0,4.170106393530659e-08
1834,3.220413304916292e-07,9.334530925997342e-10,1.6802156110884425e-08
1835,3.365574059444043e-07,0.0,2.647080776796429e-08
1836,2.594209433937067e-07,6.048674894287842e-09,3.629205025390547e-08
1837,2.6857458124140976e-07,0.0,1.2524203896191466e-08
1838,2.3986214614524215e-07,0.0,1.009945904684173e-08
