year,divers_DET archers_NOUN,divers_DET marchés_NOUN
1800,0.0,9.432493452976587e-09
1801,0.0,3.333655484993869e-08
1802,0.0,8.951360541686881e-09
1803,0.0,2.9255089017965474e-08
1804,0.0,4.943701892301533e-09
1805,0.0,8.528632911009026e-09
1806,0.0,2.0171682990621775e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,1.5862518409903714e-08
1809,0.0,9.036122072814123e-09
1810,0.0,1.8721014072298203e-08
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,0.0,1.8540831092650478e-08
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,2.2772310259711048e-08
1820,0.0,3.5599443393152796e-09
1821,0.0,1.97229765852569e-09
1822,0.0,0.0
1823,0.0,1.9765373782121287e-09
1824,0.0,7.57900142644985e-09
1825,0.0,0.0
1826,0.0,2.642395191543301e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,2.7516904310687096e-09
1829,0.0,2.571952872898464e-09
1830,0.0,3.1310507520032616e-09
1831,0.0,1.5591206548037917e-08
1832,0.0,5.411987857861789e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,1.7735608537350345e-08
1835,0.0,1.5882484660778573e-08
1836,0.0,5.376600220596828e-09
1837,0.0,1.6698937344017395e-08
1838,0.0,1.3255539776935166e-08
1839,0.0,2.516931019158619e-08
1840,0.0,1.46502836528839e-08
1841,0.0,4.494383976094696e-09
1842,0.0,1.8112316535479067e-08
1843,0.0,1.7130041385371442e-08
1844,0.0,1.536797189505279e-08
1845,0.0,2.39949793368055e-08
1846,0.0,1.4050803187615202e-08
1847,0.0,2.3190861675459473e-08
1848,0.0,2.011305433313737e-08
1849,0.0,3.770736700658972e-08
1850,0.0,2.308258650884909e-08
1851,0.0,1.3543821175687754e-08
1852,0.0,2.14848001611756e-08
1853,0.0,7.763511611358354e-09
1854,0.0,1.506742641765868e-08
1855,0.0,1.0083180512765466e-08
1856,0.0,9.318940286107136e-09
1857,0.0,2.4895696282278834e-08
1858,0.0,1.3702292633865909e-08
1859,0.0,1.6804172275897145e-08
1860,0.0,2.1512763792586043e-08
1861,0.0,9.903524222920623e-09
1862,0.0,8.132375661773494e-09
1863,0.0,2.097740736672904e-08
1864,0.0,2.2535221688713136e-08
1865,0.0,1.8827376990770972e-08
1866,0.0,1.8002767276925624e-08
1867,0.0,3.930777126015528e-08
1868,0.0,2.1735446442683326e-08
1869,0.0,1.9045725108135514e-08
1870,0.0,9.747882501187632e-09
1871,0.0,1.3807530674370128e-08
1872,0.0,4.7169245842582086e-08
1873,0.0,6.94376541821029e-08
1874,0.0,6.512323835750067e-08
1875,0.0,2.1169649755403697e-08
1876,0.0,2.9625471853478302e-08
1877,1.8554447978047506e-09,1.731748500155561e-08
1878,0.0,3.200716847118201e-08
1879,0.0,1.8327975581655664e-08
1880,0.0,1.7328184886977738e-08
1881,0.0,2.091752193678076e-08
1882,0.0,2.5290463057103807e-08
1883,0.0,1.8326083761621703e-08
1884,0.0,7.922036360241691e-09
1885,0.0,3.7384687345820566e-08
1886,6.453463874400711e-10,2.5168509498740832e-08
1887,8.48760173255414e-09,3.525619185484885e-08
1888,0.0,1.3949352339892584e-08
1889,0.0,1.1277245803853475e-08
