year,les_DET auteurs_NOUN
1800,3.1954143651091726e-05
1801,3.573202457118896e-05
1802,3.668491353892023e-05
1803,3.4587316804390866e-05
1804,3.587150104067405e-05
1805,3.535402765919571e-05
1806,3.840688486889121e-05
1807,3.896342605003156e-05
1808,4.1949562728405e-05
1809,4.079131531398161e-05
1810,4.442730687514995e-05
1811,4.665419055527309e-05
1812,5.204790159041295e-05
1813,4.5620764922205126e-05
1814,3.9415276660292875e-05
1815,4.256758256815374e-05
1816,3.835402685581357e-05
1817,4.337605059845373e-05
1818,3.973090133513324e-05
1819,4.3157667278137524e-05
1820,4.214143291392247e-05
1821,4.2398484310979256e-05
1822,3.729930313056684e-05
1823,3.524264957377454e-05
1824,3.9340913190244464e-05
1825,3.896760699717561e-05
1826,3.966763824791997e-05
1827,4.1893429624906275e-05
1828,4.294929976822459e-05
1829,4.164506117376732e-05
1830,4.1573046473786235e-05
1831,3.72255640286312e-05
1832,4.0131241803464945e-05
1833,3.773251091843122e-05
1834,3.547308369888924e-05
1835,3.4365914871159475e-05
1836,3.7716175938840024e-05
1837,3.7958076973154675e-05
1838,3.4650613542908104e-05
1839,3.656121907624765e-05
1840,3.5133291930833366e-05
1841,3.979841221735114e-05
1842,3.751261965589947e-05
1843,3.914864237231086e-05
1844,3.561253015504917e-05
1845,3.5995818507217336e-05
1846,3.9175397432700265e-05
1847,3.59652499355434e-05
1848,3.510049828037154e-05
1849,3.706382904056227e-05
1850,3.7015642647020286e-05
1851,3.634129870988545e-05
1852,4.03393387387041e-05
1853,3.801612410825328e-05
1854,3.278776011939044e-05
1855,3.266472867835546e-05
1856,3.3102431189036e-05
1857,3.239759871576098e-05
1858,3.2279665447276784e-05
1859,3.719476035257685e-05
1860,3.2675601232767804e-05
1861,3.241800686737406e-05
1862,3.19918599416269e-05
1863,3.1206890525936615e-05
1864,3.0136783607304096e-05
1865,3.16262280648516e-05
1866,3.275287281212513e-05
1867,3.155249532937887e-05
1868,3.211955572623992e-05
1869,3.42720495609683e-05
1870,3.2307351830240805e-05
1871,3.118271524726879e-05
1872,3.2265579648083076e-05
1873,3.278833901276812e-05
1874,3.273129823355703e-05
1875,3.103299059148412e-05
1876,3.508744248392759e-05
1877,3.3957113373617176e-05
1878,3.86012520721124e-05
1879,3.4810323995770887e-05
1880,3.7419893942569615e-05
1881,3.4843712910515023e-05
1882,3.576604012778262e-05
1883,3.640697514128988e-05
1884,3.50708546648093e-05
1885,3.4816745028365403e-05
1886,3.379033705641632e-05
1887,3.952415181629476e-05
1888,3.775962795771193e-05
1889,3.570626768123475e-05
1890,3.652169607448741e-05
1891,3.45571975230996e-05
1892,3.654291958810063e-05
1893,4.029020874440903e-05
1894,3.594902045733761e-05
1895,3.672016919153975e-05
1896,3.6217193155607674e-05
1897,3.77862379536964e-05
1898,3.783402462431695e-05
1899,3.715306502272142e-05
1900,3.6406932849786244e-05
1901,3.800901322392747e-05
1902,3.2956351788016036e-05
1903,4.017601804662263e-05
1904,4.1024512029252946e-05
1905,4.075554716109764e-05
1906,4.1317576688015833e-05
1907,3.984880731877638e-05
1908,4.109457313461462e-05
1909,4.0970226109493524e-05
1910,4.154275575274369e-05
1911,4.188464481558185e-05
1912,4.1459177737124264e-05
1913,4.3163685404579155e-05
1914,4.1410654375795275e-05
1915,3.962459322792711e-05
1916,3.7077191336720716e-05
1917,3.607734379329486e-05
1918,3.5736414247367065e-05
1919,3.6157378417556174e-05
1920,3.863731308229035e-05
1921,4.1219221202482004e-05
1922,4.5360284275375307e-05
1923,3.861444929498248e-05
1924,4.219299717078684e-05
1925,4.123216785956174e-05
1926,4.238430756231537e-05
1927,4.125213217776036e-05
1928,4.325213740230538e-05
1929,4.216086745145731e-05
1930,4.430315038916888e-05
1931,4.376691686047707e-05
1932,4.5896348638052586e-05
1933,4.4084050387027673e-05
1934,4.391848233353812e-05
1935,4.7411161176569294e-05
1936,4.737974722957006e-05
1937,4.679740686697187e-05
1938,4.7934991926013026e-05
1939,4.707049902208382e-05
1940,4.785022338182898e-05
1941,3.860270317090908e-05
1942,4.246986190992175e-05
1943,3.8212381696212105e-05
1944,3.9017719245748594e-05
1945,3.189765629940666e-05
1946,3.58844308721018e-05
1947,3.450734493526397e-05
1948,3.836906671494944e-05
1949,3.5901781302527525e-05
1950,4.1347095248056576e-05
1951,3.760383060580352e-05
1952,4.0712434383749496e-05
1953,4.0246710341307335e-05
1954,4.0362529034609906e-05
1955,4.093157531315228e-05
1956,4.223474479658762e-05
1957,4.222971256240271e-05
1958,4.202382297080476e-05
1959,4.217879359202925e-05
1960,4.174785135546699e-05
1961,4.1737593164725695e-05
1962,4.25722837462672e-05
1963,4.1135091123578604e-05
1964,4.0476642425346654e-05
1965,4.009475651400862e-05
1966,4.0528301724407356e-05
1967,3.963053040934028e-05
1968,3.6912701034452766e-05
1969,3.6854547943221405e-05
1970,3.6714840462082066e-05
1971,3.7815009818586987e-05
1972,4.0015659578784835e-05
1973,3.7609974242514e-05
1974,3.779877897613915e-05
1975,3.636270957940724e-05
1976,3.755215493583819e-05
1977,3.723058853211114e-05
1978,3.67241427738918e-05
1979,3.8714901165803894e-05
1980,3.682272108562756e-05
1981,3.758008915610844e-05
1982,3.753428245545365e-05
1983,4.020077540189959e-05
1984,3.7702253393945284e-05
1985,3.8489945836772677e-05
1986,3.841146371996729e-05
1987,3.8071000744821504e-05
1988,3.8593821045651566e-05
1989,3.6640898542827927e-05
1990,3.54178655470605e-05
1991,3.6512239603325725e-05
1992,3.7319952753023244e-05
1993,3.6408102459972724e-05
1994,3.816778553300537e-05
1995,3.787473360716831e-05
1996,3.676717824419029e-05
1997,3.857061074086232e-05
1998,3.7419800719362684e-05
1999,3.832753463939298e-05
2000,3.914640910807066e-05
2001,3.8435932765423786e-05
2002,3.8324736124195624e-05
2003,3.925116379832616e-05
2004,3.8824711737106554e-05
2005,4.025271118734963e-05
2006,3.8151838452904485e-05
2007,3.486821060505463e-05
2008,3.20785306939797e-05
2009,3.0296142085717293e-05
2010,2.6128243462153478e-05
2011,2.3789694751030765e-05
2012,1.9603388864197768e-05
2013,1.8796750737237744e-05
2014,1.7055912849173183e-05
2015,1.711395680104033e-05
2016,1.677081172601902e-05
2017,1.6364806242563645e-05
2018,1.60822789894155e-05
2019,1.6764836800575722e-05
