year,trois_DET arrêts_NOUN,trois_DET marais_NOUN
1800,4.087413785214267e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,5.147032311469957e-08,0.0
1803,1.1311967429428194e-07,0.0
1804,6.92118238276862e-08,2.4718509461507665e-09
1805,5.685755488649136e-08,0.0
1806,5.76333825108577e-08,0.0
1807,6.604936118037585e-07,0.0
1808,6.979507887194814e-07,2.2660739951163578e-09
1809,8.990941680053766e-07,0.0
1810,5.335489117186398e-07,0.0
1811,2.281439890339243e-07,0.0
1812,1.0295423464867781e-06,0.0
1813,7.246869166976921e-07,0.0
1814,1.3530711839848664e-07,0.0
1815,6.689114258051632e-07,0.0
1816,4.8669681618207505e-08,0.0
1817,7.784366751195648e-08,0.0
1818,6.556647669242466e-08,0.0
1819,1.3456365621777877e-07,0.0
1820,1.3290459044412728e-07,0.0
1821,1.6665915758551364e-07,0.0
1822,1.31335568198665e-07,0.0
1823,2.48055446405715e-07,0.0
1824,2.4926493402688266e-07,0.0
1825,4.913437265940956e-07,2.641632912414593e-09
1826,6.570756099222308e-07,7.927186018719112e-09
1827,9.410835630774272e-07,2.7651818612639545e-09
1828,1.1281930483164615e-06,0.0
1829,5.323942460222497e-07,0.0
1830,3.5902714579094663e-07,0.0
1831,1.7773975002910447e-07,0.0
1832,2.6112840600944764e-07,1.3529969367098715e-09
1833,2.4673128251606613e-07,5.791814139399776e-09
1834,3.0243880999591966e-07,5.600718555598405e-09
1835,1.6941316971497145e-07,7.563087933704082e-10
1836,1.189572760296187e-07,0.0
1837,1.5098623151743595e-07,4.174734336004349e-09
1838,1.5212309811829527e-07,1.2624323808552163e-09
1839,2.0415108181737196e-07,1.3982950353153e-09
1840,1.745294753163762e-07,0.0
1841,1.8170151960816838e-07,0.0
1842,2.582682121499147e-07,0.0
1843,2.0851396342891348e-07,5.906911071384968e-10
1844,2.3820355821158046e-07,1.097712254427563e-09
1845,2.0591041227646656e-07,0.0
1846,1.9085674907159955e-07,0.0
