year,plusieurs_DET eaux_NOUN,plusieurs_DET maux_NOUN
1800,4.4647134433972724e-07,1.194782499602809e-07
1801,4.905236004049129e-07,9.048493865293494e-08
1802,2.6854081625060644e-07,7.608656460433849e-08
1803,7.489302760177452e-07,2.3404071103350077e-07
1804,2.7190359297435407e-07,1.4336735887354735e-07
1805,3.3261667908845993e-07,1.3930100806192058e-07
1806,1.7578181132904547e-07,1.2967511153760825e-07
1807,3.1031811431603273e-07,6.547996633798903e-08
1808,3.0818605356586204e-07,1.11037628869326e-07
1809,3.930713194932878e-07,5.873479480555943e-08
1810,1.825298880930859e-07,1.1466621430145096e-07
1811,3.058633719632553e-07,5.264861258069686e-08
1812,1.787029546562735e-07,4.000812481308458e-08
1813,2.013019202440347e-07,9.777521370324394e-08
1814,2.0138733702879108e-07,1.2586708564299443e-08
1815,2.7781403844073793e-07,3.776112933451259e-08
1816,2.549364239712304e-07,1.8077309782427164e-07
1817,2.5999784725172503e-07,8.56280379935015e-08
1818,2.718028302428621e-07,7.033494608954527e-08
1819,2.4739009951701973e-07,1.1696686641471388e-07
1820,1.8630375020478596e-07,1.8155715508783032e-07
1821,1.3806084253609185e-07,1.1340711836282935e-07
1822,1.3233812978796777e-07,1.0326384369818697e-07
1823,1.8777105204037525e-07,1.2452186126665765e-07
1824,1.6842225214475093e-07,1.381062446625947e-07
1825,1.7698941112698208e-07,1.5849796852762665e-07
1826,1.1714619407854343e-07,3.487961731662992e-07
1827,1.8711064875276406e-07,1.2443318797572545e-07
1828,1.6051527507165986e-07,6.512333783348367e-08
1829,1.294549552000035e-07,4.8009784592295546e-08
1830,1.4298465633721946e-07,8.558205455422296e-08
1831,2.1671776728737768e-07,1.0602020239502963e-07
1832,2.9495332221074477e-07,5.817886972181441e-08
1833,2.281974778028939e-07,6.02348677603004e-08
1834,2.0162586711336417e-07,5.507373224133971e-08
1835,8.546289365085613e-08,1.104210838320796e-07
1836,1.592817713280681e-07,1.5726555480100046e-07
1837,1.607272839265761e-07,9.601889416899212e-08
1838,1.1614377637414464e-07,1.3066174631148897e-07
1839,2.286212446023228e-07,1.1326189630622707e-07
1840,8.216898661483896e-08,8.662776873613609e-08
1841,1.3033714019172749e-07,5.778493772368165e-08
1842,6.37285153537448e-08,8.251165750650102e-08
1843,1.4826347272123286e-07,6.202256486176339e-08
1844,6.696044607679141e-08,7.519329026095534e-08
1845,1.2946129324120648e-07,6.863680113156079e-08
1846,1.0830827568142354e-07,8.489026726010707e-08
1847,1.0948244177910738e-07,9.76173515354617e-08
1848,9.010648227558704e-08,7.482056219032529e-08
1849,1.1312210324021521e-07,7.792856138166826e-08
1850,1.1948632838709727e-07,6.313766220955586e-08
1851,1.199595587308977e-07,4.6435957301582675e-08
1852,1.1653876130779395e-07,5.3386471465799445e-08
1853,1.510898699486063e-07,1.0212003331844244e-07
1854,1.7041779409865399e-07,9.560022817822755e-08
1855,1.2630509971245374e-07,8.17268315245201e-08
1856,1.5169164357953235e-07,7.092749032544532e-08
1857,1.6255425805411505e-07,4.344543147460911e-08
1858,1.8204475304983703e-07,5.9213480341213653e-08
1859,1.7618919923023668e-07,5.4995473952601515e-08
1860,9.612086060428737e-08,5.080674281288111e-08
1861,1.466664747984403e-07,5.4705179053371467e-08
1862,1.644546971935057e-07,2.84633134839396e-08
1863,1.573305503654865e-07,5.0445670751742e-08
1864,1.448007906912352e-07,4.171413292564097e-08
1865,1.0543331430135083e-07,5.0833918407988676e-08
1866,6.90917041357153e-08,4.719644702833037e-08
1867,8.73506067478047e-08,4.804283548764943e-08
1868,6.273639874265768e-08,4.989272905930875e-08
1869,6.788091344578362e-08,3.90681549333749e-08
1870,9.403839706934036e-08,3.039045815000918e-08
1871,5.629224020253787e-08,4.5671061599250606e-08
1872,6.773019978201233e-08,2.7213026498884574e-08
1873,1.8915773869476737e-07,2.9331422624068182e-08
1874,1.0933534699830716e-07,2.330097642611051e-08
1875,7.609631325067312e-08,4.291145216939185e-08
1876,9.189942318243993e-08,2.0556450763820067e-08
1877,7.978412686071579e-08,3.401648740464225e-08
1878,6.703388133466603e-08,3.2611080058586595e-08
1879,5.1929266220440695e-08,5.254019797007459e-08
1880,1.0268554273551445e-07,2.9522093214495726e-08
1881,8.924809402621747e-08,2.7890029841159958e-08
1882,9.583754456699012e-08,2.2628309892525067e-08
1883,4.73950407808843e-08,2.7805092117638708e-08
1884,8.780256610663173e-08,2.772712726084592e-08
1885,8.37932674357944e-08,2.5137978920675152e-08
1886,7.679621916167889e-08,3.6784744139595205e-08
1887,7.508263166755569e-08,2.0239665943222462e-08
1888,8.686642227750951e-08,2.599652049184442e-08
1889,8.583237531833987e-08,3.069916942877171e-08
1890,1.0552562201837645e-07,2.6872983838188702e-08
1891,9.115134491644028e-08,8.286486163910922e-09
1892,7.835640758457885e-08,2.0686091062316336e-08
1893,7.266931634219986e-08,1.847524977449666e-08
1894,8.507078064212692e-08,3.465846631911518e-08
1895,7.703826376825873e-08,2.1065151400989635e-08
1896,3.892039046604623e-08,2.358811634906033e-08
1897,4.952706478267288e-08,1.8645483379486905e-08
1898,6.563691667960114e-08,2.9423445013776472e-08
1899,5.969784488968344e-08,1.7688250864011934e-08
1900,7.630847831396892e-08,2.5436159845071415e-08
1901,7.433023085923196e-08,1.397184767881754e-08
1902,5.450415019314647e-08,8.838511256215043e-09
1903,4.8061958635159385e-08,1.6200659924692218e-08
1904,5.912087619464046e-08,1.9886112312406112e-08
1905,4.2318223258952514e-08,1.909480928929952e-08
1906,6.533114205176105e-08,1.851906511474155e-08
1907,6.171411826016993e-08,2.3142794347563722e-08
1908,5.8445528861028606e-08,2.504808449543816e-08
1909,4.1807473483146396e-08,2.2554033307642385e-08
1910,3.954671612405036e-08,8.550641084070776e-09
1911,5.1607629170113967e-08,1.1172785363555704e-08
1912,4.271725284610284e-08,6.772247651554153e-09
1913,7.052976025434532e-08,1.5908969752675972e-08
1914,3.8171439342704616e-08,2.0090231700464756e-08
1915,1.5314990164938536e-08,8.246533234057551e-09
1916,2.6369908923129515e-08,1.2086208478478966e-08
1917,4.057576963312215e-08,3.289927441585405e-09
1918,4.5945505178224266e-08,8.040463406189247e-09
1919,2.3940405213807026e-08,1.6574126959767455e-08
1920,3.48322650722821e-08,1.665890891899835e-08
1921,5.2251958815308086e-08,9.087297137000405e-09
1922,2.4347187377316004e-08,8.115729421831475e-09
1923,3.927900849021171e-08,1.0615948120573648e-08
1924,1.4180787211159895e-08,1.804827398643738e-08
1925,2.1996355625830688e-08,2.0896537833436923e-08
1926,6.687682940764716e-08,1.2260752413340015e-08
1927,4.7941668412931904e-08,3.3447673075670536e-08
1928,2.170947854818195e-08,3.1992914983902665e-08
1929,4.790374674712439e-08,1.6710609784809094e-08
1930,2.941009036305786e-08,6.302162347537887e-09
1931,3.9918746530531735e-08,5.7026783295555106e-09
1932,2.849479585620429e-08,6.575722188983946e-09
1933,2.408838994938378e-08,1.261772819560747e-08
1934,1.677421224144382e-08,1.677421224144382e-08
1935,1.795242621227544e-08,4.787313656606784e-09
1936,3.394919900756577e-08,1.091224355320719e-08
1937,2.895957251780601e-08,1.1332006444320086e-08
1938,3.1116513810047763e-08,1.5558256905023882e-08
1939,2.5999884911698246e-08,1.5294050470515685e-08
1940,4.564409294971483e-08,1.7750480196809804e-08
1941,3.836953510472085e-08,1.1806010391524069e-08
1942,3.9444752131245764e-08,1.2136847082899749e-08
1943,2.6129116648121453e-08,1.1612940831184915e-08
1944,6.4263723231761105e-09,9.639558484764166e-09
1945,2.178504043826024e-09,1.9606536838523425e-08
1946,3.062642850437669e-08,1.3921104269343232e-08
1947,3.337843779149807e-08,1.6689219783927456e-08
1948,2.6092530802657166e-08,1.522064252412747e-08
1949,1.570721330779179e-08,1.3743811311250909e-08
1950,1.701657836861159e-08,1.701657836861159e-08
1951,2.0256663901818683e-08,2.3455083209000804e-08
1952,1.4762725264461096e-08,6.326882129314981e-09
1953,1.723812381726475e-08,1.4005975934594517e-08
1954,1.1727043114362345e-08,1.8567819282111486e-08
1955,1.9709776921672528e-08,1.3139850985055546e-08
1956,1.831439710997529e-08,1.3081712602058815e-08
1957,2.297109880089465e-08,1.3252556385623393e-08
1958,2.978007690446205e-08,9.926692356998501e-09
1959,3.952881399982289e-08,1.0851047171911432e-08
1960,1.5917916873497973e-08,1.1765417085030094e-08
1961,1.6675582137359868e-08,9.72742331128984e-09
1962,2.029426049432459e-08,2.0928455413127267e-08
1963,2.0691370394843034e-08,1.4871922360271128e-08
1964,1.4601523545820783e-08,1.7035111099517053e-08
1965,2.407699106754535e-08,1.860494691641179e-08
1966,1.495550172592175e-08,2.0494577035456985e-08
1967,2.465167803222812e-08,2.465167803222812e-08
1968,1.9762229602759973e-08,1.9313088017725022e-08
1969,1.2262746151847637e-08,1.8167030546578644e-08
1970,4.092865424354386e-08,1.8854772326770686e-08
1971,1.0790634386026454e-08,2.0553589274996398e-08
1972,2.103360258187692e-08,1.7955513686995772e-08
1973,2.59120574996885e-08,1.543697081274331e-08
1974,1.2938814464291681e-08,1.6314157136321228e-08
1975,1.8847885030481848e-08,9.709516746170266e-09
1976,9.712995741040231e-09,1.1427053969725876e-08
1977,1.0578207476630297e-08,1.469195431980097e-08
1978,3.3267311683182754e-08,1.2475242172627077e-08
1979,3.5697038214266286e-08,1.5800327823889404e-08
1980,2.1603572264439208e-08,1.762396723004045e-08
1981,4.4278845257039734e-08,2.2771979080182803e-08
1982,1.7381006189864934e-08,1.551875572491923e-08
1983,1.8314416649900522e-08,2.9681984869966982e-08
1984,2.2616132966390978e-08,2.435583495996596e-08
1985,1.8046674932215012e-08,9.023337299574052e-09
1986,2.517683839187157e-08,1.6185110141009318e-08
1987,1.711028652096047e-08,1.894353190978748e-08
1988,3.17817343553628e-08,1.739000587974715e-08
1989,1.0976244468885454e-08,1.7561990972581043e-08
1990,1.1987032477733806e-08,1.4166492867673242e-08
1991,1.5825955934634095e-08,1.875668864670388e-08
1992,1.597883780846132e-08,1.3774860863069449e-08
1993,1.2186256448387667e-08,3.0465642453236796e-08
1994,2.7429617632801495e-08,2.1099706759564185e-08
1995,4.337960540778951e-08,2.060531389957987e-08
1996,1.441284891434691e-08,3.096093315058113e-08
