year,ces_DET airs_NOUN,ces_DET mères_NOUN
1800,4.181738866293472e-07,7.231578535993322e-08
1801,4.238504889286787e-07,2.0240052123199348e-07
1802,3.6700578220916213e-07,2.4840025503181096e-07
1803,4.0567054426787763e-07,2.4574274615218883e-07
1804,7.786330371573058e-07,1.0876144251881215e-07
1805,6.02690079176682e-07,1.3930100983827742e-07
1806,7.405889590472725e-07,1.7290014397985942e-07
1807,3.3024679169102455e-07,1.5942948516922684e-07
1808,3.3991110370834576e-07,1.336983692645788e-07
1809,3.998484032763372e-07,1.513550458298596e-07
1810,4.5632472378542843e-07,1.9891077362999e-07
1811,4.061464267124393e-07,1.5543875875323465e-07
1812,6.027890364634914e-07,1.9470620671313554e-07
1813,6.039057396378666e-07,1.7542023300620713e-07
1814,7.457624633389059e-07,2.1712072051371933e-07
1815,2.643279088943018e-07,1.267695091122789e-07
1816,3.036061109185084e-07,1.5296185829072328e-07
1817,4.110145797042719e-07,2.4909974172260263e-07
1818,3.9339886015454795e-07,1.4066989173500133e-07
1819,4.5958660876976865e-07,1.5837106204230622e-07
1820,5.541646501683317e-07,1.5545090903401615e-07
1821,5.216727174683911e-07,2.3864800979822576e-07
1822,4.4513735986129177e-07,1.664252238242625e-07
1823,3.014219576158439e-07,1.5021684340865704e-07
1824,3.7558162802042716e-07,2.0210670470532932e-07
1825,5.151184421237076e-07,1.8051157990583988e-07
1826,3.8138572833190665e-07,1.6470931107903652e-07
1827,2.7283126868837826e-07,2.193711050590963e-07
1828,3.6689204740980585e-07,1.3941897236691148e-07
1829,3.7379047057584103e-07,1.3202691012681456e-07
1830,5.89681221185856e-07,1.4089728250787914e-07
1831,2.806417143119688e-07,2.16717763734664e-07
1832,4.4784197683611637e-07,1.447706656776404e-07
1833,5.965568661281395e-07,1.4827045013987572e-07
1834,3.2857548859510644e-07,1.941582477016368e-07
1835,4.363901808801529e-07,1.0285799589837552e-07
1836,3.790502951517283e-07,1.868368499913231e-07
1837,2.845777480331435e-07,1.6351044251905478e-07
1838,3.1118958787601514e-07,1.7989661138528845e-07
1839,4.1809022022221143e-07,1.321388829467196e-07
1840,3.40141363963653e-07,1.3057861814047556e-07
1841,3.6918153512033314e-07,1.4253617663939622e-07
1842,3.481589700982113e-07,1.6971911120933214e-07
1843,3.691819294715515e-07,1.6657488638438522e-07
1844,3.9956725217393796e-07,1.4434915840411122e-07
1845,3.7499130378648715e-07,1.936339122932118e-07
1846,3.4424467898475086e-07,1.8792948552892597e-07
1847,2.998632275819091e-07,1.4831365202638835e-07
1848,3.041093847855336e-07,1.5125017283068587e-07
