year,quelques_DET effets_NOUN,quelques_DET méfaits_NOUN
1800,7.923294393918923e-07,0.0
1801,8.429386539887673e-07,0.0
1802,5.169410712824174e-07,0.0
1803,6.982214380002461e-07,0.0
1804,1.604231215424079e-06,0.0
1805,9.608926765380943e-07,0.0
1806,9.538324547975208e-07,0.0
1807,1.2725889160236648e-06,0.0
1808,7.999241233846988e-07,4.5321479902327155e-09
1809,7.97437792243727e-07,0.0
1810,6.786367361399925e-07,0.0
1811,5.991913560876583e-07,1.0028307073639553e-08
1812,7.068101695040241e-07,0.0
1813,9.029828995643641e-07,0.0
1814,4.0906803233653477e-07,9.440030979135372e-09
1815,4.6122522867619864e-07,5.394447111228828e-09
1816,4.797439920878332e-07,0.0
1817,5.044269890674968e-07,0.0
1818,5.13802764778859e-07,5.960588467246453e-09
1819,4.76148304784374e-07,3.1053151161586356e-09
1820,4.532995871997514e-07,0.0
1821,5.502710416216416e-07,1.97229765852569e-09
1822,5.714601059025881e-07,2.0051231786055723e-09
1823,4.2199072503024126e-07,0.0
1824,5.726356411273059e-07,0.0
1825,4.4027215650999096e-07,2.993850500843109e-08
1826,4.76511942570923e-07,8.80798456392995e-09
1827,7.16182123994269e-07,9.217273166939322e-09
1828,5.0814550900391e-07,3.668920500743411e-09
1829,5.358235068975148e-07,2.571952872898464e-09
1830,5.260165354403767e-07,1.0436835395921662e-08
1831,6.392394347187746e-07,1.5591206103948707e-09
1832,4.6001895981362395e-07,1.488296597074168e-08
1833,4.459696834047122e-07,6.950177322551099e-09
1834,5.740736774839661e-07,0.0
1835,4.5907944468126516e-07,3.781543966852041e-09
1836,4.906147457184318e-07,1.8818100855355624e-08
1837,4.780070986809548e-07,1.530736071231331e-08
1838,3.964037726955638e-07,3.28232410140572e-08
1839,4.194885012687166e-07,1.2584655095793096e-08
1840,4.1148190205175794e-07,1.46502836528839e-08
1841,4.269664635181414e-07,3.2102742686390684e-09
1842,4.145707861447079e-07,2.4149754196400863e-08
1843,4.335672781907718e-07,1.3585895075607368e-08
1844,3.798084416417602e-07,7.683985892015244e-09
1845,4.1572698794567486e-07,2.6785095030845696e-08
1846,3.5595368519381054e-07,1.9319854160926297e-08
1847,3.888514221728201e-07,1.941560423546207e-08
1848,3.274405306341599e-07,1.448139919091318e-08
1849,2.388133282238414e-07,1.0893239199560867e-08
1850,3.265507091398945e-07,5.431196825611551e-09
1851,3.2053710086188403e-07,8.384270167027807e-09
1852,4.283938852545077e-07,3.906327261660181e-09
1853,3.386085312140352e-07,2.7470886010405593e-08
1854,2.852419829224573e-07,1.2469595134234623e-08
1855,2.8445181854408474e-07,3.078023524949458e-08
1856,3.882891865814031e-07,2.174419400091665e-08
1857,3.207151388906482e-07,1.757343248698362e-08
1858,3.2983377296069705e-07,1.761723389392955e-08
1859,3.0909491988140303e-07,2.34239969643113e-08
1860,3.318458479117936e-07,3.7075191083868475e-08
1861,3.159695780574623e-07,2.6409396891580172e-08
1862,2.8372952798338957e-07,2.8463313539450752e-08
1863,3.046718757282463e-07,1.048870412745373e-08
1864,3.634403760166549e-07,2.3014694150447212e-08
