year,trois_DET êtres_NOUN
1800,3.772997425599556e-08
1801,3.095537337571841e-08
1802,2.4616241489638924e-08
1803,2.3404070459420723e-08
1804,1.9774807569206132e-08
1805,5.685755422035754e-09
1806,1.4408345627714425e-08
1807,3.4163463169534225e-08
1808,4.985362878073829e-08
1809,1.8072244145628247e-08
1810,4.446240886579744e-08
1811,0.0
1812,5.601137331723294e-08
1813,2.0130190847567064e-08
1814,5.034683425719777e-08
1815,4.045835311217161e-08
1816,6.489290882427667e-08
1817,4.514932783195036e-08
1818,1.1921176934492905e-08
1819,5.4860564091541164e-08
1820,4.034603762193001e-08
1821,2.070912508145284e-08
1822,5.213320264374488e-08
1823,3.360113609574e-08
1824,5.810567671460376e-08
1825,1.584979791857677e-08
1826,2.3781558056157337e-08
1827,3.410390903013649e-08
1828,5.870272801189458e-08
1829,7.287199821348622e-08
1830,2.5048405571936883e-08
1831,1.2940700400143612e-07
1832,3.382492430592521e-08
1833,6.486831694019202e-08
1834,7.654315115068755e-08
1835,5.7479468296151026e-08
1836,4.771732520225669e-08
1837,4.731365876864402e-08
1838,4.5447563934430946e-08
1839,4.61437359433603e-08
1840,7.707323418371104e-08
1841,7.51204178861542e-08
1842,8.38533114055906e-08
1843,1.0396163219184018e-07
1844,5.872760455716275e-08
1845,6.194053203678607e-08
1846,6.791221629498523e-08
1847,7.496581044819095e-08
1848,6.436177302227009e-08
1849,6.200767188602185e-08
1850,9.776154019647265e-08
1851,1.1608989880507181e-07
1852,6.445440292601745e-08
1853,7.166317939066857e-08
1854,2.2860923654111076e-08
1855,7.695059167645013e-08
1856,7.196292928224324e-08
1857,3.807577209080648e-08
1858,7.487324071853152e-08
1859,4.8375645045339866e-08
1860,6.728460233418332e-08
1861,5.470517860928226e-08
1862,7.409497770893836e-08
1863,6.592899470803104e-08
1864,6.329041157826509e-08
1865,4.989254875908955e-08
1866,4.4763637518929755e-08
1867,4.707226963773792e-08
1868,4.791677721271981e-08
1869,5.371871036885523e-08
1870,5.9060703438973405e-08
1871,3.080141386391233e-08
1872,5.321658758106196e-08
1873,1.915521447015678e-08
1874,3.883495836021211e-08
1875,5.607096653648114e-08
1876,7.073836960636015e-08
1877,4.576763856789512e-08
1878,3.7442349554162035e-08
1879,4.215434579180055e-08
1880,4.6208494364208264e-08
1881,3.69542902944886e-08
1882,4.3925541426403925e-08
1883,3.033282780506852e-08
1884,4.357120086950772e-08
1885,1.9981470755769948e-08
1886,5.033701760970288e-08
1887,4.2438009328904513e-08
1888,2.6630581739794934e-08
1889,3.257871128425904e-08
1890,1.9663159989136147e-08
1891,2.995883485734652e-08
1892,4.387958663087943e-08
1893,3.818218274886931e-08
1894,2.5836310868498913e-08
1895,3.2500517832545484e-08
1896,4.4817420663534335e-08
1897,3.4960280004270317e-08
1898,4.413516663248629e-08
1899,3.979856622038369e-08
1900,3.89329001260208e-08
1901,4.526878427668635e-08
1902,2.3569363016839873e-08
1903,2.9701212378441255e-08
1904,2.8485514391718425e-08
1905,4.231822581246547e-08
1906,4.166789380199987e-08
1907,2.8799922446864912e-08
1908,4.125566732682273e-08
1909,2.1453835152840384e-08
1910,4.008113096976018e-08
1911,3.7242617434429803e-08
1912,4.375913675858101e-08
1913,5.037840145050154e-08
1914,4.7546880210802556e-08
