year,trois_DET êtres_NOUN
1915,3.416420901736217e-08
1916,3.955486427287269e-08
1917,5.3735480065597585e-08
1918,4.709414191950145e-08
1919,4.1435319175775476e-08
1920,7.117897959929564e-08
1921,4.0135559875587035e-08
1922,6.123686535630668e-08
1923,7.218844721990081e-08
1924,6.574728628194748e-08
1925,6.928852069876257e-08
1926,6.576221434073659e-08
1927,9.365348874190715e-08
1928,6.51284337571667e-08
1929,5.793011470522913e-08
1930,6.722306622464203e-08
1931,4.6761963190533606e-08
1932,5.58936368300067e-08
1933,4.358851568575517e-08
1934,6.47005329312833e-08
1935,5.0266792506192814e-08
1936,5.2136273520630994e-08
1937,4.2809801703569406e-08
1938,5.7046944390570786e-08
1939,3.976453122334078e-08
1940,5.325144147860783e-08
1941,5.607854847156091e-08
1942,5.158160121254696e-08
1943,5.225823351828751e-08
1944,9.318239690969676e-08
1945,7.624763886937558e-08
1946,6.542918740137793e-08
1947,5.4836005958236456e-08
1948,6.088257320513435e-08
1949,7.26458648792061e-08
1950,1.1273482991569495e-07
1951,4.69101659739124e-08
1952,8.435843201759496e-08
1953,7.972632465325091e-08
1954,7.427127624026753e-08
1955,8.540902829423658e-08
1956,6.976913002887386e-08
1957,5.212672116172712e-08
1958,6.617794601204707e-08
1959,5.890568444133493e-08
1960,5.9519166040189475e-08
1961,5.76697209986321e-08
1962,6.785893535976584e-08
1963,5.108182099533565e-08
1964,5.962289106875573e-08
1965,6.019247544841733e-08
1966,8.364003134531117e-08
1967,6.015009335058608e-08
1968,6.153239651141007e-08
1969,4.995933433615818e-08
1970,4.874648529273884e-08
1971,5.806389058449213e-08
1972,4.873639447566802e-08
1973,5.34780775218735e-08
1974,3.262831449468706e-08
1975,3.3126584142451065e-08
1976,5.656391577346653e-08
1977,3.8199080343304104e-08
1978,5.940591263353667e-08
1979,4.27194062346814e-08
1980,5.571447769803228e-08
1981,5.4399725613052397e-08
1982,3.848651264348746e-08
1983,4.168108613811228e-08
1984,6.088958803829314e-08
1985,4.7522908053210244e-08
1986,5.275147363370536e-08
1987,4.460896363411848e-08
1988,4.3175187647293e-08
1989,5.3234783692346355e-08
1990,4.140974896316152e-08
1991,4.7477868747591856e-08
1992,5.5650437369436645e-08
1993,3.766661205162336e-08
1994,4.43093841617781e-08
1995,4.7175323647508094e-08
1996,4.911044637623263e-08
1997,4.890792482115103e-08
1998,4.052909963192519e-08
1999,4.844413192817143e-08
2000,4.4180314073827276e-08
2001,4.512648099641581e-08
2002,4.4250336728168804e-08
2003,3.791899705340995e-08
2004,3.039305945806703e-08
2005,4.2335244643254555e-08
2006,5.065004593518552e-08
2007,4.314037993502495e-08
2008,4.725757962731336e-08
2009,3.385416769141614e-08
2010,4.345889426105032e-08
2011,4.09165010761825e-08
2012,4.936166453362034e-08
2013,5.829271465529473e-08
2014,6.756188941636765e-08
2015,5.984753759236128e-08
2016,6.110453076857425e-08
2017,5.333095876025595e-08
2018,6.169705413228144e-08
2019,6.198900193155055e-08
