year,mêmes_ADJ airs_NOUN,mêmes_ADJ mers_NOUN
1800,6.917161954334006e-08,9.746909768182377e-08
1801,1.4287095950749062e-08,7.143547975374531e-08
1802,4.4756802708434407e-08,1.3874608839614666e-07
1803,1.3652374342143503e-08,2.3794137860022602e-07
1804,4.2021465418429216e-08,2.4718509905596875e-08
1805,1.7057265822018053e-08,5.685755510853596e-08
1806,2.5935023018064385e-08,2.305335300434308e-08
1807,3.131650672116848e-08,5.693910054560547e-08
1808,5.211970233176544e-08,9.744118045773575e-08
1809,2.0331274441787173e-08,6.551188391767937e-08
1810,6.084329839950442e-08,6.786367379163494e-08
1811,7.270522672797597e-08,5.515568801683912e-08
1812,5.067695596494559e-08,5.067695596494559e-08
1813,6.614205716459765e-08,7.476928232108548e-08
1814,4.72001566720337e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,1.3486118000116676e-08
1816,1.8540831092650478e-08,5.5622493277951435e-08
1817,6.85024303948012e-08,2.1329165633687808e-07
1818,2.8610825708597076e-08,1.3351719019283337e-07
1819,5.072014630513877e-08,9.00541365922436e-08
1820,6.051905643289501e-08,1.4595771347103437e-07
1821,7.59334568556369e-08,7.297501269931672e-08
1822,3.909990198280866e-08,5.1130641054442094e-08
1823,4.15072847204101e-08,1.5416991061556473e-07
1824,4.8000341479337294e-08,8.757957203897604e-08
1825,8.277116592125822e-08,1.3384273245264922e-07
1826,4.315912249808207e-08,8.015265962058038e-08
1827,3.871254605769536e-08,1.6591091878126463e-07
1828,7.06267186956211e-08,1.467568182533796e-07
1829,2.4004892296147773e-08,1.1488055662312036e-07
1830,4.905312778191728e-08,2.1186777132697898e-07
1831,4.053713453799901e-08,9.198811312671751e-08
1832,1.1500473817704915e-07,4.058990654698391e-08
1833,4.9809603552830595e-08,8.108539617524002e-08
1834,1.4001796166951408e-08,9.054495109239724e-08
1835,4.689114518896531e-08,5.218530674255817e-08
1836,4.301280043250699e-08,9.476257645246733e-08
1837,2.5048407792382932e-08,8.140732177253085e-08
1838,2.3354999711955315e-08,3.9135404250600914e-08
1839,3.5656523067473245e-08,5.5232654005976656e-08
1840,2.229391071750797e-08,5.414235459966221e-08
1841,4.494383887276854e-08,7.57624718517036e-08
1842,3.4882980060046975e-08,5.366612043644636e-08
1843,4.4892523476391943e-08,5.2571508035725856e-08
1844,3.0735943568060975e-08,5.708103856250091e-08
1845,3.013322924516615e-08,3.906159662392383e-08
1846,4.039605983052752e-08,2.9272506196775794e-08
1847,2.480882876909618e-08,4.2067142658197554e-08
1848,3.378993085334514e-08,4.505324113779352e-08
1849,4.1059134758825167e-08,4.1897074254393374e-08
1850,2.2403686017469226e-08,2.4440385715251978e-08
1851,9.029214709244116e-09,3.805168802273329e-08
1852,2.278690836021724e-08,5.2735419586724674e-08
1853,2.9262466227919504e-08,4.478948767427937e-08
1854,2.3900057044556888e-08,5.247621004400571e-08
1855,1.963566731433275e-08,3.343370380548549e-08
1856,2.8992259260007813e-08,5.4360487666826884e-08
1857,5.4672902649599564e-08,3.514686497396724e-08
1858,1.8106600663259087e-08,1.9574704523961373e-08
1859,3.971895168319861e-08,2.953460587207246e-08
1860,2.746310379109218e-08,3.61597543019343e-08
1861,1.744906619194353e-08,6.177912581506462e-08
1862,1.9879140111811466e-08,3.072230825296174e-08
1863,3.346395871517416e-08,1.9479021062807078e-08
1864,2.3973639073915365e-08,3.16452037907311e-08
1865,4.047886292823932e-08,5.2245972881337366e-08
1866,2.4814625021463144e-08,2.1895258939252926e-08
1867,1.747012134956094e-08,2.1837651686951176e-08
1868,3.359114231216154e-08,2.5193358510477992e-08
1869,1.8069020057964735e-08,2.9789466893248573e-08
