year,mes_DET êtres_NOUN,mes_DET maîtres_NOUN
1800,0.0,3.615789108124545e-07
1801,2.3811825844433088e-09,2.809795427438644e-07
1802,0.0,2.3273537408385891e-07
1803,0.0,2.476930767159047e-07
1804,0.0,3.880805881095739e-07
1805,0.0,3.7241697348200375e-07
1806,0.0,3.1122027355223736e-07
1807,0.0,1.9074598833768164e-07
1808,0.0,2.991217717962513e-07
1809,0.0,2.2590305892578044e-07
1810,0.0,4.025017892317351e-07
1811,5.0141535368197765e-09,2.5321475050077424e-07
1812,0.0,3.3073382610382396e-07
1813,0.0,1.8979894389481444e-07
1814,0.0,2.643208851793588e-07
1815,2.697223555614414e-09,1.6722785955991526e-07
1816,0.0,3.870398419536514e-07
1817,1.401186100480345e-08,3.1137468425868065e-07
1818,1.1921177378582115e-09,2.944530663739897e-07
1819,7.24573512300708e-09,3.4572508167407534e-07
1820,0.0,4.307532597280783e-07
1821,0.0,5.630909613030255e-07
1822,3.0076847679083585e-09,4.7521419332952064e-07
1823,0.0,4.4768571205722196e-07
1824,5.052667617633233e-09,3.612657319962409e-07
1825,7.044354433105582e-09,3.7599241942132267e-07
1826,7.0463874735082754e-09,3.100410523870778e-07
1827,0.0,3.3274355248913423e-07
1828,9.172301251858528e-10,4.4760831452439476e-07
1829,0.0,4.235149027032037e-07
1830,1.0436835840010872e-09,3.778134640697317e-07
1831,3.1182412207897414e-09,6.174117759272235e-07
1832,0.0,4.843728902415023e-07
1833,6.950177322551099e-09,3.2665832572220665e-07
1834,1.8669061851994684e-09,3.743147023449467e-07
1835,7.563087933704082e-10,4.1143196938264737e-07
1836,4.032449929525228e-09,4.355046051562894e-07
1837,0.0,4.793986976281417e-07
1838,1.2624323808552163e-09,4.784618603537183e-07
1839,4.894032734625853e-09,3.9851408217828066e-07
1840,0.0,2.98101441309484e-07
1841,0.0,4.2311414105711265e-07
1842,0.0,4.588453439424711e-07
1843,0.0,3.9517235617125834e-07
1844,0.0,3.644404671376833e-07
1845,0.0,3.7499132155005555e-07
1846,1.7563503984519002e-09,4.2386589171883315e-07
1847,0.0,2.9662729605917093e-07
1848,1.6090443422100975e-09,2.9767319897899824e-07
1849,8.379414939696517e-10,3.963463344192064e-07
1850,0.0,3.0686262153523103e-07
1851,0.0,3.495595790603545e-07
1852,3.2552727180501506e-09,3.4961627903840053e-07
1853,5.971931837933653e-10,3.320393979766578e-07
1854,0.0,2.722528192333762e-07
1855,2.653468555990912e-09,3.7785391526767853e-07
1856,6.212626857404757e-09,3.3185783843148187e-07
1857,1.4644527812635033e-09,4.832694050493913e-07
1858,4.893676019968041e-10,4.228135992434545e-07
1859,1.018434669930457e-09,4.796827390851632e-07
1860,9.154367819341758e-10,5.112714434041266e-07
1861,0.0,3.730327279294343e-07
1862,0.0,3.9216122083018945e-07
1863,0.0,5.139464747117017e-07
1864,4.794727948009836e-10,4.017981903858825e-07
1865,1.4120533631256649e-09,4.104368422908067e-07
1866,4.865612912574591e-10,5.040775072906456e-07
1867,0.0,4.5519371560942545e-07
1868,1.4819622196071691e-09,3.2850162123843063e-07
1869,0.0,4.7174794826077004e-07
1870,0.0,3.738599940739107e-07
1871,0.0,2.5915671164611354e-07
1872,1.2094678591978436e-09,3.93077065563574e-07
