year,leurs_DET auteurs_NOUN
1800,2.763720615917009e-06
1801,2.9479039760360592e-06
1802,3.1262627544492716e-06
1803,2.7811837099989134e-06
1804,3.1713848329673056e-06
1805,3.2380377632534874e-06
1806,2.959474294073061e-06
1807,3.6583373059784208e-06
1808,3.6393147766489164e-06
1809,3.185233097724449e-06
1810,4.205207744689687e-06
1811,2.6048528631861245e-06
1812,3.8301109519522925e-06
1813,3.864996571678603e-06
1814,3.0868903451164442e-06
1815,3.3229794311750993e-06
1816,2.5910811984886095e-06
1817,3.4064390774801723e-06
1818,3.5560871936013427e-06
1819,3.3009497499847384e-06
1820,3.6002904550969106e-06
1821,3.4357425597875135e-06
1822,3.1640843616287384e-06
1823,3.0824100889503825e-06
1824,3.2151809037372914e-06
1825,3.535385431518989e-06
1826,2.972694638003759e-06
1827,3.3458701587107953e-06
1828,3.4010892875357968e-06
1829,3.3623995392417783e-06
1830,3.509907934073908e-06
1831,3.236734386291573e-06
1832,3.3946693349662382e-06
1833,2.86231469459608e-06
1834,3.2726864986898363e-06
1835,2.569937180396664e-06
1836,2.854974542998434e-06
1837,2.6495647951207957e-06
1838,2.3197195844204543e-06
1839,2.909152772900825e-06
1840,2.83642229348402e-06
1841,3.082505372731248e-06
1842,2.7926507080167084e-06
1843,3.0119339413658963e-06
1844,2.5609626028710863e-06
1845,2.7845336845189195e-06
1846,2.578322398250066e-06
1847,2.569331638113681e-06
1848,2.677449810306598e-06
1849,2.6428675035106153e-06
1850,2.5445157803005714e-06
1851,2.792606998980318e-06
1852,3.000059336955019e-06
1853,2.8468199388953508e-06
1854,2.6581020300397995e-06
1855,2.668858755328074e-06
1856,2.78118607255351e-06
1857,2.5603515574346147e-06
1858,2.5496051279105814e-06
1859,3.0293339428055788e-06
1860,2.7096929464676123e-06
1861,3.041325051356125e-06
1862,2.5924205608873763e-06
1863,2.8319500060547398e-06
1864,2.931017267115976e-06
1865,2.559582032546359e-06
1866,2.8595206060799683e-06
1867,2.62828276476057e-06
1868,2.7811491563056734e-06
1869,2.752351452528501e-06
1870,2.803949875840317e-06
1871,2.912326770854179e-06
1872,2.8210838429743035e-06
1873,2.6673637023577612e-06
1874,2.585810793931387e-06
1875,2.7251633909486372e-06
1876,2.863392687402211e-06
1877,2.5895823547728014e-06
1878,2.9676081467755466e-06
1879,2.9269776966600602e-06
1880,3.0619544091337048e-06
1881,2.8712787241147453e-06
1882,2.837190585580629e-06
1883,2.757759602900478e-06
1884,2.717918633265981e-06
1885,2.731015733559161e-06
1886,2.8427507281492126e-06
1887,2.919735017314906e-06
1888,3.0187665629455296e-06
1889,2.862541030879129e-06
1890,3.1710121533023994e-06
1891,2.8722234794997803e-06
1892,2.9675138080165198e-06
1893,3.1278598342510122e-06
1894,3.027259580790087e-06
1895,2.9605565288193247e-06
1896,3.1425267081885977e-06
1897,3.006584194054085e-06
1898,3.223564895904474e-06
1899,2.9572545159339825e-06
1900,3.0860810937838323e-06
1901,3.28338418853491e-06
1902,2.6726674917654236e-06
1903,3.186129916343816e-06
1904,3.08127267345526e-06
1905,3.130000472140182e-06
1906,3.0150066550049814e-06
1907,3.346448231411614e-06
1908,3.32795734436786e-06
1909,3.2092737427547036e-06
1910,3.176563161844115e-06
1911,3.1161431905957215e-06
1912,3.073037497358655e-06
1913,3.1149761454685176e-06
1914,2.9365220228783073e-06
1915,2.9569712296506623e-06
1916,2.9951820721407785e-06
1917,3.149557073811593e-06
1918,2.917539589475382e-06
1919,3.1905194006753845e-06
1920,3.053881115988588e-06
1921,3.0381863567185974e-06
1922,3.16660987209616e-06
1923,2.9406176054180833e-06
1924,2.993435259668331e-06
1925,2.8221325152344434e-06
1926,2.6984801451135354e-06
1927,2.772812237594735e-06
1928,3.1261649553471216e-06
1929,2.9232426612679774e-06
1930,3.1416277366247414e-06
1931,2.7772043864615625e-06
1932,3.058806754552279e-06
1933,2.9433719319627016e-06
1934,2.818067599719143e-06
1935,2.8951279062994217e-06
1936,2.8468830421957136e-06
1937,2.841815316401153e-06
1938,3.1414714811717204e-06
1939,2.970104702626486e-06
1940,3.1418351440493097e-06
1941,2.9190360635311663e-06
1942,2.7065169092566066e-06
1943,2.9235577798658596e-06
1944,3.0878719528004694e-06
1945,3.0041571648098397e-06
1946,2.7702998437462156e-06
1947,3.2555897746533446e-06
1948,3.135452445235387e-06
1949,2.9392123650495705e-06
1950,3.1055254510192754e-06
1951,3.1856269444574536e-06
1952,3.1349701146154985e-06
1953,3.377594950393359e-06
1954,2.98355526240357e-06
1955,3.1742124662059723e-06
1956,3.0942611033424328e-06
1957,3.0569230773380696e-06
1958,3.0367405514653e-06
1959,3.213460018969272e-06
1960,3.097072948321511e-06
1961,3.5491198246973e-06
1962,3.3491870681245928e-06
1963,3.319025211112603e-06
1964,3.0115644307215916e-06
1965,3.201145332809574e-06
1966,3.0276582521082673e-06
1967,3.0020812715747525e-06
1968,2.9984691352069603e-06
1969,2.8862871914725474e-06
1970,3.1524258758963697e-06
1971,3.2089293213743986e-06
1972,3.2386618187274507e-06
1973,3.037224040269848e-06
1974,3.0057429256657997e-06
