year,pouvons_VERB être_VERB,pouvons_VERB etre_VERB,pouvons_VERB mettre_VERB
1800,9.715467967907898e-07,0.0,7.231578535993322e-08
1801,5.595779271061474e-07,2.3811825844433088e-09,5.476719877606229e-08
1802,4.900870180790662e-07,0.0,1.1189200677108602e-08
1803,5.168399184185546e-07,0.0,8.581492494386112e-08
1804,5.413353392214049e-07,2.4718509461507665e-09,6.921182915675672e-08
1805,6.652333581769199e-07,8.528632911009026e-09,1.250866148438945e-07
1806,3.630903222529014e-07,2.881669125542885e-09,6.627838899930794e-08
1807,4.839823759539286e-07,0.0,5.693910054560547e-08
1808,4.328201441694546e-07,0.0,8.384473915157287e-08
1809,2.8689686359939515e-07,0.0,6.325285539787728e-08
1810,4.844062573283736e-07,0.0,4.212228077449254e-08
1811,3.08370431412186e-07,0.0,7.52123057168319e-08
1812,4.800974693353055e-07,2.6672082320544632e-09,5.601137331723294e-08
1813,3.824736438673426e-07,0.0,2.5881675469463516e-08
1814,2.517341783914162e-07,0.0,3.776012391654149e-08
1815,4.693168875746778e-07,0.0,5.664169577812572e-08
1816,6.535643137794978e-07,0.0,7.416332437060191e-08
1817,5.355644248083991e-07,0.0,6.07180652423267e-08
1818,5.85329814839497e-07,0.0,5.2453181353939726e-08
1819,5.558513862524705e-07,1.035105001712111e-09,1.1386155307491208e-07
1820,5.363649506762158e-07,0.0,1.0798498095709874e-07
1821,6.400105689863267e-07,0.0,9.072569184809254e-08
1822,5.213320264374488e-07,0.0,1.0526896687679255e-07
1823,5.237824325377005e-07,1.3835761869529506e-08,8.795591099897138e-08
1824,5.136878939993039e-07,0.0,1.027375731155189e-07
1825,5.547429395846848e-07,0.0,5.2832657360113444e-08
1826,5.19671061738336e-07,0.0,6.517908701653141e-08
1827,4.6455056690319907e-07,9.217273055917019e-10,6.267745789045875e-08
1828,5.576758894676459e-07,1.8344602503717056e-09,6.237164740241496e-08
1829,5.12675910613325e-07,0.0,4.886710414098161e-08
1830,5.7506963457854e-07,2.0873671680021744e-09,8.453837097022188e-08
1831,6.033797035343014e-07,0.0,4.677361786775691e-08
1832,5.425517883850262e-07,0.0,7.712082350508354e-08
1833,4.96937673233333e-07,0.0,9.730248251571538e-08
1834,6.095448839005257e-07,1.8669061851994684e-09,7.374279675786966e-08
1835,4.621046798547468e-07,0.0,8.31939672707449e-08
1836,5.833610998706718e-07,6.720750067579218e-10,9.073012563476368e-08
1837,5.176671038498171e-07,0.0,7.72325918774186e-08
1838,4.298582325645839e-07,6.312161904276081e-10,1.0162580821315714e-07
1839,5.642120299853559e-07,0.0,1.1745678563102047e-07
1840,5.872852852917276e-07,0.0,1.0828470919932442e-07
1841,6.15088538324926e-07,0.0,9.502412012807326e-08
1842,7.218093287519878e-07,1.341653010911159e-09,6.641182181965632e-08
1843,6.928806897121831e-07,0.0,1.0396163219184018e-07
1844,6.619204668822931e-07,1.097712254427563e-09,1.0153838303494922e-07
1845,6.796717570978217e-07,5.580227946389016e-10,1.0379223880363497e-07
1846,6.030136319168378e-07,5.854501328173001e-10,5.913046408068112e-08
1847,5.765356263509602e-07,2.1572894581822766e-09,1.0732514965638984e-07
1848,5.551203230425017e-07,8.045221711050488e-10,1.0458788324285706e-07
1849,4.6002986664461787e-07,0.0,6.535943697372204e-08
1850,4.915233375868411e-07,0.0,7.671565782629841e-08
1851,5.856090297129413e-07,6.449438760824933e-10,8.513259075471069e-08
1852,5.852980393683538e-07,1.3021090872200602e-09,6.119912399071836e-08
1853,5.786802148577408e-07,5.971931837933653e-10,6.270528274399112e-08
1854,6.203623570399941e-07,5.195664454227256e-10,7.325886741682552e-08
1855,5.482066285367182e-07,5.306937111981824e-10,7.005156987816008e-08
1856,5.870932682228158e-07,5.177189232874468e-10,1.0872097533365377e-07
1857,5.638142965835868e-07,9.763018171682347e-10,9.030792114117503e-08
1858,5.896879429201363e-07,1.468102750479261e-09,9.39585760306727e-08
1859,5.626851589113357e-07,5.092173349652285e-10,6.823512421760825e-08
1860,5.964070624031592e-07,4.577183909670879e-10,9.840945125461076e-08
1861,7.319175665543298e-07,9.431927461278633e-10,1.0752397372471023e-07
1862,5.742360258409462e-07,4.517986262886353e-10,1.0572087916216333e-07
1863,5.833717295899987e-07,0.0,9.240048370884324e-08
1864,6.343424843180401e-07,9.589455896019672e-10,9.54150891629979e-08
1865,6.429549443964788e-07,4.706844358715045e-10,1.0025578234262866e-07
1866,8.402913636018638e-07,9.731225825149181e-10,7.97960524323571e-08
1867,6.177629074954893e-07,1.455843445796745e-09,1.198644383748615e-07
1868,6.377377417265961e-07,1.4819622196071691e-09,1.1806299227146155e-07
1869,6.416944415832404e-07,2.9301114867763545e-09,1.2404139226873667e-07
1870,8.257030117420072e-07,2.8670243956696595e-09,1.2958950890151755e-07
1871,7.148052532102156e-07,4.248470908407853e-09,7.541035529357032e-08
1872,6.875824851704238e-07,1.8142017887967654e-09,6.47065334646868e-08
1873,6.387066946444975e-07,2.9930022904522957e-09,1.2271308946765203e-07
1874,6.60194302781747e-07,3.5847653734322193e-09,1.0336074041106258e-07
1875,6.757123287570721e-07,2.2886108563824337e-09,1.0699255881263525e-07
1876,5.157250484444376e-07,6.04601479992084e-10,8.34350046829968e-08
1877,6.215740313564311e-07,1.2369631985365004e-09,1.088527596948552e-07
