year,seuls_ADJ effets_NOUN,seuls_ADJ méfaits_NOUN
1800,9.432493186523061e-08,0.0
1801,1.142967676059925e-07,0.0
1802,1.0517848636482086e-07,0.0
1803,8.971560561121805e-08,0.0
1804,7.415552971679062e-08,0.0
1805,7.960057502032214e-08,0.0
1806,8.933174200365102e-08,0.0
1807,6.547996633798903e-08,0.0
1808,1.0650547466184435e-07,0.0
1809,1.3554183553310395e-08,0.0
1810,5.3822915901946544e-08,0.0
1811,6.769107585569145e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,5.664169577812572e-08,0.0
1816,8.343373991692715e-08,0.0
1817,1.1520863552050287e-07,0.0
1818,8.344824209416402e-08,0.0
1819,5.4860564091541164e-08,0.0
1820,1.1629151686065597e-07,0.0
1821,6.409967312492881e-08,0.0
1822,7.017931125119503e-08,0.0
1823,6.423746157224741e-08,0.0
1824,6.905312233129735e-08,0.0
1825,8.805442774928451e-08,0.0
1826,3.963592831723872e-08,0.0
1827,1.2627664602860023e-07,0.0
1828,7.154395120778645e-08,0.0
1829,5.829759786024624e-08,0.0
1830,8.76694201679129e-08,0.0
1831,1.0134284167406804e-07,0.0
1832,5.547287429408243e-08,0.0
1833,6.370995464521911e-08,0.0
1834,6.907552574375586e-08,0.0
1835,4.689114518896531e-08,0.0
1836,4.301280043250699e-08,0.0
1837,4.6617870452791976e-08,0.0
1838,4.797243136067664e-08,0.0
1839,6.50207212515852e-08,6.9914751765765e-10
1840,4.968357103507515e-08,0.0
1841,5.521671653241356e-08,4.494383976094696e-09
1842,5.366612043644636e-08,0.0
1843,4.134837894298471e-08,0.0
1844,3.896878553177885e-08,0.0
1845,4.687391452762313e-08,0.0
1846,5.093416177714971e-08,0.0
1847,5.015698079091635e-08,0.0
1848,6.757986170669028e-08,0.0
1849,5.865590324560799e-08,0.0
1850,6.992665646521345e-08,0.0
1851,1.0448091103398838e-07,0.0
1852,3.190167419120371e-08,0.0
1853,2.8665272822081533e-08,0.0
1854,5.247621004400571e-08,0.0
1855,4.139410947345823e-08,2.1227748447927297e-09
1856,4.0899795550330964e-08,0.0
1857,3.856392183365642e-08,0.0
1858,5.970284888690003e-08,0.0
1859,4.83756465996521e-08,4.073738679721828e-09
1860,2.9293977021893625e-08,0.0
1861,4.7631232291678316e-08,0.0
1862,5.1505043785482485e-08,9.035972525772706e-10
1863,4.5950510951797696e-08,1.4983863039219614e-09
1864,5.418042547944424e-08,3.835782358407869e-09
1865,6.213034708935083e-08,3.294791106611683e-09
1866,5.2548617901493344e-08,0.0
1867,4.85281148598915e-08,0.0
1868,5.3844626535237694e-08,0.0
1869,5.323035878745941e-08,9.767038289254515e-10
1870,3.956493799250893e-08,1.1468097582678638e-09
1871,5.523012092112367e-08,0.0
1872,5.200711683528425e-08,4.8378714367913744e-09
1873,5.806424496768159e-08,5.986004469882289e-10
1874,3.883495836021211e-08,0.0
1875,3.318485752856759e-08,0.0
1876,1.5719638923883394e-08,0.0
1877,2.72131899237138e-08,0.0
1878,2.294853729267743e-08,6.039088673581716e-10
1879,2.6270098985037293e-08,0.0
