year,derniers_ADJ auteurs_NOUN,derniers_ADJ moteurs_NOUN
1800,5.973912209356058e-08,1.2576657937302116e-08
1801,5.9529565277216534e-08,0.0
1802,7.608656460433849e-08,0.0
1803,1.0921899473714802e-07,0.0
1804,4.69651695311768e-08,0.0
1805,7.391481915419718e-08,1.421438877713399e-08
1806,1.0950342499427279e-07,2.881669125542885e-09
1807,1.4519470425966574e-07,0.0
1808,7.704651494577774e-08,0.0
1809,5.1957702140725814e-08,2.259030518203531e-09
1810,1.4040760731859336e-07,1.1700633351097167e-08
1811,6.769107585569145e-08,1.2535384286138651e-08
1812,1.1468995353425271e-07,5.601137331723294e-08
1813,1.552900528167811e-07,0.0
1814,1.950939889638903e-07,0.0
1815,1.0788894400093341e-07,0.0
1816,9.502176112619054e-08,0.0
1817,9.652615062805125e-08,0.0
1818,7.391130196765516e-08,1.1921177378582115e-09
1819,1.0972112818308233e-07,0.0
1820,8.662531314485022e-08,0.0
1821,9.664258726616026e-08,0.0
1822,1.3334069137727056e-07,0.0
1823,5.138997138942614e-08,0.0
1824,9.094802067011187e-08,0.0
1825,5.2832657360113444e-08,0.0
1826,1.0041102171953753e-07,0.0
1827,1.0139000039544044e-07,0.0
1828,9.814362300630819e-08,0.0
1829,8.658907546532646e-08,1.8860987438529264e-08
1830,7.305784777145163e-08,1.0436835840010872e-09
1831,1.091384405071949e-07,0.0
1832,8.659180394943178e-08,0.0
1833,1.042526562855528e-07,0.0
1834,8.401077877806529e-08,0.0
1835,8.092504089063368e-08,0.0
1836,1.1425274948351216e-07,0.0
1837,7.72325918774186e-08,0.0
1838,1.401299982717319e-07,6.312161904276081e-10
1839,1.1186359927251033e-07,3.4957374772659477e-09
1840,1.0000411521104979e-07,0.0
1841,1.0722315835209884e-07,1.2841097074556274e-09
1842,1.7911067118348e-07,0.0
1843,1.394030988421946e-07,0.0
1844,1.2953005068538914e-07,0.0
1845,1.3280941857374273e-07,0.0
1846,1.574860846176307e-07,6.439951683034906e-09
1847,1.4345974364005087e-07,0.0
1848,1.432049430150073e-07,8.045221711050488e-10
1849,1.6842624006585538e-07,0.0
1850,1.8941298662866757e-07,1.3577992064028876e-09
1851,1.4253259905672166e-07,0.0
1852,1.3476828542025032e-07,6.510545436100301e-10
1853,1.7975514765566913e-07,5.971931837933653e-10
1854,1.5586992674343492e-07,3.117398783558656e-09
1855,1.0560805208115198e-07,2.1227748447927297e-09
1856,1.382309591235753e-07,1.0354378465748937e-09
1857,1.342415032468125e-07,1.9526036343364694e-09
1858,1.189163256754e-07,9.787352039936081e-10
1859,1.334149430931575e-07,0.0
1860,1.6981351791400812e-07,9.154367819341758e-10
1861,1.0610918366182887e-07,1.4147891747029462e-09
1862,1.0572087916216333e-07,9.035972525772706e-10
1863,9.589672345100553e-08,9.989241656072068e-10
1864,1.1842978153708827e-07,0.0
1865,1.2426069417870167e-07,9.41368871743009e-10
1866,1.6786364653853525e-07,0.0
1867,1.0967353603064112e-07,3.88224918879132e-09
1868,1.1015919199053315e-07,0.0
1869,2.314788076773766e-07,4.883519144627257e-10
