year,nouveaux_ADJ effets_NOUN,nouveaux_ADJ méfaits_NOUN
1800,1.1633408547595536e-07,0.0
1801,5.476719877606229e-08,0.0
1802,1.0294064622939914e-07,0.0
1803,8.386458816289633e-08,3.900678446910888e-09
1804,1.3842365831351344e-07,4.943701892301533e-09
1805,4.8328919532991677e-08,0.0
1806,7.780506905419315e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,1.155697759713803e-07,2.2660739951163578e-09
1809,1.5135504405350275e-07,2.259030518203531e-09
1810,1.3572734758326988e-07,0.0
1811,1.3036799373367103e-07,0.0
1812,2.1337666566978442e-07,0.0
1813,1.0927818294703684e-07,0.0
1814,4.405347908686963e-08,3.1466771410748606e-09
1815,4.315557688983063e-08,0.0
1816,9.038655335302792e-08,0.0
1817,7.161617787687646e-08,1.556873407970727e-09
1818,1.2517235825626472e-07,0.0
1819,8.798392414632872e-08,0.0
1820,1.3646452945437204e-07,3.5599443393152796e-09
1821,7.889190967169668e-08,9.86148829262845e-10
1822,7.118187284049782e-08,2.0051231786055723e-09
1823,8.894418535021487e-08,0.0
1824,7.157945436375712e-08,0.0
1825,9.862096406187959e-08,0.0
1826,7.751025954405577e-08,8.807984341885344e-10
1827,1.106072797796287e-07,9.217273055917019e-10
1828,7.24611789459928e-08,2.5682442839070063e-08
1829,4.9724420136953995e-08,9.430493719264632e-09
1830,1.680330505848815e-07,7.305785310052215e-09
1831,9.19881175676096e-08,9.354723218280014e-09
1832,7.441483074188682e-08,9.470978667991403e-09
1833,7.761031151076736e-08,2.3167257001688313e-09
1834,1.1388127774125678e-07,1.213489042584115e-08
1835,7.714349692378164e-08,2.4958190181223472e-08
1836,7.863277318165274e-08,1.2769425516978572e-08
1837,7.375364052819577e-08,1.6003149028165353e-08
1838,6.880256364638626e-08,1.5149188570262595e-08
1839,7.970281723501671e-08,1.4682098203877558e-08
1840,7.898413939555482e-08,1.0828470564661075e-08
1841,4.237562123421412e-08,2.247191943638427e-08
1842,5.634942690235789e-08,1.1404051036834062e-08
1843,6.26132590220152e-08,3.0125246297529884e-08
1844,6.366731164497708e-08,4.116420981858937e-08
1845,6.807877905856685e-08,1.9530798311961917e-08
1846,7.318126993283158e-08,2.2247105491146613e-08
1847,9.330276906638346e-08,4.476375803363908e-08
1848,5.470750608083108e-08,5.229394162142853e-08
1849,1.3407063681469822e-08,4.4410899846525353e-08
1850,4.8880770542325536e-08,3.1229383523623255e-08
1851,7.803820922802629e-08,3.031236062156495e-08
1852,6.185018297522049e-08,1.9531636752390114e-08
1853,5.0164226550464264e-08,2.9859659633757474e-08
1854,8.83262982753763e-08,1.506742641765868e-08
1855,5.466145225341279e-08,3.449509122788186e-08
1856,5.901995692170203e-08,1.2425253714809514e-08
1857,7.419893544025058e-08,2.6360148952520035e-08
1858,5.725600948913723e-08,3.131952652779546e-08
1859,6.314294909159912e-08,2.64793023063703e-08
1860,8.101615867062151e-08,2.197048232233101e-08
1861,4.95176202264247e-08,1.650587222457034e-08
1862,8.177555366195577e-08,3.207770404856092e-08
1863,7.392038625653186e-08,3.3963420520422005e-08
1864,1.07401909588134e-07,2.828889478223573e-08
1865,4.7539127412399296e-08,1.553258677233771e-08
1866,4.865613023596893e-08,1.1677471434268227e-08
1867,9.36592616795906e-08,1.94112459439566e-08
1868,6.076045044878242e-08,6.619431047738544e-08
1869,4.639343220702585e-08,2.3929244363785074e-08
1870,7.396923118463405e-08,2.8096839521651873e-08
1871,4.3546825478912865e-08,2.0180236148803488e-08
1872,4.6564512024005467e-08,2.6003558417642125e-08
1873,4.130343034258743e-08,4.788803664723673e-08
1874,5.317402251847625e-08,2.3300975371398636e-08
1875,6.350894921069994e-08,2.9751940910927033e-08
1876,7.073837338111844e-08,5.441413142293072e-08
1877,7.483627051385611e-08,2.9687117097942917e-08
1878,1.419185797768563e-07,4.046189516770937e-08
1879,7.881029673306728e-08,4.9485533670790005e-08
1880,7.059630746653056e-08,2.5671385017744797e-08
1881,6.693606963148468e-08,3.9046042843438045e-08
1882,4.39255403161809e-08,4.6587697255517924e-08
1883,2.5909288936531993e-08,6.508918914960304e-08
1884,8.120087358065575e-08,5.809493330843907e-08
1885,4.447488777259423e-08,2.4493415518023198e-08
1886,4.646494033977433e-08,2.19417763958063e-08
1887,4.635536321462297e-08,2.4809913734546996e-08
1888,4.945679576984219e-08,3.7409627395845746e-08
1889,5.07476087818759e-08,2.8193115397812107e-08
1890,4.3258950199742685e-08,3.867087983167039e-08
1891,4.8444073086351125e-08,2.6134302499869477e-08
1892,3.447681962143179e-08,3.8864776286118285e-08
1893,2.771287377356657e-08,4.1261390970603884e-08
1894,5.4823392048319874e-08,2.898708117982096e-08
1895,4.0926579236710836e-08,3.791727110069587e-08
1896,3.8920391243202346e-08,2.8305738197786923e-08
1897,4.952706333938295e-08,4.311768009301886e-08
1898,7.129526835569777e-08,2.8291774478717002e-08
1899,5.1959238689391896e-08,2.04520400615138e-08
1900,3.478005494716996e-08,2.8550791952852705e-08
1901,2.9061443085343086e-08,4.694540578498163e-08
1902,5.499518068718956e-08,3.437198614619774e-08
1903,3.9961630893259326e-08,2.9161189019077938e-08
1904,2.364835172130597e-08,1.5586412160928376e-08
1905,2.8900250192975818e-08,2.115911179600971e-08
1906,3.035068729673185e-08,1.800464577428329e-08
1907,4.6285588695127444e-08,3.188563013623025e-08
1908,2.946833466133114e-08,2.161011281032188e-08
