year,ces_DET ondes_NOUN,ces_DET mondes_NOUN
1800,1.697848883708275e-07,3.1756062668364393e-07
1801,2.3097471668620528e-07,2.8097955362405003e-07
1802,1.9021641151084623e-07,2.1483265300048515e-07
1803,1.7162985521679275e-07,3.0620324764640827e-07
1804,1.2606439336870778e-07,3.040376768126407e-07
1805,1.6488691212401818e-07,2.72916251375932e-07
1806,2.8240357874409483e-07,2.132435108492814e-07
1807,1.7935817631098416e-07,2.362972750802328e-07
1808,1.8581807381679027e-07,2.87791404929294e-07
1809,1.6942729530455836e-07,2.2138499589097194e-07
1810,1.5210823800515527e-07,2.691145839506248e-07
1811,1.4290336913802548e-07,2.6825721022305515e-07
1812,1.440292436427626e-07,4.480909905346664e-07
1813,2.01301915581098e-07,8.052076694298194e-08
1814,2.5173416240420465e-07,1.1642705466385905e-07
1815,9.170560089089008e-08,2.238695520073719e-07
1816,2.618892338546175e-07,2.2712517733225468e-07
1817,3.191590387530141e-07,2.740097189146695e-07
1818,1.4663048020224778e-07,3.3379297748048486e-07
1819,1.956348409937192e-07,2.608464662046117e-07
1820,1.3053128888884657e-07,2.6106259198854787e-07
1821,2.0314665860610148e-07,3.145814861937879e-07
1822,1.5840473110984021e-07,2.0452256421776838e-07
1823,2.1741910671835285e-07,1.9271239048990196e-07
1824,1.3557991973556227e-07,1.9452770150252263e-07
1825,1.7434777532798762e-07,1.866753871482274e-07
1826,1.7351728587300386e-07,1.7439808264185785e-07
1827,1.5853709811608496e-07,1.262766406995297e-07
1828,1.2932945026022935e-07,1.5592911495332373e-07
1829,1.2516836633835737e-07,1.4745862264575749e-07
1830,2.8701298049327306e-07,3.0579928989027394e-07
1831,3.7262982388597266e-07,2.853190661511462e-07
1832,1.3259369779916597e-07,2.6924639584535726e-07
1833,2.2356402595846703e-07,4.2975261971278655e-07
1834,1.4468522424593289e-07,3.3884347416801575e-07
1835,1.4445497242832062e-07,2.2916157149666105e-07
1836,2.1708022757138679e-07,3.8644311572966217e-07
1837,2.456135543837945e-07,2.3795986869856733e-07
1838,2.4806796616871907e-07,2.461743147108564e-07
1839,2.293203893444229e-07,1.9855789767930787e-07
1840,2.305827315751685e-07,2.4841786139262467e-07
1841,1.8041740901253434e-07,3.325844102342046e-07
1842,1.891730683212245e-07,2.5759739141761884e-07
1843,1.523983019779962e-07,3.644564259830396e-07
