year,les_DET airs_NOUN,les_DET mers_NOUN
1800,1.3324968762162825e-05,1.590632814441051e-05
1801,9.998585923653991e-06,1.282981207850753e-05
1802,9.871112979453756e-06,1.5080804757872102e-05
1803,1.2858586558195384e-05,2.2307980557911833e-05
1804,1.5327947807008968e-05,1.6996447008921223e-05
1805,1.2190259582212093e-05,1.2792949263484843e-05
1806,1.3604359764940455e-05,1.2327780375187558e-05
1807,9.542993836930691e-06,1.0787112998400517e-05
1808,1.1763189775138017e-05,1.1867429975609411e-05
1809,9.46985633731856e-06,1.0156601348398908e-05
1810,1.557588387868236e-05,1.2543079328963813e-05
1811,1.0391833313860843e-05,9.8452905490376e-06
1812,1.0028703343323286e-05,9.660628641938729e-06
1813,1.183942828220097e-05,9.883923647535653e-06
1814,1.101022309057953e-05,9.370804477271122e-06
1815,8.515134723552364e-06,1.2598731608193248e-05
1816,7.467319932175087e-06,1.836701130741858e-05
1817,9.496927731333926e-06,1.636273999228166e-05
1818,1.0029286769963619e-05,1.3923935586745984e-05
1819,9.241417828320664e-06,1.4838230518066098e-05
1820,1.0386730480149708e-05,1.1201957832440712e-05
1821,9.884169799079245e-06,9.587338501759746e-06
1822,9.61155804191094e-06,1.0916893046442055e-05
1823,8.369647432004967e-06,8.94482016455811e-06
1824,9.600068523241134e-06,1.0359652977243172e-05
1825,1.0828053007116978e-05,1.1336127805350316e-05
1826,9.133879913747478e-06,1.0753667979201964e-05
1827,6.846590473230663e-06,1.049294390220723e-05
1828,7.461666939434508e-06,1.0193178628270516e-05
1829,8.055356147451675e-06,1.0027186371885932e-05
1830,9.430724787762301e-06,1.1246734150205384e-05
1831,8.018557679179139e-06,9.396820290774599e-06
1832,9.112434710800699e-06,9.212556014270845e-06
1833,1.0465808713888691e-05,1.147010926150216e-05
1834,8.686714238592685e-06,1.1725104586801649e-05
1835,8.70738324465492e-06,1.0099747775882406e-05
1836,8.332386045140083e-06,1.1432667673894059e-05
1837,7.959827073023007e-06,9.149626507110042e-06
1838,7.293702950050829e-06,8.983469227619167e-06
1839,7.055097526631471e-06,9.260907940955576e-06
1840,6.677344650540817e-06,9.889579043687036e-06
1841,7.537724059147877e-06,9.981384861745823e-06
