year,plusieurs_DET arbres_NOUN,plusieurs_DET marbres_NOUN
1800,6.854278460366459e-07,1.2576658381391326e-08
1801,4.952859775642082e-07,2.8574191901498125e-08
1802,6.176438773763948e-07,3.3567602031325805e-08
1803,1.1526504550829486e-06,1.0336797995336156e-07
1804,6.525686586655866e-07,5.19088700912107e-08
1805,1.250866191071509e-06,2.842877711017877e-09
1806,3.890253275073974e-07,1.0085842205853623e-07
1807,5.921666357266986e-07,7.97147414743904e-08
1808,5.755827743314512e-07,8.157866382418888e-08
1809,6.415646538471265e-07,6.777091243748146e-08
1810,5.218482819202563e-07,9.360507036149102e-09
1811,5.189648915049361e-07,6.267691787797958e-08
1812,8.001624891562642e-07,1.8670457180292033e-08
1813,3.508404944341237e-07,8.627225156487839e-09
1814,4.4682814248631075e-07,9.440030979135372e-09
1815,4.774085651249038e-07,1.888056444521169e-08
1816,8.412901877363765e-07,3.476405829871965e-08
1817,8.874178405449129e-07,4.203558212623193e-08
1818,5.722165141719415e-07,2.980294366849989e-08
1819,3.1984743387170056e-07,3.2088255608186955e-08
1820,4.2126007926412967e-07,7.475883023744245e-08
1821,3.4219364408727415e-07,4.043210211079895e-08
1822,2.5866089004011883e-07,5.012807946513931e-09
1823,3.7653037665563716e-07,1.9765373338032077e-08
1824,4.7326652108381495e-07,4.7158231097910175e-08
1825,4.138558260535774e-07,2.0252519661312363e-08
1826,3.7081613513123557e-07,2.2019960965735663e-08
1827,4.276814795645123e-07,4.332118397343265e-08
1828,4.3843599684123546e-07,1.9261832406858304e-08
1829,3.3521119391366483e-07,2.4004892296147773e-08
1830,3.9659976636130523e-07,2.2961039292113128e-08
1831,4.365537584760659e-07,3.274153215215847e-08
1832,3.9913408400593653e-07,4.058990921151917e-09
1833,5.119963866206945e-07,1.9692167896323554e-08
1834,2.8470318547135776e-07,2.8937046536725575e-08
1835,3.252127882547029e-07,1.285724948729694e-08
1836,3.346933432624155e-07,1.8146025126952736e-08
1837,3.492861218035159e-07,1.5307359824134892e-08
1838,2.4238701890055836e-07,2.651108044204875e-08
1839,3.020317169699638e-07,1.8876982199600434e-08
1840,2.3185667430425383e-07,1.6561189752906103e-08
1841,2.7736770213948603e-07,2.43980835534785e-08
1842,2.596098589435769e-07,2.951636579595629e-08
1843,2.2741607352827486e-07,1.4176586182745865e-08
1844,2.195424553264047e-07,1.646568403845805e-08
1845,2.483201360092835e-07,3.0691253982695343e-08
1846,2.8628512360739933e-07,2.2247105491146613e-08
1847,1.8444824778640623e-07,9.168480197274675e-09
1848,2.115893327214735e-07,5.631655031201888e-09
1849,3.5444925217120726e-07,8.379414495607307e-09
1850,2.5390846225548103e-07,1.425689166723032e-08
1851,2.560427141418131e-07,8.384270167027807e-09
1852,2.1680116280009543e-07,7.161600201754936e-09
1853,2.2394744547682421e-07,9.555090940693844e-09
1854,2.43157090018542e-07,1.0910895298366086e-08
1855,2.281983029206458e-07,1.4328730202350926e-08
1856,1.8120161682233515e-07,4.6076985782406155e-08
1857,2.3333613619058724e-07,1.4644527812635033e-09
1858,1.5268269493162734e-07,5.872411334983951e-09
1859,1.5582050050255702e-07,1.0693564256314403e-08
1860,1.5974371248006491e-07,1.2816115363412095e-08
1861,1.7684863973244092e-07,2.8295781828724387e-09
1862,1.6581010164884447e-07,1.355395928825942e-08
1863,1.2986013953053543e-07,1.3485475847119233e-08
1864,1.6302075600549415e-07,7.671564716815737e-09
1865,1.407346505999385e-07,6.024760779155258e-08
1866,1.3964309353298177e-07,1.4110277057888254e-08
1867,2.0478863937967162e-07,1.8925964795357686e-08
1868,1.9018514896274041e-07,1.3831647383000245e-08
1869,1.9338735590679335e-07,1.8069020057964735e-08
1870,1.829161533350998e-07,4.587239033071455e-09
1871,1.3488895778124288e-07,1.274541228113435e-08
1872,1.5783554907500275e-07,4.23313739617015e-09
1873,1.652137200380821e-07,1.0176207598799891e-08
1874,1.5772967998373133e-07,7.766991938495948e-09
1875,1.338837360975731e-07,2.8607636259891933e-09
1876,2.8355809611468885e-07,3.627608879952504e-09
1877,1.5400191166747845e-07,1.2988113917700161e-08
1878,1.5943193965028968e-07,1.3889903893726796e-08
1879,1.4418007288075074e-07,3.665595160740054e-09
1880,1.4953582283538935e-07,1.8611753915820373e-08
1881,1.4154189642567871e-07,1.3945014920579979e-08
1882,1.211280107327184e-07,1.9966155395678697e-09
1883,1.6999021479335852e-07,1.1374809816278031e-08
1884,1.3599496107019604e-07,9.242375753615306e-09
1885,1.3149096123044046e-07,7.090199094506033e-09
1886,1.0777284487062389e-07,9.680196200179125e-09
1887,1.5277683163006373e-07,1.5016526688782506e-08
