year,nos_DET oies_NOUN,nos_DET mois_NOUN
1800,1.8864987794131594e-08,4.087413785214267e-08
1801,2.1430643926123594e-08,5.4767200996508336e-08
1802,8.951360541686881e-09,5.147032311469957e-08
1803,5.070882025393075e-08,3.900678313684125e-08
1804,1.4831105232815389e-08,1.4831106009971506e-07
1805,3.41145314219915e-08,8.528632911009026e-09
1806,5.76333825108577e-09,1.4696512096179504e-07
1807,8.540865792383556e-09,5.97860605466849e-08
1808,4.5321479902327155e-09,1.223679899631236e-07
1809,4.0662548883574345e-08,4.292158095609011e-08
1810,0.0,6.084329839950442e-08
1811,5.0141535368197765e-09,6.76910736352454e-08
1812,8.00162425207418e-09,6.401299534886107e-08
1813,0.0,5.176335093892703e-08
1814,3.1466771410748606e-09,2.8320092937406116e-08
1815,0.0,2.4275011778485123e-08
1816,9.270415546325239e-09,4.6352077731626196e-08
1817,2.8023721676539992e-08,7.94005448057078e-08
1818,4.172412104708201e-08,9.417730217897713e-08
1819,7.24573512300708e-09,7.03871378959775e-08
1820,1.6613073583471305e-08,7.594547923872597e-08
1821,8.875339574387908e-09,8.973954379598581e-08
1822,1.2030739071633434e-08,3.60922172149003e-08
1823,5.929612023614084e-09,1.581229902569703e-08
1824,1.1789557774477544e-08,5.4737234300716864e-08
1825,3.25801385869795e-08,4.402721454077607e-08
1826,1.7615968683770689e-09,2.113916308665864e-08
1827,7.373818444733615e-09,4.055600300034712e-08
1828,3.485474309172787e-08,6.970948618345574e-08
1829,2.5719527840806222e-08,4.200856107416939e-08
1830,6.262101504006523e-09,4.279102583382155e-08
1831,1.5591206548037917e-08,3.897801548191637e-08
1832,1.352996914505411e-08,6.764984572527055e-09
1833,2.3167257445777523e-08,6.370995686566516e-08
1834,1.8669062296083894e-08,3.173740381612333e-08
1835,1.5882484660778573e-08,4.5378527602224494e-08
1836,2.8899224790990274e-08,6.451920198102812e-08
1837,2.574419688539109e-08,4.6617867677234415e-08
1838,1.325553999897977e-08,2.903594542580379e-08
1839,8.389769878824893e-09,4.824117993962318e-08
