year,tes_DET eaux_NOUN,tes_DET mots_NOUN
1800,9.118076960135113e-08,3.772997425599556e-08
1801,8.09602078710725e-08,3.095537381980762e-08
1802,7.161088433349505e-08,2.9091921760482364e-08
1803,4.290746247193056e-08,2.7304748684287006e-08
1804,1.1864884319479074e-07,1.4831105232815389e-08
1805,5.1171799242411e-08,1.1371510844071508e-08
1806,1.613734639249742e-07,2.0171683878800195e-08
1807,7.686778946691675e-08,2.8469550272802735e-08
1808,7.93125889408941e-08,2.945896149242344e-08
1809,7.228897924704825e-08,3.162642769893864e-08
1810,4.680253340438867e-08,1.8721014072298203e-08
1811,1.2033968488367464e-07,1.504245972228091e-08
1812,8.801787032552966e-08,8.00162425207418e-09
1813,3.738464204872116e-08,2.300593315851529e-08
1814,6.293354060105116e-08,6.293354282149721e-09
1815,4.315557666778602e-08,5.39444717784221e-08
1816,4.4034475621401725e-08,2.3176038865813098e-08
1817,6.538868291272593e-08,2.9580593974287694e-08
1818,8.821671082515081e-08,1.1921176934492905e-08
1819,1.3870406911919986e-07,2.5877625930981196e-08
1820,9.849179338772274e-08,2.8479554714522237e-08
1821,8.678109963966563e-08,5.127973856655643e-08
1822,9.825103575167304e-08,2.4061478143266868e-08
1823,6.226093063332883e-08,1.0870955358122103e-08
1824,6.821101017351339e-08,1.2631669044083083e-08
1825,5.3713204550831506e-08,2.201360693732113e-08
1826,6.253668771716292e-08,1.6735169694470642e-08
1827,3.8712546668318026e-08,4.516463825154915e-08
1828,7.796455747666187e-08,2.935136400594729e-08
1829,4.029392802751275e-08,2.2290258527846163e-08
1830,8.036363396968227e-08,3.026682482420995e-08
1831,9.822459645647541e-08,2.6505050154668197e-08
1832,1.1500473662273691e-07,2.3000947924067816e-08
1833,1.042526562855528e-07,1.1583628278799551e-08
1834,9.241185949804276e-08,1.586870257419548e-08
1835,7.865611451052246e-08,2.2689263801112247e-08
1836,1.1290860368884381e-07,1.478565020418543e-08
1837,5.0096812920230605e-08,2.9223142017364978e-08
1838,6.627769821854201e-08,2.7142295522253335e-08
1839,5.523265422802126e-08,1.0487213097931658e-08
1840,5.6690230731959446e-08,1.97460351958334e-08
1841,9.759233554618163e-08,2.7608359598474408e-08
1842,9.324488292605793e-08,2.5491407651401232e-08
1843,8.44688284873385e-08,2.2446261849218274e-08
1844,7.354671988091255e-08,1.4270259696136378e-08
1845,3.9061594403477784e-08,1.4508593104700651e-08
1846,6.088681048233013e-08,2.1076204115288988e-08
1847,5.8786138623645456e-08,1.1325769655456952e-08
1848,5.3098462293732496e-08,6.436177313329239e-09
1849,7.960444037280467e-08,5.02764896381791e-09
1850,8.554135177973876e-08,1.8330290174617403e-08
1851,6.513933392682247e-08,2.386292297096304e-08
1852,7.877760155317048e-08,1.822952655494703e-08
1853,8.360704462084811e-08,1.911018143729848e-08
1854,4.9358813924982314e-08,2.0782657039752905e-08
1855,8.384960636931282e-08,1.8574279891936385e-08
1856,9.16362518088576e-08,3.054541686253742e-08
1857,9.763017866371015e-08,2.0502338549110988e-08
1858,7.732008361349685e-08,2.1532175153993194e-08
1859,1.0591720789321357e-07,1.323965070909594e-08
1860,1.0664838567819857e-07,1.693558021598207e-08
1861,7.215424258077974e-08,2.263662635115793e-08
1862,7.951656066929047e-08,1.1746764450037972e-08
1863,7.541877578010059e-08,1.798063442581821e-08
1864,8.198985135265957e-08,2.685047695294429e-08
1865,7.578019589615792e-08,1.8827376602192913e-08
1866,7.68766869052584e-08,3.503241252644784e-08
1867,7.4248015735634e-08,1.747012134956094e-08
1868,4.791677987725507e-08,1.4819621974027086e-08
1869,6.299739396808945e-08,1.025539064780645e-08
1870,6.651496553544689e-08,1.77755516972411e-08
1871,6.797553542270407e-08,1.1683295220166201e-08
1872,5.0797650197331734e-08,1.9351485525120893e-08
1873,4.250063090349698e-08,2.0352415308622085e-08
1874,4.480956938834879e-08,1.3741600912720031e-08
1875,5.4926659998066896e-08,4.577221685009292e-08
1876,5.441413430951059e-08,1.4510435297765412e-08
1877,5.2570936381890476e-08,2.0409892775852256e-08
1878,4.1065803202400275e-08,1.69094480639842e-08
1879,4.215434479259983e-08,2.1993571852618743e-08
1880,7.63723717600584e-08,1.5402831232691483e-08
1881,3.067903492359747e-08,1.394501542018034e-08
1882,4.5256619785050134e-08,2.0631693686823382e-08
1883,4.7395041335995813e-08,1.7062215029728378e-08
1884,5.3473745431631414e-08,2.0465259709112615e-08
1885,5.1565084646654213e-08,1.2246707647989297e-08
1886,6.13079063072064e-08,1.936039190075789e-08
1887,5.549585813113822e-08,2.1545450534787847e-08
1888,4.5652425617603853e-08,4.1848057019677753e-08
1889,5.388017676466461e-08,2.318100555953606e-08
1890,4.063719782898545e-08,3.0150179242127706e-08
1891,4.971891587324251e-08,1.9122660233072963e-08
1892,3.322311670217459e-08,1.7551833764173352e-08
1893,3.879802457085191e-08,1.6627724974682678e-08
1894,3.7179081591176555e-08,2.3315696040526745e-08
1895,2.9491210584708938e-08,3.310237994824661e-08
1896,5.48423693125244e-08,3.2433659702402196e-08
1897,3.787363744844896e-08,2.855089720199544e-08
1898,3.3384293107729945e-08,4.0174320758978865e-08
1899,5.30647525920358e-08,3.205995469102163e-08
1900,3.8932899570909285e-08,2.4397949105470218e-08
1901,3.632680295462265e-08,2.7943693803322844e-08
1902,4.075535509073802e-08,2.847964675201098e-08
1903,5.508224765193859e-08,1.8900770726304472e-08
1904,4.407192566446838e-08,3.171028861714831e-08
1905,2.7868098273486908e-08,3.4577086083231734e-08
1906,4.3211151101729683e-08,3.343719789938859e-08
1907,4.577130496841164e-08,2.9314207949937554e-08
1908,5.255186374952814e-08,3.63442778095191e-08
1909,3.135560788791736e-08,4.290767208203761e-08
1910,5.557916726850465e-08,6.412980901870924e-08
1911,6.916486583463666e-08,4.681929111072236e-08
1912,6.720153034045495e-08,3.854971719619016e-08
1913,7.106006372215035e-08,5.515109235965099e-08
1914,6.830678656033484e-08,3.1474695405542263e-08
1915,2.7095752974659604e-08,3.2986132825207903e-08
1916,7.031975557403314e-08,3.2962385709822684e-08
1917,4.934891040253575e-08,4.276905674061027e-08
1918,1.2405286398120552e-07,7.0066895396792e-08
1919,8.655377492505778e-08,1.012863306559808e-07
1920,7.117897693476039e-08,4.694783761749477e-08
1921,9.541661505352295e-08,7.421292202991481e-08
1922,7.377935717922668e-08,5.828569094035174e-08
1923,7.749642350063368e-08,8.917396554508628e-08
1924,1.0828964380760198e-07,9.797634681341094e-08
1925,9.018506119673475e-08,5.279125447898991e-08
1926,6.35329865383838e-08,7.579374194932598e-08
1927,8.807887319495222e-08,7.135504054289754e-08
1928,6.28432237359533e-08,6.512843730988038e-08
1929,6.350031611646045e-08,4.6789706553695964e-08
1930,5.566909955234678e-08,4.93669376488981e-08
1931,5.588624940600084e-08,4.6761964078712026e-08
1932,4.7126007984843454e-08,6.246935957410216e-08
1933,5.04709138926529e-08,3.211785282175583e-08
1934,2.156684431042777e-08,7.42857970692512e-08
