year,autres_ADJ airs_NOUN,autres_ADJ mers_NOUN
1800,6.60274537267469e-08,3.521464293498866e-07
1801,6.429193177837078e-08,2.571677271134831e-07
1802,3.5805442166747525e-08,4.2295178559470514e-07
1803,4.6808139586573816e-08,2.8865019885415677e-07
1804,8.651478111687538e-08,2.125791809248767e-07
1805,3.980028751016107e-08,2.643876371166698e-07
1806,1.2103009794373065e-07,1.4696512096179504e-07
1807,2.8469550272802735e-08,2.562259737715067e-07
1808,3.172503681980743e-08,1.6995555540688656e-07
1809,9.036122294858728e-09,1.4683698168482806e-07
1810,9.594519356781461e-08,1.8955026348521642e-07
1811,4.763445815569867e-08,1.7298829391165782e-07
1812,8.801787032552966e-08,4.88099090034666e-07
1813,3.163315653864629e-08,2.674439656402683e-07
1814,1.5733386149463513e-08,1.2272040805783035e-07
1815,1.8880564667256294e-08,2.0498899289123074e-07
1816,5.7940098940889584e-08,1.2051540920765547e-07
1817,8.56280379935015e-08,1.5101672090622742e-07
1818,6.079800130009971e-08,7.74876554032744e-08
1819,7.866798057420965e-08,1.2214239575314423e-07
1820,4.390598107306687e-08,1.9223699609938194e-07
1821,5.719663320746804e-08,9.171183990019927e-08
1822,6.015369535816717e-08,1.3534581455587613e-07
1823,4.249555374258307e-08,7.807322788266902e-08
1824,5.3053010873327366e-08,1.1621135342920752e-07
1825,6.251864448358901e-08,1.6554233184251643e-07
1826,5.5490302908189904e-08,1.109806007093539e-07
1827,3.041700225026034e-08,1.7973682986394124e-07
1828,2.7516904310687096e-08,1.3116390107370535e-07
1829,2.4862210068476998e-08,1.4060009334571077e-07
1830,5.218418053232199e-08,1.6177095574221312e-07
1831,4.5214498811674275e-08,8.731075240575592e-08
1832,3.788391467196561e-08,1.1500473817704915e-07
1833,7.52935847003755e-08,1.8417969727124728e-07
1834,3.733812548034621e-08,1.717553743674216e-07
1835,3.6302822081779595e-08,1.1420262779893164e-07
1836,1.0753200108126748e-08,9.946710122221702e-08
1837,2.99189295560609e-08,1.196757182242436e-07
1838,4.86036455527028e-08,9.72072911054056e-08
1839,5.2436064379435265e-08,1.3843120427736721e-07
1840,5.159447979963261e-08,1.5223555749344087e-07
1841,2.6966304744746594e-08,1.0401288363937056e-07
1842,3.287049921141261e-08,1.0464893307471357e-07
1843,2.4809025944705354e-08,1.624400596256237e-07
1844,3.622450606144412e-08,1.739873880524101e-07
1845,4.0177642546268544e-08,1.1495269802708208e-07
1846,1.5807152919933287e-08,1.0362467151026067e-07
1847,2.9123407685460734e-08,6.795461615638487e-08
1848,2.654923214606697e-08,1.6090443466509896e-07
1849,2.8490010350878947e-08,7.792856138166826e-08
1850,1.425689166723032e-08,1.222019250235462e-07
1851,3.353708066811123e-08,7.28786559989203e-08
1852,6.640756566866912e-08,1.5429992572535411e-07
1853,3.4040009921909586e-08,1.1048074100017402e-07
1854,2.5458755104068587e-08,9.975676107387699e-08
1855,3.131092896069276e-08,1.5283978882507654e-07
1856,4.711242240773572e-08,1.5376251383258932e-07
1857,2.0502337605421417e-08,1.1178655512367186e-07
1858,1.859596826525589e-08,1.008097285648546e-07
1859,3.258990943777462e-08,7.383651023928905e-08
1860,2.654766717569146e-08,8.37624654081992e-08
1861,3.3483342321005694e-08,8.347255686658173e-08
1862,3.7047489076513784e-08,6.68661996883202e-08
1863,2.8469337998160427e-08,7.891500786172401e-08
1864,1.1986819536957682e-08,1.12676104890852e-07
1865,2.3534221682552925e-08,7.860430173423083e-08
1866,2.6274308950746672e-08,1.0655692506134073e-07
1867,1.0190904120577216e-08,6.211598702066112e-08
1868,2.9639243948054173e-08,7.113418831750096e-08
1869,1.904572499711321e-08,1.1525105492182774e-07
1870,2.0069171213776826e-08,9.575861525945584e-08
1871,4.354682658913589e-08,6.266494523288202e-08
1872,3.8702971494330995e-08,1.015952975080836e-07
1873,2.3944018323618366e-08,9.338167217265436e-08
1874,2.6885741633009275e-08,8.244960270076263e-08
1875,3.0324094124623e-08,1.0012672646553256e-07
1876,1.4510435741854621e-08,8.464420631071334e-08
1877,3.339800647150781e-08,6.184816214727107e-08
1878,4.227361927178208e-08,6.461824852976861e-08
1879,7.331190321480108e-09,8.553055153015521e-08
1880,4.428314070992201e-08,9.11334154807264e-08
1881,2.8587281875047665e-08,6.344981784422998e-08
1882,2.994923331556265e-08,5.657077295495583e-08
1883,2.211768546089843e-08,6.129759100304e-08
1884,1.7164412113856997e-08,7.591951600716129e-08
1885,2.2559724754955823e-08,6.252266615547342e-08
1886,2.774989482645651e-08,6.324394519197085e-08
1887,2.0239665943222462e-08,5.223139609711325e-08
1888,1.7119660356001987e-08,4.311618084784641e-08
1889,4.2602930960811136e-08,5.7012744747453326e-08
1890,1.6385966361553983e-08,5.1124214195397144e-08
1891,1.7210394887001712e-08,9.880041318410804e-08
1892,1.002961980134387e-08,5.0774950466347946e-08
1893,2.4017824173938607e-08,5.9120800699474785e-08
1894,2.2685540557176864e-08,6.553600684355843e-08
1895,1.5648398132839247e-08,4.273216447359118e-08
1896,1.5921978790967017e-08,3.833068973335685e-08
1897,1.5732126712464378e-08,4.952706689209663e-08
1898,1.8106735777401184e-08,3.395012981854961e-08
1899,2.984892333302014e-08,5.859233098703953e-08
1900,1.661137005726232e-08,5.606337438734954e-08
1901,2.9061443029831935e-08,5.253414414596591e-08
1902,2.8479645752810256e-08,3.4863013809172116e-08
1903,2.214090244478939e-08,4.3741785304973746e-08
1904,2.2573425795258117e-08,4.8909090111237674e-08
1905,2.4771643958310108e-08,4.902721073563043e-08
1906,2.674975863037332e-08,5.761486576716379e-08
1907,2.7771354993433306e-08,3.805704196224724e-08
1908,3.290630701258124e-08,6.139236319313568e-08
1909,2.0903737407707013e-08,5.666013080940502e-08
1910,3.847788310196165e-08,4.9700602744451317e-08
1911,3.08581699082211e-08,4.256299490634774e-08
1912,3.6465947372832375e-08,4.7926675961207366e-08
1913,4.295421618394357e-08,5.88631863251976e-08
1914,3.214437072074361e-08,6.094036564263661e-08
1915,1.767114277129167e-08,5.5369582696584985e-08
1916,6.592477230782379e-09,4.724608615447323e-08
1917,1.4256351654751143e-08,6.579854527899442e-08
1918,2.5270027848023346e-08,7.581008532042688e-08
1919,2.3940405213807026e-08,4.788081042761405e-08
1920,2.4988365154854364e-08,5.906340660999376e-08
1921,5.679560644011872e-08,3.862101038976107e-08
1922,2.0658220023506146e-08,3.9840852394945614e-08
1923,3.503262746562541e-08,4.564857647437748e-08
1924,2.836157442231979e-08,3.9964035636330664e-08
1925,2.4195990988573612e-08,2.859526304632709e-08
1926,3.009457216762712e-08,6.799144358637932e-08
1927,2.5643217327342427e-08,7.804457169413581e-08
1928,2.5137291359556002e-08,3.7705934374798744e-08
1929,1.4482528065684619e-08,7.798284684668033e-08
1930,2.2057568216382606e-08,5.566909777598994e-08
1931,3.307553431142196e-08,4.790249619190945e-08
1932,2.4110979990332737e-08,7.233294496700182e-08
1933,1.8353059072495626e-08,1.3650088703798247e-07
1934,3.354842448288764e-08,9.70508011732818e-08
1935,1.795242710045386e-08,8.258115968828861e-08
1936,6.426098764222843e-08,4.7286388138445545e-08
1937,7.554670666820584e-09,9.065605155456069e-08
1938,1.5558256905023882e-08,6.482607517455108e-08
1939,1.8352860564618823e-08,6.72938256229827e-08
1940,5.0715658339584024e-09,3.803674530900025e-08
1941,5.312704587367989e-08,5.60785480274717e-08
1942,3.944475324146879e-08,5.158160121254696e-08
1943,1.1612940831184915e-08,7.83873517207212e-08
1944,1.927911696952833e-08,7.390327994016843e-08
1945,2.6142048525912287e-08,3.0499055725385915e-08
1946,4.454753366189834e-08,6.26449718765798e-08
1947,1.4305045148432782e-08,4.52993091926146e-08
