year,tes_DET airs_NOUN,tes_DET mers_NOUN
1800,6.288328968651058e-09,9.432493452976587e-09
1801,7.143547975374531e-09,0.0
1802,2.0140561218795483e-08,3.1329761895904085e-08
1803,7.801356893821776e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,1.1371510622026904e-08,0.0
1806,8.645007376628655e-09,1.152667650217154e-08
1807,1.9928686256776018e-08,0.0
1808,2.2660739507074368e-08,6.798221985349073e-09
1809,6.7770917766551975e-09,0.0
1810,7.020380365929668e-08,0.0
1811,2.2563690471599784e-08,1.504245972228091e-08
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,9.440031423224582e-09
1815,2.697223555614414e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.71256075987003e-08,1.2454987263765815e-08
1818,1.5497530370112145e-08,4.768470951432846e-09
1819,1.1386155129855524e-08,1.8631890696951814e-08
1820,1.3053129244156025e-08,0.0
1821,1.577838126820552e-08,5.9168927535324656e-09
1822,6.015369535816717e-09,2.105379337535851e-08
1823,2.569498536164616e-08,7.906149512848515e-09
1824,2.86317822784099e-08,8.421112696055388e-10
1825,8.805443485471187e-09,8.805443485471187e-09
1826,1.2331177745572575e-08,6.1655889282974385e-09
1827,8.295545583791863e-09,5.530363722527909e-09
1828,2.0179061976932644e-08,5.503380862137419e-09
1829,6.001223074036943e-09,2.7434163052397764e-08
1830,1.2524203008013046e-08,2.5048406460115302e-08
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.7588959622116818e-08,2.3000948701223933e-08
1833,1.737544208513242e-08,2.432561996279503e-08
1834,8.401078055442213e-09,1.1201436889152205e-08
1835,1.5126175867408165e-08,1.3613558280667348e-08
1836,5.376600054063374e-09,1.0753200108126748e-08
1837,1.0436836728189292e-08,2.7831563720326358e-09
1838,1.1361891871786156e-08,1.5780404538645598e-08
1839,1.11863602825224e-08,2.4470163673129264e-08
1840,1.1465439264668476e-08,1.1465439264668476e-08
1841,1.4767262079828924e-08,1.1556987367100646e-08
1842,1.6770663080478698e-08,1.7441489585934278e-08
1843,9.451057714215949e-09,1.1813821976236483e-08
1844,1.2623690537338916e-08,7.135129487245706e-09
1845,1.0602432709561072e-08,7.254296274794569e-09
1846,1.4636253320432502e-08,1.0538102390711401e-08
1847,8.089835468183537e-09,1.1325769655456952e-08
1848,3.218088684420195e-09,1.2872354626658478e-08
1849,1.759677159540729e-08,9.217356655710773e-09
1850,1.9009189777818847e-08,1.4935791270431764e-08
1851,1.2253933867611977e-08,5.8044946626978344e-09
1852,2.0833745395520964e-08,9.765817932105847e-09
1853,1.911018188138769e-08,1.0152284346531815e-08
1854,5.195664343204953e-09,8.832629738719788e-09
1855,1.8043586180738203e-08,2.1227748447927297e-08
1856,8.28350277259915e-09,1.1907535402144731e-08
1857,1.2203773158692144e-08,2.050233771644372e-08
1858,1.0276719919488642e-08,1.0766087576996597e-08
1859,1.833182472488204e-08,9.165912473463322e-09
1860,3.066713105681629e-08,2.242820151820979e-08
1861,2.2165029811560544e-08,7.545541969022906e-09
1862,2.5300723294208183e-08,1.2198563076326607e-08
1863,1.3984937929922836e-08,1.2486552514179294e-08
1864,1.9658385475018747e-08,1.7740492741502578e-08
1865,1.1767110619231858e-08,7.0602665935837194e-09
1866,8.75810357570117e-09,8.75810357570117e-09
1867,9.220341823379385e-09,2.91168689159349e-09
1868,1.0867722721741302e-08,6.915823469455518e-09
1869,1.3673853160867111e-08,8.790334127262156e-09
1870,1.9495765002375265e-08,2.8670243956696595e-09
1871,3.292564798584863e-08,4.248470908407853e-09
1872,1.5118348239973045e-08,1.2094678591978436e-09
1873,1.616221290134945e-08,2.9930022349411445e-09
1874,5.377148060148329e-09,4.182226287507973e-09
1875,1.6020276105699338e-08,5.7215269744226305e-09
1876,6.04601479992084e-09,4.232210359944588e-09
1877,2.040989244278535e-08,3.710889595609501e-09
1878,1.5701630218245555e-08,7.850815109122777e-09
1879,7.331190210457805e-09,8.55305515301552e-09
1880,1.5402831010646878e-08,8.984985200299889e-09
1881,1.1156012114099667e-08,5.5780060570498335e-09
1882,1.7969540300200038e-08,2.6621540527571597e-09
1883,1.2006744321002571e-08,4.423537369735442e-09
1884,1.9144920315739e-08,7.2618666635548834e-09
1885,1.9336907408629145e-08,6.445635580831777e-09
1886,1.0325542199041138e-08,5.808117431449489e-09
1887,1.3057849523878673e-08,7.1818169189441505e-09
1888,1.268122939990235e-08,3.804368819970705e-09
1889,2.5060547415023393e-08,2.5060546970934183e-09
1890,1.0487018642368895e-08,3.932631831293776e-09
1891,1.0198752065093686e-08,7.0116419337296065e-09
1892,8.775917548220491e-09,5.014809900671935e-09
1893,1.0469308087124318e-08,9.85346626514172e-09
1894,5.041231432301174e-09,2.520615716150587e-09
1895,1.3842813118003505e-08,3.611168697403855e-09
1896,1.592197795829975e-08,8.845543852942228e-09
1897,8.740070001067579e-09,6.409385022720926e-09
1898,1.1882545059016536e-08,1.6975064687230201e-09
1899,1.713549302451156e-08,1.0502398950507086e-08
1900,2.0245107479333058e-08,4.671947717582725e-09
1901,1.2854099118442264e-08,2.794369402536745e-09
1902,1.276673788908056e-08,9.820567692386817e-10
1903,1.836074847716418e-08,3.2401321625741275e-09
1904,1.4511488011237361e-08,1.6123875568041512e-09
1905,1.6514428768932277e-08,2.0643036169332163e-09
1906,1.8519063615940468e-08,1.5432553013283723e-09
1907,1.1314255643490867e-08,1.5942815068115124e-08
1908,1.964555629285769e-08,4.4202499438483756e-09
1909,8.801573692096554e-09,5.5009836685826485e-09
1910,2.4048677604859847e-08,2.137660271017694e-09
1911,6.916486494645824e-09,6.916486494645824e-09
1912,1.250261111307438e-08,5.730363294986773e-09
1913,1.5378670781274195e-08,2.6514948014977335e-09
1914,2.142958016593255e-08,4.018046340092951e-09
1915,5.890381071793627e-09,4.712304768617059e-09
1916,1.8678685265172135e-08,7.69122365795738e-09
1917,1.3159709100207806e-08,1.4256351654751143e-08
1918,3.790504266021344e-08,5.743188147278033e-09
1919,2.4861190051073123e-08,9.207848317149825e-09
1920,1.514446346106979e-08,1.0601124866838063e-08
1921,2.1960968377143786e-08,1.1359121199205902e-08
1922,2.360939327372691e-08,6.6401419362982494e-09
1923,1.5923921736771263e-08,4.246379248229459e-09
1924,7.734974660777993e-09,6.4458122173149945e-09
1925,3.7393804941388e-08,1.9796719818998554e-08
1926,3.4553027994377317e-08,7.802296586589819e-09
1927,4.2367055641534535e-08,7.804457302640344e-09
1928,2.742249805010033e-08,3.4278122562625413e-09
1929,2.33948540540041e-08,6.684243825105796e-09
1930,1.2604324695075775e-08,1.05036033204442e-08
1931,1.1405356659111021e-08,9.124285327288817e-09
1932,1.753525868952721e-08,6.575721966939341e-09
1933,1.7205992852709073e-08,3.4411986593596566e-09
1934,1.9170528275935794e-08,8.38710612072191e-09
1935,2.5133396697185617e-08,4.787313656606784e-09
1936,1.33371855781661e-08,8.487300195980652e-09
1937,2.1404900962807005e-08,2.5182236296217297e-09
1938,1.2965214124527336e-08,2.5930428915188486e-09
1939,2.141167065872196e-08,0.0
1940,2.5357829613881222e-08,5.0715658339584024e-09
1941,2.6563523380929155e-08,2.9515025978810172e-09
1942,6.068423519245414e-08,1.517105907566929e-08
1943,2.9032351633873077e-08,1.1612940831184915e-08
1944,1.927911696952833e-08,6.4263723231761105e-09
1945,4.1391576388605245e-08,2.178504043826024e-09
1946,3.480275978517966e-08,6.960552134671616e-09
1947,4.053096236411591e-08,0.0
1948,2.3918154123947488e-08,5.435943917220243e-09
1949,2.0615717910565934e-08,1.3743811311250909e-08
1950,2.9779013033248702e-08,3.190608444114673e-09
1951,2.452122438434401e-08,4.264560704569931e-09
1952,3.0579932142060784e-08,1.4762725597528004e-08
1953,3.5553629373907825e-08,5.386913581872932e-09
1954,2.443134050622575e-08,7.818028890937967e-09
1955,1.3139851429144755e-08,1.3139851429144755e-08
1956,2.3547082950159393e-08,5.232684952005684e-09
1957,2.3854601516326568e-08,1.7670075402875796e-09
1958,3.391619785020339e-08,4.1361216673863055e-09
1959,2.4802393583378546e-08,5.425523585955716e-09
1960,2.9759583741739704e-08,6.2287499602575735e-09
1961,2.0844478476611528e-08,9.03260666262895e-09
1962,2.1562651220108364e-08,3.805173787174709e-09
