year,avons_VERB hérité_VERB,avons_VERB mérité_VERB
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,4.286128785224719e-08,2.3811825844433088e-09
1802,4.4756802708434407e-08,2.2378401354217203e-09
1803,2.3404069793286908e-08,9.751696339321825e-09
1804,9.887403784603066e-09,2.4718509905596875e-08
1805,2.55858996212055e-08,2.842877711017877e-09
1806,4.034336598124355e-08,5.4751712497136396e-08
1807,2.2775640928784924e-08,5.693910232196231e-09
1808,3.3991110370834576e-08,9.064295980465431e-09
1809,3.162642769893864e-08,6.7770917766551975e-09
1810,6.786367379163494e-08,1.4040760554223652e-08
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,3.7340914360584065e-08,2.6672083208723052e-08
1813,1.1502966579257645e-08,1.4378708002027452e-08
1814,1.2586708564299443e-08,1.5733386149463513e-08
1815,1.0249449644561537e-07,4.5852800667489646e-08
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,1.71256075987003e-08,1.0898113522728181e-08
1818,2.98029441125891e-08,1.1921177378582115e-09
1819,2.6912729822470283e-08,9.315945348475907e-09
1820,3.322614716694261e-08,2.1359666035891678e-08
1821,4.832129363308013e-08,5.9168927535324656e-09
1822,6.917674966189225e-08,1.5038423839541792e-08
1823,4.348382276475604e-08,1.4824030003524058e-08
1824,8.000056794799093e-08,2.5263338088166165e-09
1825,2.553578504205234e-08,9.68598712347557e-09
1826,6.517908701653141e-08,1.76159691278599e-08
1827,2.7651818612639545e-08,1.1982455028203276e-08
1828,5.228211819030548e-08,2.659967357487858e-08
1829,3.0006116702452346e-08,1.3717081692732336e-08
1830,2.7135772739939057e-08,8.349468672008697e-09
1831,6.548306430431694e-08,1.5591206103948707e-09
1832,5.817886972181441e-08,8.117981842303834e-09
1833,3.8225973497674204e-08,1.1583628278799551e-08
1834,6.254136053485126e-08,1.213489042584115e-08
1835,4.159698363537245e-08,1.4369867074037757e-08
1836,4.368487438455304e-08,2.688300071440608e-08
1837,4.5922078584226256e-08,9.74104708006962e-09
1838,4.1660268124132926e-08,1.0730675015224733e-08
1839,3.355908262392404e-08,1.957613093850341e-08
