year,cents_ADJ arbres_NOUN
1800,4.087413785214267e-08
1801,4.524246932646747e-08
1802,3.1329761895904085e-08
1803,5.460949736857401e-08
1804,1.2359254952798437e-08
1805,5.685755510853596e-08
1806,1.123850950079941e-07
1807,4.555128185756985e-08
1808,1.8128591960930862e-08
1809,0.0
1810,1.4040760554223652e-08
1811,5.515568801683912e-08
1812,7.20146218213813e-08
1813,4.888760685162197e-08
1814,3.1466772298927026e-08
1815,5.664169577812572e-08
1816,4.1716869958463576e-08
1817,9.341240669868967e-09
1818,2.6226590676969863e-08
1819,1.449147024601416e-08
1820,2.7292905713238724e-08
1821,8.875339574387908e-09
1822,2.0051231786055723e-09
1823,4.4472091786929013e-08
1824,1.2631669044083083e-08
1825,1.584979791857677e-08
1826,2.9947145208097936e-08
1827,1.8434546333878643e-08
1828,4.4027046897099353e-08
1829,5.058173968564006e-08
1830,6.78394300734908e-08
1831,6.860130952190957e-08
1832,4.329590197471589e-08
1833,5.560141858040879e-08
1834,5.414027981487379e-08
1835,2.7227116561334697e-08
1836,3.763620171071125e-08
1837,2.852735292435682e-08
1838,2.209256599883247e-08
1839,3.076248944466897e-08
1840,1.2102408852854296e-08
1841,3.0818632978935057e-08
1842,1.2074877098200432e-08
1843,1.594865928211675e-08
1844,2.140538946093784e-08
1845,1.2834524554250493e-08
1846,2.5759806732139623e-08
1847,2.534815024546333e-08
1848,2.815827571112095e-08
1849,6.703531596485846e-08
1850,2.5798184921654865e-08
1851,4.385618268543112e-08
1852,2.539112742283578e-08
1853,7.763511611358354e-09
1854,2.234135720868835e-08
1855,1.8574279891936385e-08
1856,1.6049286344355096e-08
1857,1.0739319655783675e-08
1858,2.7893953813418193e-08
1859,4.0228169240208445e-08
1860,1.9224172476128842e-08
1861,8.017138064531082e-09
1862,1.671654992208005e-08
1863,3.49623441309177e-08
1864,1.6302074357099627e-08
1865,2.0710114512212385e-08
1866,4.865612801552288e-09
1867,1.7955402498159856e-08
1868,2.1735445443482604e-08
1869,9.767038733343725e-09
1870,1.9495765002375265e-08
1871,9.559059321873065e-09
1872,2.3584624031514068e-08
1873,2.21482157058972e-08
1874,2.1508592240593316e-08
1875,3.2612703648737806e-08
1876,3.023007266733657e-08
1877,1.4225077116236662e-08
1878,2.2344627481629686e-08
1879,1.221865097988939e-08
1880,1.7328185109022343e-08
1881,1.2550513517339823e-08
1882,1.1979693681496428e-08
1883,1.1374810426900694e-08
1884,1.7824582698722224e-08
1885,1.6758653131887513e-08
1886,8.38950331427668e-09
1887,2.0239665943222462e-08
1888,1.014498351992188e-08
1889,9.397704836544563e-09
1890,9.831579994568074e-09
1891,8.286486163910922e-09
1892,1.0656471260972467e-08
1893,2.4017824173938607e-08
1894,9.452309157609307e-09
1895,1.023164486468886e-08
1896,1.7101383420481397e-08
1897,1.5149455023788505e-08
1898,6.7900258748920805e-09
1899,9.949641111006713e-09
1900,1.142031713641245e-08
1901,8.941982265753268e-09
1902,7.365425602756659e-09
1903,5.940242076007962e-09
1904,5.374625189347171e-09
1905,2.580379465655369e-09
1906,1.0288369267641428e-08
1907,1.7485668024619372e-08
1908,1.4243028090277221e-08
1909,4.400786846048277e-09
1910,1.2291546447329438e-08
1911,1.702519725199636e-08
1912,8.856016364688912e-09
1913,1.484837142129436e-08
1914,1.2723813114234872e-08
1915,9.424609537234119e-09
1916,1.0987462051303964e-09
1917,8.773139548168274e-09
1918,1.378365155346728e-08
1919,1.4732557396257562e-08
1920,3.786115865267448e-09
1921,1.1359120755116692e-08
1922,1.1066902949607993e-08
1923,4.246379248229459e-09
1924,7.734974438733389e-09
1925,1.3197813508725176e-08
1926,1.671920735191179e-08
1927,1.7838759802657478e-08
1928,6.8556245125250825e-09
1929,7.798284684668033e-09
1930,5.2518016602221e-09
1931,7.983749661377715e-09
1932,4.383814644626227e-09
1933,1.261772819560747e-08
1934,8.38710612072191e-09
1935,3.590485242455088e-09
1936,8.487299751891442e-09
1937,5.0364472592434595e-09
1938,1.5558256905023882e-08
1939,6.117620188206274e-09
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,1.1920871401116528e-08
1948,1.0871888278529696e-08
1949,9.817008539414473e-09
1950,1.2762433776458693e-08
1951,1.1727541604500402e-08
1952,2.003512733494972e-08
1953,8.619061908632375e-09
1954,8.795282724349818e-09
1955,5.631364707880948e-09
1956,6.976913269340912e-09
1957,1.3252556385623393e-08
1958,1.0753916868111446e-08
1959,8.525822714489095e-09
1960,1.2457499920515147e-08
1961,4.16889545107324e-09
1962,1.0147130247162295e-08
1963,1.0345685197421517e-08
1964,3.467862086381501e-08
1965,8.20806533852192e-09
1966,5.539074976468328e-09
1967,2.9582012395223956e-09
1968,7.635406973349745e-09
1969,8.629339909305145e-09
1970,2.2993624781975086e-09
1971,1.1304474689666222e-08
1972,3.5911027485013847e-09
1973,7.718485406371656e-09
1974,6.750686232237513e-09
1975,5.711480177694739e-09
1976,1.1427053969725876e-08
1977,4.7014254711541525e-09
1978,1.2475242172627077e-08
1979,1.7555920051037788e-09
1980,1.7055452605774235e-09
1981,3.1627747087981106e-09
1982,3.7245013739806154e-09
1983,7.57837881337764e-09
1984,4.059305780401701e-09
1985,9.624892882698077e-09
1986,6.593933843390687e-09
1987,6.721898593298192e-09
1988,5.396898483667201e-09
1989,1.5366742545097622e-08
1990,1.9070277801347402e-08
1991,8.20605094986604e-09
1992,3.856960972825618e-09
1993,1.1632335983335906e-08
1994,6.329911705904578e-09
1995,7.591431483433553e-09
1996,5.3380921904988554e-09
1997,1.006927874414032e-08
1998,4.7681290027412615e-09
1999,9.597422412355172e-09
2000,8.394259509714175e-09
2001,7.886181485616817e-09
2002,7.009954394732176e-09
2003,8.750538071922165e-09
2004,4.845270407116686e-09
2005,8.106749049829887e-09
2006,9.882935358973555e-09
2007,3.595031605740928e-09
2008,7.663391698997657e-09
2009,9.53638501499654e-09
2010,1.0392344762522043e-08
2011,7.647943611743813e-09
2012,1.1574459612972987e-08
2013,5.857162754807632e-09
2014,4.980523993225461e-09
2015,1.0639562120218216e-08
2016,1.2428039930512114e-08
2017,9.056201122348284e-09
2018,1.2132893800753664e-08
2019,1.1734544003161318e-08
