year,mes_DET auteurs_NOUN
1800,6.917161821107243e-08
1801,4.286128785224719e-08
1802,2.2378401354217203e-08
1803,8.191425027170851e-08
1804,1.5078290260817084e-07
1805,7.960057502032214e-08
1806,8.06867319624871e-08
1807,9.11025637151397e-08
1808,3.172503681980743e-08
1809,3.840352036377226e-08
1810,1.0530570193623134e-07
1811,2.1811567307850055e-07
1812,8.268345652595599e-08
1813,4.888760685162197e-08
1814,3.4613449884091096e-08
1815,5.933891955578474e-08
1816,3.7081662185300956e-08
1817,4.514932783195036e-08
1818,6.675859021143538e-08
1819,6.935203522573374e-08
1820,1.234114090920002e-07
1821,1.291854960783212e-07
1822,5.514088741165324e-08
1823,6.028439258898288e-08
1824,6.821101283804865e-08
1825,7.04435478837695e-08
1826,5.108631029315802e-08
1827,1.1429418300679117e-07
1828,9.814362533777654e-08
1829,6.515613454327607e-08
1830,7.410153557430021e-08
1831,9.354723573551382e-08
1832,7.170883975504694e-08
1833,7.876867336165105e-08
1834,7.560969805808782e-08
1835,8.546289365085613e-08
1836,7.123994971713898e-08
1837,5.5663129217009555e-08
1838,5.617824072601252e-08
1839,6.641901117987459e-08
1840,4.9046602779156956e-08
1841,5.264849889385914e-08
1842,2.817471234095592e-08
1843,5.434358030242947e-08
1844,3.9517640937347664e-08
1845,3.0691253982695343e-08
1846,3.8639708321852595e-08
1847,2.9123407685460734e-08
1848,7.160247456061697e-08
1849,5.027649141453594e-08
1850,3.2587180953669304e-08
1851,4.2566295377355345e-08
1852,5.0131198747749295e-08
1853,4.956703469893853e-08
1854,3.585008540030188e-08
1855,8.968723363977915e-08
1856,4.9701017523773316e-08
1857,5.6625507005581e-08
1858,5.8234743249840903e-08
1859,6.263373109050008e-08
1860,7.735440732403731e-08
1861,9.148969992711642e-08
1862,5.828202276347838e-08
1863,3.446288232566985e-08
1864,7.144144964499333e-08
1865,6.589581819094192e-08
1866,4.719644408623935e-08
1867,5.677789260971622e-08
1868,6.471235280969267e-08
1869,4.785848872757015e-08
1870,3.841812556970581e-08
1871,2.549082545044712e-08
1872,3.62840353318461e-08
1873,5.447263973223926e-08
1874,4.301718670163268e-08
1875,5.8931731217182204e-08
1876,6.227395488167531e-08
1877,5.875575259661758e-08
1878,3.985798441297206e-08
1879,3.421222061206208e-08
1880,4.2999571236990164e-08
1881,4.9504802035471585e-08
1882,5.590523599607877e-08
1883,5.055471269388434e-08
1884,7.393900780527929e-08
1885,6.767917448691207e-08
1886,4.5174246565693466e-08
1887,3.7214870407531464e-08
1888,5.3261161925277634e-08
1889,5.388017498830777e-08
1890,6.357754767094548e-08
1891,4.780665108228277e-08
1892,7.459529793862885e-08
1893,5.542574843531156e-08
1894,3.843938944925185e-08
1895,3.370423939941247e-08
1896,3.184395680477792e-08
1897,4.544836473829861e-08
1898,3.6213469667423226e-08
1899,6.356715331889973e-08
1900,4.87959010975203e-08
1901,4.5827658112784775e-08
1902,3.8300215277065064e-08
1903,3.9961630449170116e-08
1904,4.407192744082522e-08
1905,3.9221767167418875e-08
1906,3.600929199265579e-08
1907,6.017126885637936e-08
1908,4.0273391732625896e-08
1909,5.115914669673316e-08
1910,4.8097355209719694e-08
1911,4.309502976695967e-08
1912,3.959160171929099e-08
1913,3.765122857934955e-08
1914,5.2234600644851525e-08
1915,1.0602685840410686e-08
1916,3.625862632361532e-08
1917,4.934890895924582e-08
1918,1.722956355365568e-08
1919,3.222746869369075e-08
1920,3.710393414735336e-08
1921,5.982470618892677e-08
1922,6.713921330003814e-08
1923,9.448193738492705e-08
1924,7.21930993874409e-08
1925,5.609070607981437e-08
1926,7.244989996824103e-08
1927,5.909089173528059e-08
1928,6.170062505361784e-08
1929,6.461435364535362e-08
1930,6.512234362876512e-08
1931,4.448089097053298e-08
1932,4.931791530715657e-08
1933,3.6706120587481905e-08
1934,4.313368862085554e-08
1935,3.590485420090772e-08
1936,4.122402952333459e-08
1937,4.029157973928221e-08
1938,5.445390038882891e-08
1939,5.8117393564316444e-08
1940,5.832300686847702e-08
1941,5.312704587367989e-08
1942,2.1239483061208375e-08
1943,7.548411695701418e-08
1944,5.462416474699694e-08
1945,5.8819608739213436e-08
1946,5.290019799986112e-08
1947,6.794896734163558e-08
1948,6.740570679397706e-08
1949,5.2030142416725766e-08
1950,5.211327058773918e-08
1951,6.396841378819573e-08
1952,5.166954042401528e-08
1953,5.8178669881669975e-08
1954,7.133951385185355e-08
1955,4.5050917218958375e-08
1956,5.7559534027973314e-08
1957,4.94762097957846e-08
1958,5.3769582231133484e-08
1959,4.1854036680888385e-08
1960,4.775375161969464e-08
1961,5.975416872416872e-08
1962,4.8198868451976296e-08
1963,4.590897706435726e-08
1964,6.935723773082714e-08
1965,5.143720915867789e-08
1966,5.095948729660904e-08
1967,4.535908892933094e-08
1968,4.177016776907294e-08
1969,1.403403153688032e-07
1970,6.530189544662335e-08
1971,5.7550051835164595e-08
1972,5.437955707954245e-08
1973,3.473318477276166e-08
1974,5.344293052544913e-08
1975,2.6843957279254482e-08
1976,5.3135798872006035e-08
1977,3.526069036752233e-08
1978,4.396037667220298e-08
1979,4.7986179918524385e-08
1980,5.3440417868699797e-08
1981,5.3767172047969325e-08
1982,5.152227000593257e-08
1983,3.4734236376010585e-08
1984,6.262929019840158e-08
1985,4.932757624587225e-08
1986,8.45222452028338e-08
1987,7.33297986776904e-08
1988,3.957725480674412e-08
1989,3.677041826577465e-08
1990,6.701840815637183e-08
1991,4.5133281112441637e-08
1992,3.3059665893730994e-08
1993,4.154405469636302e-08
1994,3.745197840743231e-08
1995,6.615389924746751e-08
1996,3.68328358923975e-08
1997,4.794894348236767e-08
1998,5.435667471687111e-08
1999,5.4385395298339745e-08
2000,5.6108999668680326e-08
2001,5.695575122643959e-08
2002,5.607963338150057e-08
2003,5.708684547300891e-08
2004,5.505989197907013e-08
2005,5.089236898569993e-08
2006,5.229720212440725e-08
2007,5.7520503582431104e-08
2008,5.875266689825409e-08
2009,5.8171948591478895e-08
2010,5.904741406936864e-08
2011,7.227307152746221e-08
2012,6.774462635306122e-08
2013,6.74968254621433e-08
2014,8.640126125669667e-08
2015,8.289991715315637e-08
2016,8.430353792832079e-08
2017,6.28902832033873e-08
2018,9.809573509045322e-08
2019,7.780512634170123e-08
