year,soixante - dix in,soixante - dix mines
1800,0.0,0.0
1801,0.0,5.229965793773772e-09
1802,0.0,9.361315989053764e-08
1803,0.0,2.14285567068373e-09
1804,0.0,5.1649703181055884e-08
1805,0.0,3.122235137098528e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.4709592150173876e-09
1810,0.0,0.0
1811,0.0,2.7593035412110112e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,5.11837061623055e-09
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,2.9160869274846846e-08
1822,0.0,6.578857458805487e-09
1823,0.0,0.0
1824,0.0,3.031887629845187e-08
1825,0.0,1.9221408908975945e-09
1826,0.0,9.61059121173946e-10
1827,0.0,4.024261812674013e-09
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,1.0272528605526077e-08
1831,0.0,0.0
1832,0.0,1.4826272431989196e-09
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,1.6599210894696625e-09
1836,0.0,7.343489705213813e-10
1837,0.0,1.1386481979513974e-08
1838,0.0,1.1699813562415784e-08
1839,0.0,2.2927735265909632e-09
1840,0.0,6.958539300327971e-10
1841,0.0,2.807916121838616e-09
1842,0.0,3.6676041759164946e-08
1843,0.0,2.19442064519626e-08
1844,0.0,6.582371092633821e-09
1845,6.100404625897227e-10,9.15060738293505e-09
1846,0.0,1.9219814628712584e-09
1847,0.0,0.0
1848,0.0,1.7618032588373467e-09
1849,0.0,1.834842278114479e-09
1850,0.0,0.0
1851,7.05856872951216e-10,1.4117137681068925e-08
1852,0.0,1.4267063974671146e-08
1853,0.0,3.856854746686622e-08
1854,0.0,1.1366367846932235e-09
1855,0.0,8.72668159956902e-09
1856,0.0,0.0
1857,0.0,5.349697573819867e-09
1858,0.0,3.216592769916815e-09
1859,0.0,5.574260497631656e-10
1860,0.0,4.5161838713170255e-09
1861,0.0,1.2393225112816708e-08
1862,0.0,2.970651058475937e-09
1863,0.0,2.7413067371639954e-09
1864,0.0,2.6247697348935617e-09
1865,0.0,1.289901341294808e-08
1866,0.0,0.0
1867,0.0,3.726332131748222e-09
1868,5.409911407738832e-10,1.0819822815477664e-09
1869,0.0,5.357312371501166e-10
1870,6.283288334074655e-10,2.513315333629862e-09
1871,0.0,0.0
1872,0.0,1.3267023035723469e-09
1873,0.0,0.0
1874,0.0,6.555164189236962e-10
1875,0.0,1.2573940999516253e-08
1876,2.656332487305235e-09,2.656332487305235e-09
1877,0.0,4.084536264770122e-09
1878,0.0,6.646837746870915e-09
1879,0.0,6.720529133197317e-10
1880,0.0,4.946888232382207e-09
1881,7.684392566709164e-10,9.989710392233064e-09
1882,2.9310533999904465e-09,7.327633499976116e-10
1883,0.0,6.966609511493971e-10
1884,2.1824526630354057e-09,2.1824526630354057e-09
1885,0.0,0.0
1886,0.0,1.4222925059925728e-09
1887,0.0,7.20262405273786e-10
1888,0.0,0.0
1889,0.0,8.296874298707735e-09
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,1.99258720634532e-09
1896,5.203483421922783e-09,4.553048160715889e-09
1897,0.0,5.153473203733938e-09
1898,0.0,0.0
1899,0.0,0.0
1900,5.736004449197196e-10,5.736004449197196e-10
1901,0.0,1.2334692156557026e-09
1902,0.0,5.407152503522639e-10
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,5.675657166470671e-10
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,3.0330327138727853e-09
1910,0.0,0.0
1911,5.871810260238419e-10,0.0
1912,4.023405164588212e-09,0.0
1913,0.0,0.0
1914,0.0,1.4773187118066744e-09
1915,0.0,5.195238905741917e-09
1916,0.0,0.0
1917,0.0,1.206102329120995e-09
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,2.4431661138635263e-09
1923,0.0,0.0
1924,8.549434049598403e-09,0.0
1925,0.0,1.2185186193391928e-09
1926,0.0,0.0
1927,2.4685360422438407e-09,0.0
1928,0.0,0.0
1929,2.4685253841028043e-09,4.937050768205609e-09
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,1.2128820170431709e-09
1933,0.0,2.5375954670892042e-09
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,3.2113727232996325e-09
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,1.081607470254653e-09
1950,0.0,1.176276409609045e-09
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,2.1613446588020224e-09
1955,0.0,2.0775652309623638e-09
1956,0.0,0.0
1957,0.0,1.9557553354587753e-09
1958,0.0,9.148918289625385e-10
1959,0.0,0.0
1960,0.0,0.0
1961,0.0,0.0
1962,0.0,6.994257950587723e-10
1963,0.0,0.0
1964,0.0,6.711313171869904e-10
1965,0.0,0.0
1966,0.0,0.0
1967,0.0,2.715943248077224e-09
1968,4.940934328345747e-10,0.0
1969,0.0,1.4978221996031493e-09
1970,0.0,0.0
1971,0.0,0.0
1972,0.0,3.957103089646807e-09
1973,6.093281434971232e-10,0.0
1974,0.0,1.8657870803906462e-09
1975,0.0,0.0
1976,0.0,1.2622736189626949e-09
1977,0.0,6.494660920175477e-10
1978,0.0,0.0
1979,0.0,0.0
1980,6.261667295781592e-10,1.878500244245629e-09
1981,0.0,0.0
1982,0.0,0.0
1983,0.0,0.0
1984,0.0,6.368131577616509e-10
1985,0.0,0.0
1986,0.0,0.0
1987,0.0,0.0
1988,0.0,3.2929068360942892e-09
1989,0.0,0.0
1990,5.969995608978707e-10,0.0
1991,0.0,0.0
1992,0.0,0.0
1993,0.0,0.0
1994,0.0,0.0
1995,0.0,0.0
1996,0.0,5.833531990795393e-10
1997,0.0,1.0468480526881763e-09
1998,0.0,0.0
1999,0.0,0.0
2000,0.0,0.0
2001,0.0,4.777466755534476e-10
2002,9.54669232555716e-10,4.77334616277858e-10
2003,1.3613796756573038e-09,4.5379322521910126e-10
2004,0.0,4.796653629846048e-10
2005,0.0,0.0
2006,0.0,0.0
2007,0.0,8.726048217333471e-10
2008,4.6488379812359426e-10,0.0
2009,5.21569676337208e-10,1.043139352674416e-09
2010,0.0,0.0
2011,0.0,0.0
2012,0.0,3.749565102850738e-10
2013,0.0,3.0801944328473496e-10
2014,4.790310370594852e-10,9.580620741189705e-10
2015,0.0,0.0
2016,2.2924880049846053e-10,6.877464153731694e-10
2017,0.0,5.57803969680748e-10
2018,2.86499379775762e-10,2.86499379775762e-10
2019,0.0,8.497503811710772e-10
