year,quels_DET êtres_NOUN
1800,3.458580977167003e-08
1801,6.667311325259107e-08
1802,2.9091921760482364e-08
1803,4.485780102925219e-08
1804,9.887403784603066e-09
1805,2.2743021688143017e-08
1806,5.76333825108577e-09
1807,1.1387820908481672e-08
1808,1.1330369531492579e-08
1809,6.7770917766551975e-09
1810,2.3401268034461964e-08
1811,2.2563689583421365e-08
1812,2.6672082320544632e-09
1813,0.0
1814,1.5733385261285093e-08
1815,8.091670444798638e-09
1816,6.257530316133852e-08
1817,3.113746815941454e-09
1818,2.6226589344702234e-08
1819,1.3456364911235141e-08
1820,4.746592452420373e-09
1821,2.5639868894700157e-08
1822,2.5064039732569654e-08
1823,9.882686891060644e-09
1824,2.6947560627377243e-08
1825,2.6416328680056722e-08
1826,3.435113793415212e-08
1827,2.6730092805848926e-08
1828,2.0179062865111064e-08
1829,1.5431716793301575e-08
1830,3.757260991221756e-08
1831,9.354723218280014e-09
1832,2.5706941575442954e-08
1833,2.0850531967653296e-08
1834,2.240287466648283e-08
1835,1.5126175867408165e-08
1836,1.8818100411266414e-08
1837,2.2961040624380757e-08
1838,1.4517972823924197e-08
1839,2.37710154893378e-08
1840,4.713569712322396e-08
1841,2.3113975622379712e-08
1842,1.9453968214122597e-08
1843,2.303695284533447e-08
1844,1.7563396292885614e-08
1845,1.3392547348889394e-08
1846,3.454155717008689e-08
1847,1.833696039454935e-08
1848,2.976731927617493e-08
1849,2.26244205592252e-08
1850,1.0862393651223101e-08
1851,3.4826968864365426e-08
1852,2.4740072657181145e-08
1853,1.2541056637616066e-08
1854,1.870439203521812e-08
1855,2.5473298137512757e-08
1856,2.329735071526784e-08
1857,2.8312752586856504e-08
1858,2.2510910469009104e-08
1859,3.106225654470052e-08
1860,3.707518847484437e-08
1861,3.961409689168249e-08
1862,3.885468347064602e-08
1863,1.897955925755923e-08
1864,3.164520512299873e-08
1865,2.6829012345075398e-08
1866,2.968023826710464e-08
1867,1.94112459439566e-08
1868,3.7049054490978506e-08
1869,2.8324411260882698e-08
1870,2.8670243068518175e-08
1871,1.911811908783534e-08
1872,2.660829290235256e-08
1873,2.274681665248579e-08
1874,2.3300975371398636e-08
1875,3.661777503438657e-08
1876,2.9020871039620033e-08
1877,3.5871932091424696e-08
1878,2.113681007998025e-08
1879,4.64308729242191e-08
1880,3.2089232160359416e-08
1881,3.067903353581869e-08
1882,4.725323332621656e-08
1883,1.8958017378167824e-08
1884,4.555170907138972e-08
1885,2.9649923849461857e-08
1886,3.9366128579132464e-08
1887,2.3504129309515065e-08
1888,4.057993274741989e-08
1889,2.255449205179616e-08
1890,1.6385966361553983e-08
1891,2.2309770031370135e-08
1892,3.447681784507495e-08
1893,2.6481191461869003e-08
1894,1.8904617427040193e-08
1895,3.611168786221697e-08
1896,3.243365842564572e-08
1897,3.1464253869017966e-08
1898,2.8291774256672397e-08
1899,3.316546859366554e-08
1900,2.076421212748869e-08
1901,1.7883964642528838e-08
1902,1.816805017540446e-08
1903,2.9161189019077938e-08
1904,3.0635362691100454e-08
1905,2.373949126166508e-08
1906,1.7490226822403088e-08
1907,3.188562835987341e-08
1908,2.9468333551108117e-08
1909,3.5756393401698006e-08
1910,4.221879201793399e-08
1911,3.351835697884553e-08
1912,3.229841105678588e-08
1913,3.234823697795264e-08
1914,3.4153393446700875e-08
1915,2.709575230852579e-08
1916,1.4283700888739759e-08
1917,2.3029490536785602e-08
1918,4.824277954895706e-08
1919,4.1435317399418636e-08
1920,6.284952291935042e-08
1921,2.0446418114161702e-08
1922,3.0987328925036195e-08
1923,4.0340603746358283e-08
1924,4.512068585427187e-08
1925,2.639562701745035e-08
1926,2.229227735739414e-08
1927,4.0137208223711696e-08
1928,5.255979029783475e-08
1929,2.785101660407463e-08
1930,2.1007207529066818e-08
1931,2.2810714206400462e-08
1932,1.75352581344157e-08
1933,2.064719195615794e-08
1934,2.036868629318178e-08
1935,1.6755597798123745e-08
1936,2.3036958118893835e-08
1937,1.6368453259474336e-08
1938,1.685477846180561e-08
1939,9.176430282309411e-09
1940,2.028626333583361e-08
1941,5.017554371988808e-08
1942,4.8547388331598995e-08
1943,2.322588166236983e-08
1944,3.213186161588055e-08
1945,1.089252021913012e-08
1946,4.037120149291695e-08
1947,3.5762613315171166e-08
1948,3.8051608086675515e-08
1949,3.043272567282429e-08
1950,2.2334259774936527e-08
1951,2.4521224162299404e-08
1952,2.9525451417100612e-08
1953,2.4779802321184263e-08
