year,deux_DET oies_NOUN,deux_DET mois_NOUN
1800,3.458580932758082e-08,1.124038811894934e-05
1801,5.23860170797974e-08,1.1132028191696008e-05
1802,1.1860552717735118e-07,1.1289903227407194e-05
1803,9.751696339321825e-09,1.179370170234506e-05
1804,7.4155528384522995e-09,1.187724348028496e-05
1805,5.970043304159844e-08,1.1101437479510423e-05
1806,5.76333825108577e-09,1.3454512952648656e-05
1807,0.0,1.3070370783907492e-05
1808,2.039466551195801e-08,1.275799687050494e-05
1809,4.518061036407062e-09,1.4017284229339566e-05
1810,2.3401266702194334e-08,1.3551673987421964e-05
1811,0.0,1.2725922033496317e-05
1812,7.468182872116813e-08,1.1610357375957392e-05
1813,2.8757416448144113e-09,1.333768955191772e-05
1814,9.440031423224582e-09,1.290452289026689e-05
1815,2.697223555614414e-09,1.23532835232254e-05
1816,1.622322720606917e-08,1.1896260730281938e-05
1817,7.784366928831332e-09,1.1973913160545635e-05
1818,9.536941902865692e-09,1.5569057211450854e-05
1819,1.6561680027393777e-08,1.4764738068606675e-05
1820,3.322614805512103e-08,1.3792410584301251e-05
1821,1.577838126820552e-08,1.3704510365641909e-05
1822,1.604098542884458e-08,1.3538591645101405e-05
1823,3.95307486744656e-09,1.5010813228855113e-05
1824,1.2631669044083083e-08,1.3915888700921641e-05
1825,1.1447076175841175e-08,1.4864468141695397e-05
1826,1.8496766784892316e-08,1.4733115278886544e-05
1827,9.217273166939322e-09,1.4090445404235652e-05
1828,0.0,1.5675463259867684e-05
1829,2.914879759785549e-08,1.4099444911153114e-05
1830,1.982998831806526e-08,1.356058095325352e-05
1831,6.236482441579483e-09,1.3141827253093652e-05
1832,2.1647950210201827e-08,1.3885807447877596e-05
1833,2.548398292390175e-08,1.364898974998141e-05
1834,1.7735608537350345e-08,1.3472528507918469e-05
1835,2.2689263801112247e-09,1.4381968014731683e-05
1836,4.099657546774438e-08,1.4106182675277523e-05
1837,1.5307360268224102e-08,1.537415585062263e-05
1838,2.651107999795954e-08,1.4741423342456983e-05
1839,1.2584655206815398e-08,1.4685593839658395e-05
1840,1.2102408297742784e-08,1.3699926455501554e-05
1841,3.980740226339208e-08,1.3461964442740282e-05
1842,2.4149754196400863e-08,1.4798433085161378e-05
1843,6.497602011990011e-09,1.293967898163828e-05
1844,3.293136902060567e-08,1.310833079060103e-05
1845,2.678509469777879e-08,1.4191635841598327e-05
1846,8.781752214304106e-09,1.2566101872835134e-05
1847,2.8044763844548015e-08,1.456386092968387e-05
