year,premiers_ADJ auteurs_NOUN,premiers_ADJ moteurs_NOUN
1800,5.7223792282457e-07,1.2262241000371432e-07
1801,5.5481552863057e-07,1.0239084957675004e-07
1802,5.191789114178391e-07,4.699464284385613e-08
1803,4.4662769482783915e-07,7.80135707145746e-08
1804,6.575123734364752e-07,9.145848167690929e-08
1805,7.76105594013643e-07,3.695740957709859e-08
1806,6.512572099381941e-07,1.556101381083863e-07
1807,4.4981891278439434e-07,1.395007984683616e-07
1808,8.769706596467586e-07,3.6257183921861724e-08
1809,5.534624847314262e-07,5.6475762733043666e-08
1810,7.699017032791744e-07,6.084329839950442e-08
1811,7.145168865463347e-07,8.774768645025688e-08
1812,7.948280540404085e-07,5.601137331723294e-08
1813,6.039057325324393e-07,2.0130190847567064e-08
1814,8.244294349424308e-07,6.922689976818219e-08
1815,8.873865340319753e-07,1.4025562222741428e-07
1816,6.025770176165679e-07,5.3304887615013286e-08
1817,9.294534493164974e-07,1.120948880384276e-07
1818,6.830834422544285e-07,9.417730240102173e-08
1819,9.036466508405283e-07,8.073818946741085e-08
1820,7.47588330796134e-07,1.779972222948345e-07
1821,8.579494874538796e-07,1.6370070454740926e-07
1822,6.135676926533051e-07,9.724847416237026e-08
1823,5.494773631653516e-07,1.393458859411112e-07
1824,5.574776764660783e-07,6.400046004273463e-08
1825,6.066950390959391e-07,7.396572243578703e-08
1826,5.901349595660577e-07,1.0481501533377013e-07
1827,6.47052559088479e-07,1.1245072784049626e-07
1828,4.80628557397722e-07,9.447470006307412e-08
1829,5.315368980518542e-07,7.11573591161141e-08
1830,5.500212409970118e-07,5.9489963177838945e-08
1831,3.9289838582590164e-07,3.585977381703742e-08
1832,3.5854418456438e-07,4.329590197471589e-08
1833,4.3901951585212373e-07,7.52935847003755e-08
1834,4.5272474835655885e-07,6.907552574375586e-08
1835,4.847939294450043e-07,9.756383434478266e-08
1836,6.572893767042842e-07,5.981467410265395e-08
1837,4.2651871012822085e-07,4.174734513640033e-08
1838,4.872989052273624e-07,4.607878167917079e-08
1839,4.894032485935895e-07,3.0063343814390464e-08
1840,5.051163043390261e-07,8.599079848181646e-08
1841,5.553774258260091e-07,3.9165346521485844e-08
1842,3.6291714877734194e-07,4.9641162291891305e-08
1843,5.741517838941945e-07,5.198081609592009e-08
1844,4.950682068738388e-07,4.555505839221041e-08
1845,3.705271467424609e-07,4.687391452762313e-08
1846,5.520794843505428e-07,3.102885770545072e-08
1847,4.2444671066732553e-07,7.226919507274943e-08
1848,3.9743395063851494e-07,2.976732105253177e-08
1849,3.460698394519568e-07,2.3462362719328667e-08
1850,3.944406614664331e-07,2.9192683825840504e-08
1851,4.172786987055588e-07,4.5791015423901626e-08
1852,4.459723754735023e-07,3.190167419120371e-08
1853,3.720513461757946e-07,4.478948767427937e-08
1854,3.6213782550476026e-07,3.4810952342922974e-08
1855,4.272084481726779e-07,2.7596072982305486e-08
1856,3.292692269951658e-07,2.5368226630462232e-08
1857,3.475634571259434e-07,2.9289054737091647e-08
1858,3.895366091910546e-07,3.670256987220455e-08
1859,3.574705829123559e-07,3.7172863898149444e-08
1860,4.1515059479024785e-07,2.3801355553132453e-08
1861,3.022932730800676e-07,2.1221836732365773e-08
1862,3.618906987412629e-07,1.626475132354699e-08
1863,3.5112185514662997e-07,3.5461809488879226e-08
1864,3.3658989195828326e-07,4.267307929239905e-08
1865,2.946484585208964e-07,3.95374932793402e-08
1866,3.186976584856893e-07,2.0435575009969398e-08
1867,2.853453224815894e-07,2.8631587767335986e-08
1868,3.1269402711586736e-07,2.4699369660652337e-08
1869,4.712595966793742e-07,3.41846337903462e-08
1870,3.669791226457164e-07,1.7202147262196377e-08
1871,2.432249459616287e-07,1.274541272522356e-08
1872,2.9208649721113034e-07,1.8746751706544273e-08
1873,3.136666464342852e-07,2.2746817762708815e-08
1874,3.7042576650492265e-07,8.961913877669758e-09
1875,3.0724601174370036e-07,2.8607635371713513e-08
1876,3.143927642668132e-07,3.3857681103199866e-08
1877,3.0738536338503764e-07,1.6699003069220453e-08
1878,3.037661713278794e-07,2.4760263173106978e-08
1879,3.0913184900782653e-07,2.2604503158163425e-08
1880,3.76085779407731e-07,1.9253539207397807e-08
1881,3.0957934882280824e-07,3.5559789779426865e-08
1882,2.502424933936709e-07,2.9283693692150337e-08
1883,2.8879378533019917e-07,2.274962085380139e-08
1884,2.9905686460551806e-07,1.9805090900604227e-08
1885,2.642710512645863e-07,3.158361394639542e-08
1886,2.187724277291636e-07,3.87207848007165e-08
1887,2.872726838631934e-07,1.697520346510828e-08
1888,3.1639666531191324e-07,7.60873763994141e-09
1889,3.2140150096893194e-07,2.192797943223468e-08
1890,2.484112542333605e-07,2.94947390955258e-08
1891,2.938515422101773e-07,5.16311828846483e-08
1892,2.25039599399679e-07,5.5162907131034444e-08
1893,2.715861739943648e-07,2.771287377356657e-08
1894,2.495409603398002e-07,4.348062176973144e-08
1895,3.2199588417825e-07,5.657497581523785e-08
1896,2.7008391612071136e-07,4.009979548413867e-08
1897,2.499660070043319e-07,4.0204323425996336e-08
1898,2.868785884402314e-07,4.9227686815811467e-08
1899,2.636654983234621e-07,4.145683618617113e-08
1900,2.6214817694381054e-07,5.087231969014283e-08
1901,2.7664256663229025e-07,2.5708198236884527e-08
1902,2.1408837369563116e-07,3.879124221839447e-08
1903,3.0133227824080677e-07,4.5361851164216205e-08
1904,2.9614184882120753e-07,4.3534463145533664e-08
1905,2.6990770152224286e-07,2.6835946798087207e-08
1906,2.618390055886266e-07,4.83553357355504e-08
1907,2.4068506832009007e-07,1.542852956504248e-08
1908,2.5244540324820264e-07,3.5361999550787004e-08
1909,3.0145389473545947e-07,5.0609049395689e-08
1910,2.6400104502499744e-07,6.573305455503942e-08
1911,2.5697406158542435e-07,6.490856208074547e-08
1912,2.9693700298594194e-07,7.553660452686017e-08
1913,2.895432373861695e-07,6.098438376511695e-08
1914,2.6853942358684435e-07,5.6922321078900495e-08
1915,1.9202641965421208e-07,2.3561524287174507e-08
1916,1.7579938571543607e-07,7.69122365795738e-09
1917,2.0068556239039026e-07,2.8512703309502285e-08
1918,1.8837657478343317e-07,3.445912710731136e-08
1919,2.0349344254100288e-07,5.064316610514652e-08
1920,2.476119789207587e-07,2.8017257847068322e-08
1921,2.771625418063195e-07,6.058198209757393e-08
1922,2.3683172400978947e-07,3.24629176873259e-08
1923,2.6221391635772306e-07,5.201814445854325e-08
1924,1.9982017818165332e-07,5.285566118118368e-08
