year,nombreux_ADJ arrêts_NOUN,nombreux_ADJ marais_NOUN
1800,0.0,1.5720821977538435e-08
1801,4.7623651688866175e-09,4.524246932646747e-08
1802,0.0,2.0140561218795483e-08
1803,7.801356893821776e-09,6.241085515057421e-08
1804,0.0,1.9774807569206132e-08
1805,1.421438877713399e-08,5.685755422035754e-09
1806,8.645007376628655e-09,0.0
1807,2.8469550272802735e-08,8.54086508184082e-08
1808,3.3991110370834576e-08,0.0
1809,2.25903047379461e-08,1.8072244145628247e-08
1810,2.8081521108447305e-08,1.1700633351097167e-08
1811,3.008491944456182e-08,7.521229861140455e-09
1812,6.934741492159446e-08,9.335229123053068e-08
1813,7.189353823378042e-08,8.627225156487839e-09
1814,3.1466772298927026e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,2.7811246638975717e-08,6.952811659743929e-09
1817,5.7604317760251433e-08,3.89218364205135e-08
1818,1.4305412854298538e-08,9.536941902865692e-09
1819,3.622867339458935e-08,3.1053151161586356e-09
1820,2.7292906601417144e-08,4.390598107306687e-08
1821,2.465372084259343e-08,1.676452932031225e-08
1822,5.514088741165324e-08,3.5089655625597516e-08
1823,6.127265805844218e-08,2.2730180404550993e-08
1824,7.157945702829238e-08,1.6842225392110777e-09
1825,1.9195866229893e-07,2.6416328680056722e-08
1826,9.776862697208344e-08,1.2331177856594877e-08
1827,1.7236300209333422e-07,1.566936447261469e-08
1828,1.990389364436851e-07,2.659967357487858e-08
1829,1.6289034476812958e-07,3.0006116702452346e-08
1830,1.7220779024995636e-07,8.349468672008697e-09
1831,2.1983601072861347e-07,3.1182413096075834e-08
1832,3.477202010770952e-07,2.705993829010822e-08
1833,1.6217079235048004e-07,1.7375443306377747e-08
1834,1.978920494138947e-07,1.4935249481595747e-08
1835,2.208421676641592e-07,2.571449897459388e-08
1836,2.0632703223721904e-07,2.419469957715137e-08
1837,2.1221566726126184e-07,2.7831564608504777e-08
1838,1.6285378023894737e-07,4.229148586887277e-08
1839,2.530914002818463e-07,2.0974425751774106e-08
1840,2.2102820196323592e-07,3.694419348221345e-08
1841,2.966293379813578e-07,1.6051371787284552e-08
1842,2.6363482019675644e-07,1.7441490030023488e-08
1843,2.2209985672816401e-07,1.2404512972352677e-08
1844,2.7936778224102454e-07,1.920996517412732e-08
1845,3.493222791028927e-07,2.287893430263921e-08
1846,3.424883259217637e-07,1.7563504428608212e-08
1847,3.30065290654602e-07,1.5640349459999925e-08
1848,3.7812542380555314e-07,2.574470947536156e-08
1849,3.837772151182861e-07,1.3407063903514427e-08
1850,4.025874602575641e-07,6.788996032014438e-09
1851,4.35982059343587e-07,1.9993260380601896e-08
1852,4.2969600144715514e-07,2.278690836021724e-08
1853,2.842639617028908e-07,4.478948767427937e-08
1854,4.1305532327839956e-07,4.72805474771576e-08
1855,2.865745898361638e-07,3.980202833986368e-08
1856,3.0752502766517864e-07,1.863788057221427e-08
1857,3.3194260945501597e-07,3.612316845647001e-08
1858,3.298337674095819e-07,1.761723389392955e-08
1859,3.6103509160057e-07,1.0693564256314403e-08
1860,2.2153570097827036e-07,2.3801355553132453e-08
1861,1.9948527096858015e-07,2.1221836732365773e-08
1862,2.2138132749205397e-07,2.801151488540654e-08
1863,2.9368370801918786e-07,3.146611149418277e-08
1864,1.8507650167975953e-07,2.685047562067666e-08
1865,2.2216305239908252e-07,2.9182434246877165e-08
1866,2.4863282988007995e-07,4.6223323835192787e-08
1867,2.86801167703743e-07,2.620518202434141e-08
1868,2.2921015840893233e-07,2.8157282727647726e-08
1869,3.2426568230548014e-07,1.1720445947105418e-08
1870,2.557385698764847e-07,1.6628741050794815e-08
1871,3.515609705573297e-07,7.222400455475508e-08
1872,2.6305926326131157e-07,2.116568786902917e-08
1873,2.759547936825868e-07,1.7359413462259e-08
1874,2.2165800073192798e-07,2.2106053876314036e-08
1875,1.956762313848337e-07,2.8607635371713513e-08
1876,2.0677370571320353e-07,2.7811667635546655e-08
1877,1.9482170254825348e-07,4.2056747417973384e-08
1878,2.620964625332789e-07,1.1474268646338714e-08
1879,2.45594883985234e-07,4.3376211067425174e-08
1880,2.4644528284767375e-07,3.4656370218044685e-08
1881,2.4124875586117867e-07,1.9523021421719022e-08
1882,2.4691477529259487e-07,1.1979693681496428e-08
1883,2.0285077645398886e-07,1.9589950994713945e-08
1884,2.4624329331146555e-07,4.687204935294176e-08
1885,2.7393952728438364e-07,3.222817923642651e-08
1886,2.891151709150108e-07,1.5488312854472497e-08
1887,4.119751351172596e-07,2.0892558794116667e-08
1888,4.400386535152734e-07,4.56524276160053e-08
1889,3.132568332508967e-07,2.7566601445982997e-08
1890,3.0019090202504373e-07,1.6385966361553983e-08
1891,3.93289388167517e-07,2.6134301833735663e-08
1892,3.673348156763012e-07,2.820830502514582e-08
1893,4.372475645997298e-07,2.7097032173628577e-08
1894,3.7809235209351755e-07,2.2685540557176864e-08
1895,3.3343125194207346e-07,2.8287487907618925e-08
1896,3.5500114492492685e-07,3.184395680477792e-08
1897,3.0823315033678966e-07,3.6708296846654775e-08
1898,2.7273271707706215e-07,4.356933303029109e-08
1899,2.9185613570348323e-07,4.0351324059884064e-08
1900,2.5228517208653045e-07,3.529916270395006e-08
1901,2.548464943519235e-07,1.1736351446245408e-08
1902,2.8037719701501373e-07,3.731815567675767e-08
1903,2.82431511067216e-07,2.808114629715419e-08
1904,2.6228171368103403e-07,1.6123875568041512e-08
1905,3.137741557690532e-07,2.7352022868853965e-08
1906,2.479496996055097e-07,2.0576738535282857e-08
1907,2.463422066334431e-07,1.7999951751335175e-08
1908,2.2788844655785567e-07,2.2101250607420297e-08
1909,2.2939101229635384e-07,2.8605114721358404e-08
1910,2.458309409369974e-07,1.2825961626106164e-08
1911,2.7665945623311927e-07,3.085817112946643e-08
1912,2.7193178320228384e-07,1.0939784189645252e-08
1913,2.3227094836375528e-07,1.0605979205990934e-08
1914,2.672000647407913e-07,1.4732836284281348e-08
1915,2.403275365381319e-07,7.068456930880984e-09
1916,2.8787151418185886e-07,1.2086208478478966e-08
1917,1.32693742216361e-07,1.0966424213165737e-08
1918,1.3324196856956405e-07,1.033773866510046e-08
1919,1.5100871270101734e-07,7.366278698128781e-09
1920,2.1277970807531688e-07,5.300562211374427e-09
1921,2.1658057236528805e-07,6.058197943303867e-09
1922,2.0067984141114437e-07,1.623145884366295e-08
1923,2.9830813375042453e-07,1.4862327368803108e-08
1924,1.7532609319914627e-07,1.1602462102189293e-08
1925,1.6937193825228292e-07,1.2097995494286806e-08
1926,1.6161901328359818e-07,3.343841648018042e-09
1927,1.3490561479034824e-07,2.4528294062520217e-08
1928,9.940656076068421e-08,2.2852082892654835e-08
1929,2.1166772001812717e-07,2.1166771446701205e-08
1930,1.4179865215346865e-07,1.6805765667982087e-08
1931,2.2696659929266616e-07,2.3951248095954725e-08
