year,vieux_ADJ yeux_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.401186100480345e-08
1818,2.384235475716423e-09
1819,3.1053151161586356e-09
1820,5.933240565525466e-09
1821,4.141825016290568e-08
1822,5.012807946513931e-09
1823,8.894418535021487e-09
1824,3.3684450784221553e-09
1825,5.283265824829186e-09
1826,2.642395191543301e-09
1827,8.295545583791863e-09
1828,1.1006761724274838e-08
1829,1.714635211591542e-09
1830,2.1917355041978226e-08
1831,1.091384405071949e-08
1832,3.788391467196561e-08
1833,6.950177322551099e-09
1834,1.120143711119681e-08
1835,2.7227116561334697e-08
1836,5.376600054063374e-09
1837,1.0436836284100082e-08
1838,5.049729523420865e-09
1839,1.1885507689157748e-08
1840,5.732719632334238e-09
1841,6.420548537278137e-09
1842,1.341653010911159e-09
1843,8.860366662588604e-09
1844,1.0977122322231025e-08
1845,1.674068439427856e-09
1846,4.0981511517657054e-09
1847,3.235934187273415e-09
1848,2.413566457803995e-09
1849,2.262441967104678e-08
1850,5.431196825611551e-09
1851,5.159551008659946e-09
1852,2.6042181744401205e-09
1853,1.7915795513800958e-09
1854,3.117398783558656e-09
1855,6.368324534378189e-09
1856,5.694908100650764e-09
1857,6.8341128311999455e-09
1858,1.3702292633865909e-08
1859,9.675129142294736e-09
1860,1.5104706818647173e-08
1861,1.839225838295988e-08
1862,6.776979422085105e-09
1863,8.990317823531768e-09
1864,1.4384183844029508e-09
1865,1.835669216632141e-08
1866,1.1190909532388105e-08
1867,4.85281148598915e-09
1868,1.4819622196071691e-09
1869,1.8069020057964735e-08
1870,1.6628741050794815e-08
1871,6.37270636261178e-09
1872,1.0885210954825197e-08
1873,1.1972009161809183e-08
1874,8.961913877669758e-09
1875,1.3159512590732447e-08
1876,4.232210137899983e-09
1877,7.421779191219002e-09
1878,1.0870359723469392e-08
1879,1.5273313280772527e-08
1880,1.2835692508872398e-08
1881,1.324776466304911e-08
1882,1.3976308999019693e-08
1883,1.1374810426900694e-08
1884,1.2543224237049344e-08
1885,2.5782542767416317e-09
1886,1.936039106809062e-09
1887,3.9173548849191775e-09
1888,3.804368819970705e-09
1889,5.6386229019267375e-09
1890,0.0
1891,4.461953917456185e-09
1892,5.014809900671935e-09
1893,7.390100087434348e-09
1894,9.452309157609307e-09
1895,7.824199066419624e-09
1896,8.255840455717589e-09
1897,2.9133566670225264e-09
1898,4.52668391659472e-09
1899,1.1607914629507832e-08
1900,7.26747462209687e-09
1901,6.706486921359556e-09
1902,1.2275709337927765e-08
1903,9.1803746826713e-09
1904,8.061937784020756e-09
1905,4.64468330463319e-09
1906,2.36632491379396e-08
1907,1.337139288182243e-08
1908,2.4556945366072114e-09
1909,7.701377313651392e-09
