year,autres_ADJ amants_NOUN,autres_ADJ mamans_NOUN
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,5.851017448321727e-09
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,5.685755422035754e-09
1806,1.152667650217154e-08,2.881669125542885e-09
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,3.6257183921861724e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0
1810,7.722418615685456e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,6.668020802180763e-08,0.0
1813,1.1790540810352468e-07,0.0
1814,3.4613449884091096e-08,0.0
1815,2.966945977789237e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,4.670620334934483e-09,0.0
1818,9.536941902865692e-09,0.0
1819,1.5526575580793178e-08,0.0
1820,3.559944161679596e-08,0.0
1821,3.0570614484304315e-08,1.97229765852569e-09
1822,2.8071724500478012e-08,0.0
1823,1.8777104315859106e-08,5.929612356680991e-09
1824,3.705289586264371e-08,8.421112696055388e-10
1825,3.78634048558979e-08,6.163809906922779e-09
1826,2.642395191543301e-09,0.0
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,2.5682442839070063e-08,1.8344602503717056e-09
1829,2.1432940755516938e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,1.0823975493678972e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,1.0267983796552471e-08,0.0
1835,1.285724948729694e-08,0.0
1836,1.1425274948351216e-08,0.0
1837,3.339787468803479e-08,6.957890930081589e-10
1838,3.1560809077291196e-08,0.0
1839,2.866504900111977e-08,0.0
1840,3.3759349093998026e-08,6.369688665408546e-10
1841,1.6051371787284552e-08,0.0
1842,3.890793820460203e-08,0.0
1843,3.071593823733565e-08,1.7720733769266417e-09
1844,3.3480223038395707e-08,5.488561272137815e-10
1845,3.794555070157912e-08,0.0
1846,2.5759806732139623e-08,1.1709002656346001e-09
1847,2.2651539310913904e-08,1.0786447290911383e-09
1848,2.815827571112095e-08,0.0
1849,1.1731181359664333e-08,0.0
1850,1.8330290174617403e-08,0.0
1851,1.4188765717904062e-08,0.0
1852,2.8646400807019745e-08,0.0
1853,1.851298847554972e-08,2.9859659189668264e-09
1854,1.9223959313308114e-08,1.0391328908454511e-09
1855,2.175844215912548e-08,0.0
1856,2.019103817474388e-08,0.0
1857,4.29572786231347e-08,4.881509085841174e-10
1858,5.4809170535463636e-08,9.787352039936081e-10
1859,1.1202780925145817e-08,0.0
1860,2.4259074749011234e-08,0.0
1861,3.5369726703038395e-08,0.0
1862,2.0330938710344526e-08,0.0
1863,2.597202808374277e-08,9.989241656072068e-10
1864,1.9178912680217763e-08,0.0
1865,2.9182434246877165e-08,4.706844358715045e-10
1866,2.968023871119385e-08,4.865612912574591e-10
1867,2.5719900875742496e-08,6.79393608038481e-09
1868,3.1615194018286275e-08,1.975949626142892e-09
1869,2.6859355628516823e-08,9.767038289254515e-10
1870,3.612450782952692e-08,0.0
1871,1.805600113868877e-08,1.0621177271019633e-09
1872,2.53988243770209e-08,1.2094678591978436e-09
1873,2.21482157058972e-08,1.1972008939764578e-09
1874,2.3898437007119355e-08,1.1949218281515073e-09
1875,2.7463329388410784e-08,9.154443425529735e-09
1876,2.478866001354163e-08,0.0
1877,2.6594708657512456e-08,8.658742167710898e-09
1878,3.38188961279684e-08,3.0195443923020093e-09
1879,2.932476128592043e-08,1.221865053580018e-09
1880,5.262634061864446e-08,6.417846254436199e-09
1881,2.3009274485730202e-08,2.7890030285249168e-09
1882,3.261138559196297e-08,4.6587693702804245e-09
1883,3.5388296737437486e-08,1.8958017378167824e-09
1884,2.5086448474098688e-08,6.601696966868076e-10
1885,2.2559724754955823e-08,1.2891271383708158e-09
1886,3.4203360144147155e-08,6.453463874400711e-10
1887,1.4363633837888301e-08,6.528924623161458e-10
1888,2.53624587998047e-08,3.804368819970705e-09
1889,3.821733329800736e-08,1.2530273485467092e-09
1890,1.6385966361553983e-08,6.554386478008212e-10
1891,2.358461337337303e-08,2.5496880162734215e-09
1892,1.7551833764173352e-08,3.1342561879199593e-09
1893,1.7859408174558666e-08,1.847525021858587e-09
1894,1.6384001710889606e-08,3.780923574225881e-09
1895,2.2268872967856623e-08,9.027921521465032e-09
1896,3.4202766840962795e-08,1.179405795248556e-09
1897,3.612562338162206e-08,0.0
1898,2.0370077180587032e-08,1.6975064687230201e-09
1899,2.5979618456517528e-08,2.2110313580014918e-09
1900,2.8550791952852705e-08,4.15284251431558e-09
1901,3.017919070202879e-08,1.676621730339889e-09
1902,2.7006560543441083e-08,3.928227076954727e-09
1903,4.050165358648883e-08,2.1600881083827517e-09
1904,1.9348650681649815e-08,4.837162670412454e-09
1905,3.354493216534138e-08,2.580379465655369e-09
1906,4.6812079546043606e-08,2.0576738091193647e-09
1907,1.1828539925318182e-08,3.599990305858114e-09
