year,ses_DET auteurs_NOUN,ses_DET moteurs_NOUN
1800,1.6569747032235682e-06,3.144164484325529e-09
1801,1.481095537769761e-06,1.4287095950749062e-08
1802,1.3583689906226937e-06,1.3427040812530322e-08
1803,1.2599191698825507e-06,2.3404069793286908e-08
1804,1.1691854737705398e-06,4.2021465418429216e-08
1805,1.1627370355427047e-06,1.1371510844071508e-08
1806,1.5820363792329317e-06,1.729001475325731e-08
1807,1.867602509975086e-06,2.8469551160981155e-09
1808,1.1806245474588195e-06,0.0
1809,1.1475875023592153e-06,0.0
1810,1.5561842729994169e-06,0.0
1811,9.827741003221035e-07,0.0
1812,1.2295829669994873e-06,4.5342538612658245e-08
1813,1.2595748160038056e-06,8.627225156487839e-09
1814,1.5796319345895427e-06,3.1466772298927026e-08
1815,2.0013398653873082e-06,2.966945977789237e-08
1816,1.3372574798609094e-06,2.3176038865813098e-09
1817,1.5023828456861565e-06,2.490997452753163e-08
1818,1.7083047225696646e-06,2.1458118837358597e-08
1819,1.8414517839460132e-06,2.5877625375869684e-08
1820,1.7574258919239583e-06,5.22125169766241e-08
1821,1.8263476562196956e-06,5.423818549843418e-08
1822,1.6572342929066508e-06,1.0025615893027862e-08
1823,1.3509632523778237e-06,1.3835761869529506e-08
1824,1.4197996378584321e-06,7.57900142644985e-09
1825,1.5242222133338146e-06,2.4655239627691117e-08
1826,1.2771577253545274e-06,1.7615968683770689e-09
1827,2.0499214272717836e-06,5.530363722527909e-09
1828,1.7748403280393177e-06,2.2930752408001354e-08
1829,1.7283522666389217e-06,1.9718305044325035e-08
1830,1.6135348772650104e-06,2.1917355041978226e-08
1831,1.917718382316025e-06,1.4032085715598441e-08
1832,1.9117846683514017e-06,6.764984572527055e-09
1833,1.5881155022157145e-06,1.0425265983826648e-08
1834,1.4851238496760288e-06,1.120143711119681e-08
1835,1.4906845819950831e-06,2.2689263801112247e-08
1836,1.4167341202409034e-06,7.392825185359442e-09
1837,1.310866597492577e-06,1.600314980532147e-08
1838,1.3028301886208737e-06,2.0830134062066463e-08
1839,1.3444607169788014e-06,1.11863602825224e-08
1840,1.5312731704852922e-06,2.8026629905752998e-08
1841,1.5402895883198653e-06,1.2841097074556274e-08
1842,1.60059209974861e-06,1.8783142152756227e-08
1843,1.3302364223477525e-06,2.2446261738195972e-08
1844,1.333720426544005e-06,2.9089374464774664e-08
1845,1.5591156667937867e-06,4.910600637231255e-08
1846,1.6697037636959067e-06,1.8148954561425512e-08
1847,1.5230463539239736e-06,1.77976389181822e-08
1848,1.8487919710707956e-06,2.333114323960217e-08
1849,1.7982224065349328e-06,3.77073661184113e-08
1850,1.9545519123198574e-06,8.82569484161877e-09
1851,1.691042882612237e-06,4.063146263888484e-08
1852,1.647168039298208e-06,2.2135854038651814e-08
1853,1.4368468121972455e-06,2.9859659633757474e-08
1854,1.2240985967082452e-06,1.8704392701351935e-08
1855,1.4169522053464334e-06,1.8043586180738203e-08
1856,1.597162929911633e-06,2.7439103433835044e-08
1857,1.5523198655387205e-06,1.3668225662399891e-08
1858,1.3393991018517681e-06,4.942612608083152e-08
1859,1.7812422683505247e-06,1.5785737161877478e-08
1860,1.4404397639111721e-06,2.288591893773173e-08
1861,1.647286158146244e-06,1.839225838295988e-08
1862,1.5943974069898559e-06,1.0843167252971853e-08
1863,1.629744804887423e-06,2.8469338886338846e-08
1864,1.4801324823565665e-06,2.9247839705703882e-08
1865,1.524076161274479e-06,1.976874625109204e-08
1866,1.6596606187135876e-06,2.578774882522339e-08
1867,1.3340378508530648e-06,3.736664666575962e-08
1868,1.6138569023382843e-06,3.408513071789798e-08
1869,1.6223050067765143e-06,3.271957993433716e-08
1870,1.587184666362873e-06,8.027668307875047e-09
1871,1.727003379414782e-06,3.823623728749226e-08
1872,1.667251442682982e-06,1.2094679036067646e-08
1873,1.4911137462547686e-06,1.2570609442263958e-08
1874,1.3693803637693236e-06,1.9118749250424116e-08
1875,1.569414877167219e-06,9.154443425529735e-09
1876,1.744275238024784e-06,2.2370254981751714e-08
1877,1.5653769409595952e-06,1.4843558382438005e-08
1878,1.5822412180455103e-06,1.8117266742390115e-08
1879,1.4967846446722888e-06,2.3826369210944165e-08
1880,1.6288493824845318e-06,1.4761046607247863e-08
1881,1.6727046094899833e-06,2.4403776777148778e-08
1882,1.7217480845488353e-06,4.19289278852375e-08
1883,1.5899456435874981e-06,2.274962085380139e-08
1884,1.5546995904003325e-06,1.8484751507230612e-08
1885,1.605607817367627e-06,1.740321664556177e-08
1886,1.5385057423600301e-06,3.1621972595985426e-08
1887,1.6224377326068407e-06,2.9380160526670807e-08
1888,1.6143204533136668e-06,2.2192152115962926e-08
1889,1.6690324784462973e-06,3.069917065001704e-08
1890,1.8011454301358754e-06,4.4569826940232815e-08
1891,1.6827940427788235e-06,4.52569608455633e-08
1892,1.6567677860734875e-06,4.137218212463267e-08
1893,1.7360575910174703e-06,4.0645549148621285e-08
1894,1.7461565917642474e-06,4.285046628638156e-08
1895,2.0649866172561815e-06,5.1760085995056215e-08
1896,1.9808120157449594e-06,6.368791360955584e-08
1897,1.7614154685929861e-06,4.195233749282323e-08
1898,1.900641436236583e-06,8.48753231030841e-08
1899,1.9103310506807247e-06,5.140647907353468e-08
1900,1.6024781359647022e-06,6.125442963966776e-08
1901,1.8778162740318294e-06,9.165532000032783e-08
1902,1.6125371864461613e-06,1.124455000223179e-07
1903,1.7728923040749578e-06,7.992326334083089e-08
1904,1.6833326128562476e-06,6.987012923787006e-08
1905,1.8718073455659123e-06,1.0889201879082933e-07
1906,1.7469650757107047e-06,8.539346563196659e-08
