year,mieux_ADV uni_VERB,mieux_ADV muni_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,6.713520406265161e-09
1803,0.0,5.851017448321727e-09
1804,1.2359254952798437e-08,4.943701892301533e-09
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,7.020380277111826e-09,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,3.236668177919455e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,0.0,0.0
1818,1.1921176934492905e-08,0.0
1819,0.0,0.0
1820,1.4239777357261119e-08,0.0
1821,9.86148829262845e-10,0.0
1822,1.7043547018147365e-08,0.0
1823,4.941343334508019e-09,1.9765373338032077e-08
1824,5.052667617633233e-09,8.421112696055388e-10
1825,2.641632912414593e-09,2.641632912414593e-09
1826,4.403992281964975e-09,0.0
1827,9.217273166939322e-09,0.0
1828,3.668920500743411e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,0.0,1.3529969367098715e-09
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,6.534171426153534e-09
1835,0.0,7.563087933704082e-10
1836,8.064899859050456e-09,0.0
1837,2.0873671680021744e-09,1.3219993100221927e-08
1838,3.1560809521380406e-09,0.0
1839,2.0974426639952526e-09,0.0
1840,1.2102408852854296e-08,0.0
1841,1.219904177673925e-08,0.0
1842,2.683306021822318e-09,0.0
1843,1.594865928211675e-08,0.0
1844,0.0,7.1351298203126134e-09
1845,1.1160455892778032e-09,0.0
1846,4.6836010625384006e-09,3.5127007969038004e-09
1847,1.6179670936367074e-09,5.393223645455691e-10
1848,2.413566457803995e-09,0.0
1849,6.703531951757213e-09,1.6758829879393033e-09
1850,1.0183494048021657e-08,2.7155984128057753e-09
1851,0.0,1.2898877521649865e-09
1852,7.161600201754936e-09,6.510545436100301e-10
1853,1.0152284346531815e-08,6.569124799682413e-09
1854,1.0391328908454511e-09,1.558699391779328e-09
1855,4.776243400783642e-09,2.1227748447927297e-09
1856,4.141751386299575e-09,1.5531567143511893e-09
1857,1.4644527812635033e-09,6.8341128311999455e-09
1858,0.0,1.2234189661342043e-08
1859,2.5460866748261424e-09,4.582956236731661e-09
1860,7.323494255473406e-09,2.288591982591015e-09
1861,2.8295783494058924e-09,4.715963619617014e-09
1862,2.710791813242963e-09,1.8071945051545413e-09
1863,5.494082966350788e-09,6.493007020935693e-09
1864,3.835782358407869e-09,2.3973640850272204e-09
1865,9.413688495385486e-09,1.3179164426446732e-08
1866,3.8924903300596725e-09,8.75810357570117e-09
1867,9.7056229719783e-10,1.455843445796745e-08
1868,1.4819622196071691e-09,0.0
1869,2.441759683335931e-09,3.4184632902167778e-09
1870,1.0894693147633916e-08,7.454262984651905e-09
1871,0.0,0.0
1872,4.23313739617015e-09,3.628403577593531e-09
1873,1.7958012854535355e-09,5.9860045809045914e-09
1874,3.5847653734322193e-09,0.0
1875,3.432916173551348e-09,0.0
1876,6.04601479992084e-10,8.464420275799966e-09
1877,2.4739263970730008e-09,1.8554447978047506e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,4.27652757650776e-09,0.0
1880,0.0,6.417846254436199e-10
1881,1.045876096839038e-08,2.091752326904839e-09
1882,0.0,1.9966155395678697e-09
1883,1.2638677882037541e-09,7.58320695126713e-09
1884,2.6406787867472303e-09,2.6406787867472303e-09
1885,0.0,1.2891271383708158e-09
1886,1.936039106809062e-09,1.0325542199041138e-08
1887,2.6115698492645834e-09,0.0
1888,3.804368819970705e-09,0.0
1889,6.265136853755848e-09,1.0024218788373673e-08
1890,1.3108772956016423e-09,4.5880703680722945e-09
1891,3.1871101313640793e-09,4.461953917456185e-09
1892,0.0,3.761107425503951e-09
1893,0.0,5.542574843531156e-09
1894,6.301539290376468e-10,5.671385139294216e-09
1895,6.018614495673091e-09,9.629783193076946e-09
1896,4.1279202278587945e-09,8.845543852942228e-09
1897,2.330685422435863e-09,1.1653427112179315e-09
1898,1.13167097914868e-09,7.921697076085366e-09
1899,2.2110313580014918e-09,3.8693048765026106e-09
1900,2.07642125715779e-09,5.191053142894475e-10
1901,0.0,1.676621730339889e-09
1902,4.419255628107521e-09,6.874397495693074e-09
1903,2.1600881083827517e-09,6.480264325148255e-09
1904,0.0,5.912087708281888e-09
1905,5.160759042333041e-10,1.3417973399043603e-08
1906,1.0288369045596824e-09,4.115347618238729e-09
1907,2.5714217422034835e-09,2.5714217422034835e-09
1908,0.0,7.858222517143076e-09
1909,3.300590023513905e-09,4.400786846048277e-09
